ACCE_ABSORB_COST	Kombinations omkostninger: %d
STAT_TOOLTIP_PASSIVE	Levn Bonus
STAT_TOOLTIP_POINT	Point
STAT_TOOLTIP_REACTION	Reaktioner
STAT_TOOLTIP_SHP	Du vil modtage et mindre fradrag på din maksimale HP på Yohara.
STAT_TOOLTIP_SIMMUNE	Du vil modtage et mindre fradrag på din modstand imod status ændringer på Yohara.
STAT_TOOLTIP_SMOVE	Du vil modtage et mindre fradrag på din bevægelseshastighed på Yohara.
STAT_TOOLTIP_SP	MP
STAT_TOOLTIP_SPECIAL_ACTION	Specielle Handlinger
STAT_TOOLTIP_SSTR	Du vil modtage et mindre skade fradrag på dine angreb på Yohara.
STAT_TOOLTIP_STAT	Værdier
STAT_TOOLTIP_STR	Angrebsværdi og skade bliver forbedret
STAT_TOOLTIP_SUNGMA_HP	Ændre HP afhængig af fjendens Sung Mas vilje (VIT) og kortet
STAT_TOOLTIP_SUNGMA_IMMUNE	Ændre modtagelighed overfor status effekter, afhængig af fjendens Sung Mas vilje (INT) og kortet
STAT_TOOLTIP_SUNGMA_MOVE	Ændre bevægelseshastigheden afhængig af fjendens Sung Mas vilje (RES) og kortet
STAT_TOOLTIP_SUNGMA_STR	Ændre angreb afhængig af fjendens Sung Mas vilje (STR) og kortet
STAT_TOOLTIP_SUPPORT_SKILL	Sekundære Færdigheder
STAT_TOOLTIP_TAB_CHARACTER	Karakter
STAT_TOOLTIP_TAB_EMOTICON	Følelser
STAT_TOOLTIP_TAB_QUEST	Missioner
STAT_TOOLTIP_TAB_SKILL	Færdigheder
SUNGMAHEE_GATE_ACHIEV_TOOLTIP_ACHIEV_0	Dette trofæ kan optjenes fra Sung Ma Invasions Portalen i Yongan Området.
SUNGMAHEE_GATE_ACHIEV_TOOLTIP_ACHIEV_1	Dette trofæ kan optjenes fra Sung Ma Invasions Portalen i Joan Området.
SUNGMAHEE_GATE_ACHIEV_TOOLTIP_ACHIEV_2	Dette trofæ kan optjenes fra Sung Ma Invasions Portalen i Pyungmoo Området.
SUNGMAHEE_GATE_ACHIEV_TOOLTIP_ACHIEV_3	Dette trofæ kan optjenes fra Sung Ma Invasions Portalen i Seungryong Dalen.
SUNGMAHEE_GATE_ACHIEV_TOOLTIP_ACHIEV_4	Dette trofæ kan optjenes fra Sung Ma Invasions Portalen i Yongbi Ørkenen.
SUNGMAHEE_GATE_ACHIEV_TOOLTIP_ACHIEV_5	Dette trofæ kan optjenes fra Sung Ma Invasions Portalen i Doyyumhwan (Ildland).
SUNGMAHEE_GATE_ACHIEV_TOOLTIP_ACHIEV_6	Dette trofæ kan optjenes fra Sung Ma Invasions Portalen på Bjerg Sohan.
SUNGMAHEE_GATE_ACHIEV_TOOLTIP_ACHIEV_7	Dette trofæ kan optjenes fra Sung Ma Invasions Portalen i Djævelens Katakombe.
SUNGMAHEE_GATE_ACHIEV_TOOLTIP_ACHIEV_8	Dette trofæ kan optjenes fra Sung Ma Invasions Portalen i den Fortryllede Skov.
SUNGMAHEE_GATE_ACHIEV_TOOLTIP_PROBABILITY	Chance: %d%%
SUNGMAHEE_GATE_ALREADY_OPEN	[Sung Ma Invasions Portal] En Sung Ma Portal er åbnet. Vær hurtig og træd ind! (%s tilbage)
SUNGMAHEE_GATE_ALREADY_OPEN_1M	[Sung Ma Invasions Portal] En Sung Ma Invasions Portal er åbnet. Vær hurtig og ødelæg den! (mindre end 1 minut tilbage)
SUNGMAHEE_GATE_ENTER_COUNT_INFO	Ugelige indgange: %d/%d
SUNGMAHEE_GATE_MAP_ELEMENT_DARK	Mørke
SUNGMAHEE_GATE_MAP_ELEMENT_EARTH	Jord
SUNGMAHEE_GATE_MAP_ELEMENT_ELECT	Lyn
SUNGMAHEE_GATE_MAP_ELEMENT_FIRE	Ild
SUNGMAHEE_GATE_MAP_ELEMENT_ICE	Is
SUNGMAHEE_GATE_MAP_ELEMENT_NONE	Ingen
SUNGMAHEE_GATE_MAP_ELEMENT_WIND	Vind
SUNGMAHEE_GATE_MESSAGE_CANNOT_OPEN_ACHIEV_CONQUEROR_LEVEL	Du skal have nået op på et champion level for at åbne den.
SUNGMAHEE_GATE_MESSAGE_CANNOT_OPEN_ACHIEV_IN_BATTLE_ROYALE	Du kan ikke åbne det i dette område.
SUNGMAHEE_GATE_MESSAGE_DUNGEON_ELEMENT_INFO	Dominant element i dette område: %s
SUNGMAHEE_GATE_MESSAGE_NOTICE_BEFORE_OPEN_1	En Sung Ma Invasions Portal vil snart åbne sig i Dong Gwang Almindelig.
SUNGMAHEE_GATE_MESSAGE_NOTICE_BEFORE_OPEN_2	Brug det store kort til at se de mulige lokationer for hvert rige.
SUNGMAHEE_GATE_MESSAGE_NOTICE_DUNGEON_END_TIME	Tiden er gået! Du vil blive teleporteret ud.
SUNGMAHEE_GATE_MESSAGE_NOTICE_DUNGEON_REMAIN_TIME	Sung Ma Invasions Portalen vil lukke om %d minutter.
SUNGMAHEE_GATE_MESSAGE_NOTICE_END	Alle Sung Ma Invasions Portaler lukker.
SUNGMAHEE_GATE_MESSAGE_NOTICE_ENTRY_CLOSE	Sung Ma Invasions Portalen er lukket.
SUNGMAHEE_GATE_MESSAGE_NOTICE_ENTRY_OPEN	En Sung Ma Invasions Portal er åbnet og kan blive betrådt. Den vil forblive åben til %d:%d.
SUNGMAHEE_GATE_MESSAGE_REGION_ACHIEVED_SUCCESS	Du har optjent trofæet fra %s!
SUNGMAHEE_GATE_REMAIN_TIME_TO_OPEN	[Sung Ma Invasions Portal] En Sung Ma Invasions Portal vil åbne\nom %s minutter.
SUNGMAHEE_GATE_REMAIN_TIME_TO_OPEN_1M	[Sung Ma Invasions Portal] En Sung Ma Invasions Portal vil åbne\nom mindre end 1 minut.
SUNGMAHEE_TOWER_ENTER_FAIL_FLOOR	Du skal gennemføre den level nedenunder først.
SUNGMAHEE_TOWER_ENTER_RESULT_FAIL_MOUNT	Du kan ikke komme ind mens du ridder.
SUNGMAHEE_TOWER_ENTER_RESULT_FAIL_NOT_ENOUGH_CONQUEROR_LEVEL	Du skal have nået et Champion Level for at komme ind.
SUNGMAHEE_TOWER_ENTER_RESULT_FAIL_NOT_ENOUGH_ITEM	Du har brug for et Kraniums Banner for at komme ind.
SUNGMAHEE_TOWER_ENTER_RESULT_FAIL_PARTY	Du kan ikke komme ind til Sung Mahi Tårnet i en gruppe.
SUNGMAHEE_TOWER_ENTER_RESULT_FAIL_POLYMORPH	Du kan ikke komme ind mens du bliver transformeret.
SUNGMAHEE_TOWER_FLOOR_TEXT	Level {0}
SUNGMAHEE_TOWER_MY_RANK_TEXT	Rang {0}
SYMBOLLIST_TITLE	Tilmeld Ordensflag
TARGET_BUTTON_ACCEPT_FIGHT	Accepter
TARGET_BUTTON_AVENGE	Hævn
TARGET_BUTTON_BLOCK	Bloker
TARGET_BUTTON_BLOCK_REMOVE	Fjern blokering
TARGET_BUTTON_BUILDING_DESTROY	Ødelægge
TARGET_BUTTON_DISMOUNT	Stå af hesten
TARGET_BUTTON_EMOTION_ALLOW	Emotioner
TARGET_BUTTON_EXCHANGE	Handel
TARGET_BUTTON_EXCLUDE	Udelukke
TARGET_BUTTON_EXIT_OBSERVER	Afslut tilskuersyn
TARGET_BUTTON_FIGHT	Duel
TARGET_BUTTON_FRIEND	Ven
TARGET_BUTTON_INVITE_GUILD	Ordens invitation
TARGET_BUTTON_INVITE_PARTY	Gruppe invitation
TARGET_BUTTON_LEAVE_PARTY	Forlad gruppe
TARGET_BUTTON_REQUEST_ENTER_PARTY	Join gruppen
TARGET_BUTTON_REVIVE	Genopliv
TARGET_BUTTON_VIEW_EQUIPMENT	Udrystning
TARGET_BUTTON_WHISPER	Hviske
TARGET_LEVEL_BOSS	Boss
TARGET_LEVEL_KING	Level 5.
TARGET_LEVEL_KNIGHT	Level 3.
TARGET_LEVEL_PAWN	Level 1.
TARGET_LEVEL_S_KNIGHT	Level 4.
TARGET_LEVEL_S_PAWN	Level 2.
TARGET_TOOLTIP_ATTACK_COUNT	Samlede Angrebspoint: %d
TASKBAR_ATTACK	Angribe
TASKBAR_AUTO	Angrib automatisk
TASKBAR_CAMERA	Kamera
TASKBAR_EXP	Erfaring
TASKBAR_HP	HP
TASKBAR_MOVE	Bevæge
TASKBAR_SKILL	Færdighed
TASKBAR_SP	MP
TASKBAR_ST	OP
TENTH_COIN	Jubilæums Mønter
TENTH_EVENT_ASK_EXCHANGE	Du kræver %d Jubilæums Flag. Ønsker du at fortsætte?
THING_COUNT	alle
TIGER_COIN_ITEM_USE_QUESTION	Du bytter din kupon for Tiger Mønter. Ønsker du at fortsætte?
TITLE_SYSTEM_MESSAGE_ALREADY_GET	Du har allerede denne titel.
TITLE_SYSTEM_MESSAGE_CHECK_UI	Titel låst op: %s. Vis titlen i titel menuen.
TITLE_SYSTEM_MESSAGE_EQUIP_TITLE	%s udstyret.
TITLE_SYSTEM_MESSAGE_GET_TITLE	%s modtaget.
TITLE_SYSTEM_MESSAGE_ONE_HOUR_LEFT	%s titlen udløber om 1 time.
TITLE_SYSTEM_MESSAGE_TIME_END	%s er udløbet.
TITLE_SYSTEM_MESSAGE_TRY_LATER	Prøv venligst igen senere.
TITLE_SYSTEM_MESSAGE_UNEQUIP_TITLE	Du har afudstyret din titel.
TITLE_SYSTEM_MESSAGE_WRONG_APPROACH	Denne titel er endnu ikke tilgængelig, eller er dens varighed udløbet.
TITLE_SYSTEM_MESSAGE_WRONG_ITEM	Du kan ikke modtage denne titel med denne certifikat. Tjek venligst tabellen.
TITLE_SYSTEM_OPEN_TITLE_UI	Åben Titel Menuen
TITLE_SYSTEM_TEXT_TITLE	Titel
TITLE_SYSTEM_TOOLTIP_BACK_BUTTON	Vis Udstyret Titel
TITLE_SYSTEM_TOOLTIP_GET_CONDITION	Krav: %s
TITLE_SYSTEM_TOOLTIP_ITEM_TIME_LEFT	Resterende tid:
TITLE_SYSTEM_TOOLTIP_LEFT_TIME	Resterende tid: %s
TITLE_SYSTEM_TOOLTIP_TITLE_INFINITE	Permanent
TITLE_SYSTEM_TOOLTIP_TITLE_TIME_LEFT	Titel Varighed:
TITLE_SYSTEM_TOOLTIP_USE_INFINITE	Kan bruges permanent.
TITLE_SYSTEM_TOOLTIP_WARNING_TIME	Denne genstand kan ikke bruges efter den er udløbet.
TITLE_SYSTEM_USE_SCROLL_QUESTION	Ønsker du at indløse certifikatet?
TOOLTIP_AFFECT_AIR_BORNE	Luftbåren	SNA
TOOLTIP_AFFECT_ATT_GRADE_DOWN	Reducer skade	SNA
TOOLTIP_AFFECT_CANNOT_APPLY	Du kan ikke bruge det i PvP eller mens du bliver transformeret.
TOOLTIP_AFFECT_CHEONUN	Æter Beskyttelse	SNA
TOOLTIP_AFFECT_CONFUSION	Forvirret.
TOOLTIP_AFFECT_CRITICAL_GRADE_DOWN	Reducer kritisk slag chance	SNA
TOOLTIP_AFFECT_CURSE_OF_DARKNESS	Måneskyggens Forbandelse (%dx)	SA
TOOLTIP_AFFECT_CZ_UNLIMIT_ENTER	Vogterens Mærke	SNA
TOOLTIP_AFFECT_DEFENSEWAVE_LASER	Hydro strålen kunne ikke stoppes.	SNA
TOOLTIP_AFFECT_DEF_GRADE_DOWN	Reducer forsvar	SNA
TOOLTIP_AFFECT_ELECTRIC_SHOCK	Lyn
TOOLTIP_AFFECT_ELEMENT_BUFF_CRACK	Bonus Skade Type: %s\n\nDu kan blive genoplivet på stedet med en aktiv Storm eller Kraft Blomst buff.
TOOLTIP_AFFECT_ELEMENT_BUFF_CRACK_DARK	Mørkets Kraft
TOOLTIP_AFFECT_ELEMENT_BUFF_CRACK_EARTH	Jordens Kraft
TOOLTIP_AFFECT_ELEMENT_BUFF_CRACK_ELECT	Lynets Kraft
TOOLTIP_AFFECT_ELEMENT_BUFF_CRACK_FIRE	Ildens Kraft
TOOLTIP_AFFECT_ELEMENT_BUFF_CRACK_ICE	Isens Kraft
TOOLTIP_AFFECT_ELEMENT_BUFF_CRACK_NONE	Ingen
TOOLTIP_AFFECT_ELEMENT_BUFF_CRACK_WIND	Vindens Kraft
TOOLTIP_AFFECT_FISHING_GOLD_TUNA	Gylden Tun Bonus	SNA
TOOLTIP_AFFECT_FISHING_MOVE_SPEED_DOWN	Vådt Tøj\nBevægelseshastighed -50	SNA
TOOLTIP_AFFECT_FLAG_CANNOT_ATTACK	Normale angreb er låste
TOOLTIP_AFFECT_FLAG_CANNOT_USE_SKILL	Færdigheder er låste
TOOLTIP_AFFECT_FLOWER_OF_DESTRUCTION	Kraft Blomst Buff
TOOLTIP_AFFECT_FLOWER_OF_DESTRUCTION_ANIMAL	Kraft Blomst Buff: Stærk imod Dyr: +%d%%\n\nKan blive genoplivet på stedet.	SA
TOOLTIP_AFFECT_FLOWER_OF_DESTRUCTION_DARK	Kraft Blomst Buff: Stærk imod Mørke: +%d%%\n\nKan blive genoplivet på stedet.	SA
TOOLTIP_AFFECT_FLOWER_OF_DESTRUCTION_EARTH	Kraft Blomst Buff: Stærk imod Jord: +%d%%\n\nKan blive genoplivet på stedet.	SA
TOOLTIP_AFFECT_FLOWER_OF_DESTRUCTION_ELECT	Kraft Blomst Buff: Stærk imod Lyn: +%d%%\n\nKan blive genoplivet på stedet.	SA
TOOLTIP_AFFECT_FLOWER_OF_DESTRUCTION_FIRE	Kraft Blomst Buff: Stærk imod Ild: +%d%%\n\nKan blive genoplivet på stedet.	SA
TOOLTIP_AFFECT_FLOWER_OF_DESTRUCTION_ICE	Kraft Blomst Buff: Stærk imod Is: +%d%%\n\nKan blive genoplivet på stedet.	SA
TOOLTIP_AFFECT_FLOWER_OF_DESTRUCTION_WIND	Kraft Blomst Buff: Stærk imod Vind: +%d%%\n\nKan blive genoplivet på stedet.	SA
TOOLTIP_AFFECT_FLOWER_OF_GALE	Storm Blomst Buff: Bevægelseshastighed +%d\n\nKan blive genoplivet på stedet.	SA
TOOLTIP_AFFECT_FORCE_REMAIN_COUNT	Resterende ladninger: %d
TOOLTIP_AFFECT_FREEZING	Frossen	SNA
TOOLTIP_AFFECT_GARRISON_BUFF	Immunitet overfor Sung Mahis Tilstedeværelse	SNA
TOOLTIP_AFFECT_GARRISON_DEBUFF	Sung Mahis Tilstedeværelse	SNA
TOOLTIP_AFFECT_GREEDY_GATE_BUFF	Portens Energi	SNA
TOOLTIP_AFFECT_GUILD_SPECIAL_BUILDING_BUFF	Helligdoms Bonus	SNA
TOOLTIP_AFFECT_GUILD_WHITE_DRAGON_BREATH_DEBUFF	Under Balathor's visne blik, bliver dit HP gendannelse reduceret med 50%.	SNA
TOOLTIP_AFFECT_GUILD_WHITE_DRAGON_ENHANCE_SCALES	Balathor har beskyttet hans Drage Æg med en magisk skala rustning, og de kan ikke blive skadet. Ødelæg skalaerne med Hwachaen!	SNA
TOOLTIP_AFFECT_GUILD_WHITE_DRAGON_LAIR_BUFF_POTION	+15% Modstand imod Færdigheds Skade\n+15% Modstand imod Slag Skade	SNA
TOOLTIP_AFFECT_GUILD_WHITE_DRAGON_LAIR_RAGE_DEBUFF	Balathor's frie energi spreder en iskold kulde. Dit angrebshastighed bliver reduceret.	SNA
TOOLTIP_AFFECT_HEAVY_BLEEDING	Stærk Blødning	SNA
TOOLTIP_AFFECT_ICECREAM	Iskornet\nBevægelseshastighed +10\nMagisk/nærkamps angreb +5%\nEXP +10%\n	SNA
TOOLTIP_AFFECT_IMMUNE_MINE_TOWER_SKILL	Bombesikker Billet	SNA
TOOLTIP_AFFECT_INCREASE_REFINE_PCT	En-gangs velsignelse, der forøger den næste forædlings chance for succes med %d%% ved aktiveringen.	SA
TOOLTIP_AFFECT_INVINCIBILITY_DECCAN	Nezerath's Skjold: Nezerath er beskyttet imod skade af hans tilkaldte håndlangere.	SNA
TOOLTIP_AFFECT_IRON_DRAGON_BLESS	Resterende 10%% skades reduktions opladninger: %d
TOOLTIP_AFFECT_LATE_SUMMER_EVENT_BUFF	Sjæle (%d/20)	SA
TOOLTIP_AFFECT_LATE_SUMMER_EVENT_PRIMIUM_BUFF	Sjældne Sjæle (%d/150)	SA
TOOLTIP_AFFECT_LOOTING_SYSTEM	Bytte Pas	SNA
TOOLTIP_AFFECT_LUCKY_EVENT	Monster Bash Buff	SNA
TOOLTIP_AFFECT_MERCENARY_MAX_ACTIVE_INCREASE	Øger maks. udholdenheden med +%d	SA
TOOLTIP_AFFECT_MIND_CONTROL	Mørk Indflydelse	SNA
TOOLTIP_AFFECT_MI_BUFF	Besættelses Buff \n%s
TOOLTIP_AFFECT_MOUNT_FALL	Fald fra ganger	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_ATTACK_SPEED	Rasende Storm	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_EFFECT_UP	Styrker Ride Effekten	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_EXP	EXP	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_GYEONGGONG	Fjervandring	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_HIT_PCT	Præcision	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_INVINCIBILITY	Udødelig	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_JOB_ASSASIN	Stærk imod Ninjaer
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_JOB_SHAMAN	Stærk imod Shamaner
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_JOB_SURA	Stærk imod Suraer
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_JOB_WARRIOR	Stærk imod Krigere
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_JOB_WOLF	Stærk imod Lycaner
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_KNOCKBACK	Ingen Tilbageslag	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_NIMBLE	Hurtige Hove	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_ANIMAL	Stærk imod Dyr
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_CZ	Stærk imod Zodiac Monstre
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_DESSERT	Stærk imod Ørken Monstre
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_DEVIL	Stærk imod Djævle
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_HUMAN	Stærk imod Halvmennesker
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_INSECT	Stærk imod Insekter
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_MILGYO	Stærk imod Mystikere
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_MONSTER	Stærk imod Alle Monstre
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_UNDEAD	Stærk imod Udøde
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_WONGGUI	Stærk imod Orker
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_SUNGMA_HP	Sung Mas Vilje (VIT)	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_SUNGMA_IMMUNE	Sung Mas Vilje (INT)	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_SUNGMA_MOVE	Sung Mas Vilje (RES)	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_SUNGMA_STR	Sung Mas Vilje (STR)	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_TO_STRONG	Riddekunst	SNA
TOOLTIP_AFFECT_NORMAL_ATTACK_DAMAGE_BUFF	%0.1fx normal angrebs skade
TOOLTIP_AFFECT_NORMAL_ATTACK_FORCE_TYPE	Ekkoens Styrke
TOOLTIP_AFFECT_NO_FALLEN	Falds Modstand	SNA
TOOLTIP_AFFECT_OTHER_WORLD_DEAD_SOUL	Asmodeus maks. HP er blevet reduceret med %d%%.	SA
TOOLTIP_AFFECT_OTHER_WORLD_GOBLIN_PROTECTION	Du kan ikke blive påvirket af Asmodeus Forbandelse i Fordømmelsen.	SNA
TOOLTIP_AFFECT_OTHER_WORLD_YEOMWANG_CURSE	Skaden der bliver påført på monstre er reduceret med 30%.	SNA
TOOLTIP_AFFECT_PASWAE	Reducerer forsvar og bevægelseshastighed i 5 sekunder.
TOOLTIP_AFFECT_POLYMORPH	Transformer	SNA
TOOLTIP_AFFECT_POLYMORPH_DEBUFF	Polymorf (Debuff)	SNA
TOOLTIP_AFFECT_PREMIUM_MEMBERSHIP_BUFF	Metin+ Medlemskab\n\nDu kan finde de fulde detaljer og mulighederne til dit Metin+ medlemskab på den pågældende side ved at klikke på Hvad er Nyt?	SNA
TOOLTIP_AFFECT_PREMIUM_PRIVATE_SHOP	Personlig Premiums Butik	SNA
TOOLTIP_AFFECT_RAMADNA_CANDY	Søde sager\n+10 bevægelseshastighed\n+5% angrebs skade\n+10% EXP	SNA
TOOLTIP_AFFECT_RANJU	Gløgg\n+10 bevægelseshastighed\n+5% angrebs skade\n+10% EXP	SNA
TOOLTIP_AFFECT_RCAST_SPEED	Forøg nedkøling	SNA
TOOLTIP_AFFECT_RED_DRAGONLAIR_BUFF	Modstand imod Færdighedsskade +15% | Modstand imod normalt Angrebs Skade +15%	SNA
TOOLTIP_AFFECT_REFINE_FREE_MATERIAL	En-gangs velsignelse, der sikre at den næste forædling ikke forbruger nogen materialer ved aktiveringen.	SNA
TOOLTIP_AFFECT_RESEARCHER_ELIXIR	Forskerens Eliksir	SNA
TOOLTIP_AFFECT_RHP_REGEN	Kan ikke regenerere	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_01	Lager Bonus\n+3% EXP	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_02	Lager Bonus\n+20 forsvar	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_03	Lager Bonus\n+1% angrebspoint	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_04	Lager Bonus\n+3% styrke imod monstre	SNA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_A	Du vil få en yderligere skattekiste, hvis du gennemføre Slange Templet eller Nordvindsdybet med succes.	SNA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_B	Du vil få en yderligere skattekiste, hvis du gennemføre Jotun Thrym eller Zodiac Templet med succes.	SNA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_C	Du vil få en yderligere skattekiste, hvis du overvinder Azrael eller Beran-Setaou med succes.	SNA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_POINT_A	Gådens Tempel (Bonus A) Fremskridt: %d	SA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_POINT_B	Gådens Tempel (Bonus B) Fremskridt: %d	SA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_POINT_C	Gådens Tempel (Bonus C) Fremskridt: %d	SA
TOOLTIP_AFFECT_SET_ITEM_1	Hellig Sæt Bonus	SNA
TOOLTIP_AFFECT_SET_ITEM_2	Herlig Sæt Bonus	SNA
TOOLTIP_AFFECT_SET_ITEM_3	Ridderlig Sæt Bonus	SNA
TOOLTIP_AFFECT_SET_ITEM_4	Royal Sæt Bonus	SNA
TOOLTIP_AFFECT_SET_ITEM_5	Majestætisk Sæt Bonus	SNA
TOOLTIP_AFFECT_SHACKLE	Bøjle
TOOLTIP_AFFECT_SKILL_ATTACK_DAMAGE_BUFF	%0.1fx færdigheds skade
TOOLTIP_AFFECT_SKILL_ATTACK_FORCE_TYPE	Ekkoens Talent
TOOLTIP_AFFECT_SNOWFLAKE_STICK_EVENT_RANK_BUFF	Vinter Fortryllelse	SNA
TOOLTIP_AFFECT_SNOWFLAKE_STICK_EVENT_RANK_BUFF_ACQUIRED	: Modtaget!\n
TOOLTIP_AFFECT_SNOWFLAKE_STICK_EVENT_RANK_BUFF_NOT_ACQUIRED	: Ikke modtaget!\n
TOOLTIP_AFFECT_SNOWFLAKE_STICK_EVENT_SNOWFLAKE_BUFF_1	Snefnug Fortryllelse	SNA
TOOLTIP_AFFECT_SNOWFLAKE_STICK_EVENT_SNOWFLAKE_BUFF_2	Du kan indsamle Snebolde og Snemands Kviste fra besejrede monstre.
TOOLTIP_AFFECT_SUNGMAHEE_TOWER_CURSE	Sung Mahis Forbandelse (stablet %d gange). Din HP ryger ned med 10%% for hver stak, og hver 10 sekund. Kan stables op til 10 gange.	SA
TOOLTIP_AFFECT_SUNGMA_ALL	Øger alle Sung Ma stats med 10%.	SNA
TOOLTIP_AFFECT_SUNGMA_DESC	Sung Mahis vilje gennemsyrer dette sted.
TOOLTIP_AFFECT_SUNGMA_HP	Sung Mas vilje (VIT): %d
TOOLTIP_AFFECT_SUNGMA_HP_BUFF	Øger din Sung Mas vilje (VIT) med +%d.	SA
TOOLTIP_AFFECT_SUNGMA_IMMUNE	Sung Mas vilje (INT): %d
TOOLTIP_AFFECT_SUNGMA_IMMUNE_BUFF	Øger din Sung Mas vilje (INT) med +%d.	SA
TOOLTIP_AFFECT_SUNGMA_MOVE	Sung Mas vilje (RES): %d
TOOLTIP_AFFECT_SUNGMA_MOVE_BUFF	Øger din Sung Mas vilje (RES) med +%d.	SA
TOOLTIP_AFFECT_SUNGMA_MOVE_DEBUFF	-20 Sung Mas vilje (RES)	SNA
TOOLTIP_AFFECT_SUNGMA_STR	Sung Mas vilje (STR): %d
TOOLTIP_AFFECT_SUNGMA_STR_BUFF	Øger din Sung Mas vilje (STR) med +%d.	SA
TOOLTIP_AFFECT_SUNGMA_STR_DEBUFF	-20 Sung Mas vilje (STR)	SNA
TOOLTIP_AFFECT_WHITE_DRAGON_BLESS	Resterende 10%% skades bonus opladninger: %d
TOOLTIP_AFFECT_WORLD_BOSS_DAILY_REWARD	Verdens boss event daglig missions bonus\n angrebsværdi +%d%%	SA
TOOLTIP_AFFECT_WORLD_BOSS_REWARD	Verdens boss event rangliste bonus\n genstands smedning +%d	SA
TOOLTIP_ALIGNMENT_DAMAGE_BONUS	Skaden bliver øget ved lavere rang point.	SNA
TOOLTIP_ANTI_CRITICAL_PCT	Forsvar mod kritisk hit +%d%%	SA
TOOLTIP_ANTI_PENETRATE_PCT	Forsvar mod gennemborende angreb +%d%%	SA
TOOLTIP_ANTI_SELL	Kan ikke sælges i butikken.
TOOLTIP_APPLY_ACCEDRAIN_RATE	Absorberings satsen: %d%%	SA
TOOLTIP_APPLY_ATTBONUS_ANIMAL	Stærk mod dyr +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ASSASSIN	Stærk mod ninjas +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_BELL	Klokkeforsvars Brud +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_BOW	Pil Forsvars Brud +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_CLAW	Klo Forsvars Brud +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_CZ	Stærke imod Zodiac Monstre +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DAGGER	Dolk Forsvars Brud +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DESERT	Stærke imod Ørken Monstre +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DEVIL	Stærk mod djævel +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DRAGON	Stærk imod Drager +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_FAN	Vifte Forsvars Brud +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_HUMAN	Stærk mod halvmennesker +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_INSECT	Stærke imod Insekter +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MILGYO	Stærk mod esoteriker +%d%%	SA
