ACCE_ABSORB_COST	Combinatiekosten: %d
TOOLTIP_AFFECT_FLOWER_OF_DESTRUCTION_FIRE	Krachtbloem Buff: Sterk tegen Vuur: +%d%%\n\nKan ter plekke respawnen.	SA
TOOLTIP_AFFECT_FLOWER_OF_DESTRUCTION_ICE	Krachtbloem Buff: Sterk tegen IJs: +%d%%\n\nKan ter plekke respawnen.	SA
TOOLTIP_AFFECT_FLOWER_OF_DESTRUCTION_WIND	Krachtbloem Buff: Sterk tegen Wind: +%d%%\n\nKan ter plekke respawnen.	SA
TOOLTIP_AFFECT_FLOWER_OF_GALE	Stormbloem Buff: Bewegingssnelheid +%d\n\nKan ter plekke respawnen.	SA
TOOLTIP_AFFECT_FORCE_REMAIN_COUNT	Resterende ladingen: %d
TOOLTIP_AFFECT_FREEZING	Bevroren	SNA
TOOLTIP_AFFECT_GARRISON_BUFF	Immuniteit tegen Sung Mahi's Aanwezigheid	SNA
TOOLTIP_AFFECT_GARRISON_DEBUFF	Sung Mahi's Aanwezigheid	SNA
TOOLTIP_AFFECT_GREEDY_GATE_BUFF	Energie van de Poort	SNA
TOOLTIP_AFFECT_GUILD_SPECIAL_BUILDING_BUFF	Altaarbonus	SNA
TOOLTIP_AFFECT_GUILD_WHITE_DRAGON_BREATH_DEBUFF	Onder Balathor's vernietigende blik wordt je LP-herstel met 50% verminderd.	SNA
TOOLTIP_AFFECT_GUILD_WHITE_DRAGON_ENHANCE_SCALES	Balathor heeft zijn Drakeneieren beschermd met een magisch schubbenpantser, waardoor ze niet beschadigd kunnen worden. Vernietig de schubben met de Hwacha!	SNA
TOOLTIP_AFFECT_GUILD_WHITE_DRAGON_LAIR_BUFF_POTION	+15% Weerstand tegen Vaardighedenschade\n+15% Weerstand tegen Slag Schade	SNA
TOOLTIP_AFFECT_GUILD_WHITE_DRAGON_LAIR_RAGE_DEBUFF	Balathor's ontketende energie verspreidt een ijzige kou. Je aanvalssnelheid is verlaagd.	SNA
TOOLTIP_AFFECT_HEAVY_BLEEDING	Sterk Bloeden	SNA
TOOLTIP_AFFECT_ICECREAM	IJs Hoorntje\nBewegingssnelheid +10\nMagische/fysieke aanval +5%\nERV +10%\n	SNA
TOOLTIP_AFFECT_IMMUNE_MINE_TOWER_SKILL	Bomvrij Ticket	SNA
TOOLTIP_AFFECT_INCREASE_REFINE_PCT	Eenmalige zegening die bij activatie de kans op succes bij de volgende verbetering verhoogt met %d%%.	SA
TOOLTIP_AFFECT_INVINCIBILITY_DECCAN	Nezerath's Schild: Nezerath wordt beschermd tegen schade door zijn opgeroepen hulpjes.	SNA
TOOLTIP_AFFECT_IRON_DRAGON_BLESS	Resterende 10%% schadevermindering ladingen: %d
TOOLTIP_AFFECT_LATE_SUMMER_EVENT_BUFF	Zielen (%d/20)	SA
TOOLTIP_AFFECT_LATE_SUMMER_EVENT_PRIMIUM_BUFF	Zeldzame Zielen (%d/150)	SA
TOOLTIP_AFFECT_LOOTING_SYSTEM	Buit Pas	SNA
TOOLTIP_AFFECT_LUCKY_EVENT	Monster Mep Buff	SNA
TOOLTIP_AFFECT_MERCENARY_MAX_ACTIVE_INCREASE	Verhoogt max. uithoudingsvermogen met +%d	SA
TOOLTIP_AFFECT_MIND_CONTROL	Duistere Invloed	SNA
TOOLTIP_AFFECT_MI_BUFF	Bezettings-buff \n%s
TOOLTIP_AFFECT_MOUNT_FALL	Van rijdier vallen	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_ATTACK_SPEED	Razende Storm	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_EFFECT_UP	Versterkt het Rijeffect	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_EXP	ERV	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_GYEONGGONG	Vederlicht Lopen	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_HIT_PCT	Precisie	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_INVINCIBILITY	Onsterfelijk	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_JOB_ASSASIN	Sterk tegen Ninja's
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_JOB_SHAMAN	Sterk tegen Sjamanen
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_JOB_SURA	Sterk tegen Sura's
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_JOB_WARRIOR	Sterk tegen Krijgers
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_JOB_WOLF	Sterk tegen Lycanen
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_KNOCKBACK	Geen Terugslag	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_NIMBLE	Vlugge Hoeven	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_ANIMAL	Sterk tegen Dieren
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_CZ	Sterk tegen Zodiac Monsters
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_DESSERT	Sterk tegen Woestijnmonsters
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_DEVIL	Sterk tegen Duivels
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_HUMAN	Sterk tegen Halfmensen
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_INSECT	Sterk tegen Insecten
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_MILGYO	Sterk tegen Mystici
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_MONSTER	Sterk tegen Alle Monsters
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_UNDEAD	Sterk tegen Ondoden
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_WONGGUI	Sterk tegen Orks
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_SUNGMA_HP	Sung Ma's Wil (VIT)	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_SUNGMA_IMMUNE	Sung Ma's Wil (INT)	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_SUNGMA_MOVE	Sung Ma's Wil (WST)	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_SUNGMA_STR	Sung Ma's Wil (KRA)	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_TO_STRONG	Rijden	SNA
TOOLTIP_AFFECT_NORMAL_ATTACK_DAMAGE_BUFF	%0.1fx normale aanvalsschade
TOOLTIP_AFFECT_NORMAL_ATTACK_FORCE_TYPE	Echo van Kracht
TOOLTIP_AFFECT_NO_FALLEN	Valweerstand	SNA
TOOLTIP_AFFECT_OTHER_WORLD_DEAD_SOUL	Asmodeus' max. LP is verminderd met %d%%.	SA
TOOLTIP_AFFECT_OTHER_WORLD_GOBLIN_PROTECTION	Je kunt niet onder invloed komen van Asmodeus' Vloek in Verdoemenis.	SNA
TOOLTIP_AFFECT_OTHER_WORLD_YEOMWANG_CURSE	Schade toegebracht aan monsters is verminderd met 30%.	SNA
TOOLTIP_AFFECT_PASWAE	Vermindert verdediging en bewegingssnelheid gedurende vijf seconden.
TOOLTIP_AFFECT_POLYMORPH	Transformeren	SNA
TOOLTIP_AFFECT_POLYMORPH_DEBUFF	Polymorf (Debuff)	SNA
TOOLTIP_AFFECT_PREMIUM_MEMBERSHIP_BUFF	Metin+ Lidmaatschap\n\nJe kunt de volledige details en opties voor jouw Metin+-lidmaatschap vinden op de respectievelijke pagina door te klikken op Wat is er nieuw?	SNA
TOOLTIP_AFFECT_PREMIUM_PRIVATE_SHOP	Persoonlijke Premium Shop	SNA
TOOLTIP_AFFECT_RAMADNA_CANDY	Snoepjes\n+10 bewegingssnelheid\n+5% aanvalsschade\n+10% ERV	SNA
TOOLTIP_AFFECT_RANJU	Glühwein\n+10 bewegingssnelheid\n+5% aanvalsschade\n+10% ERV	SNA
TOOLTIP_AFFECT_RCAST_SPEED	Afkoelperiode verhogen	SNA
TOOLTIP_AFFECT_RED_DRAGONLAIR_BUFF	Weerstand tegen Vaardigheden Schade +15% | Weerstand tegen normale Aanvalsschade +15%	SNA
TOOLTIP_AFFECT_REFINE_FREE_MATERIAL	Eenmalige zegening die bij activatie ervoor zorgt dat bij de volgende verbetering geen materialen verbruikt worden.	SNA
TOOLTIP_AFFECT_RESEARCHER_ELIXIR	Onderzoeker's Elixer	SNA
TOOLTIP_AFFECT_RHP_REGEN	Kan niet regenereren	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_01	Opslagbonus\n+3% ERV	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_02	Opslagbonus\n+20 verdediging	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_03	Opslagbonus\n+1% levenspunten	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_04	Opslagbonus\n+3% kracht tegen monsters	SNA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_A	Je ontvangt een extra schatkist als je de Serpententempel of de Noordewind Diepten succesvol weet af te ronden.	SNA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_B	Je ontvangt een extra schatkist als je Jotun Thrym of de Zodiac Tempel succesvol weet af te ronden.	SNA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_C	Je ontvangt een extra schatkist als je Azrael of Beran-Setaou met succes weet te vernietigen.	SNA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_POINT_A	Enigma Tempel (Bonus A) Voortgang: %d	SA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_POINT_B	Enigma Tempel (Bonus B) Voortgang: %d	SA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_POINT_C	Enigma Tempel (Bonus C) Voortgang: %d	SA
TOOLTIP_AFFECT_SET_ITEM_1	Heilige Setbonus	SNA
TOOLTIP_AFFECT_SET_ITEM_2	Glorieuze Setbonus	SNA
TOOLTIP_AFFECT_SET_ITEM_3	Ridderlijke Setbonus	SNA
TOOLTIP_AFFECT_SET_ITEM_4	Koninklijke Setbonus	SNA
TOOLTIP_AFFECT_SET_ITEM_5	Majestueuze Setbonus	SNA
TOOLTIP_AFFECT_SHACKLE	Sluiting
TOOLTIP_AFFECT_SKILL_ATTACK_DAMAGE_BUFF	%0.1fx vaardighedenschade
TOOLTIP_AFFECT_SKILL_ATTACK_FORCE_TYPE	Echo van Talent
TOOLTIP_AFFECT_SNOWFLAKE_STICK_EVENT_RANK_BUFF	Winter Spreuk	SNA
TOOLTIP_AFFECT_SNOWFLAKE_STICK_EVENT_RANK_BUFF_ACQUIRED	: Ontvangen!\n
TOOLTIP_AFFECT_SNOWFLAKE_STICK_EVENT_RANK_BUFF_NOT_ACQUIRED	: Niet ontvangen!\n
TOOLTIP_AFFECT_SNOWFLAKE_STICK_EVENT_SNOWFLAKE_BUFF_1	Sneeuwvlokje Spreuk	SNA
TOOLTIP_AFFECT_SNOWFLAKE_STICK_EVENT_SNOWFLAKE_BUFF_2	Je kunt Sneeuwbalen en Sneeuwman Twijgjes verzamelen van verslagen monsters.
TOOLTIP_AFFECT_SUNGMAHEE_TOWER_CURSE	Sung Mahi's Vloek (%d keer gestapeld). Jouw LP daalt met 10%% per stapel en elke 10 seconden. Kan tot 10 keer gestapeld worden.	SA
TOOLTIP_AFFECT_SUNGMA_ALL	Verhoog al jouw Sung Ma-statistieken met 10%	SNA
TOOLTIP_AFFECT_SUNGMA_DESC	Deze plek is doordrongen met Sung Mahi's wil.
TOOLTIP_AFFECT_SUNGMA_HP	Sung Ma's wil (VIT): %d
TOOLTIP_AFFECT_SUNGMA_HP_BUFF	Verhoogt jouw Sung Ma's wil (VIT) met +%d.	SA
TOOLTIP_AFFECT_SUNGMA_IMMUNE	Sung Ma's wil (INT): %d
TOOLTIP_AFFECT_SUNGMA_IMMUNE_BUFF	Verhoogt jouw Sung Ma's wil (INT) met +%d.	SA
TOOLTIP_AFFECT_SUNGMA_MOVE	Sung Ma's wil (WST): %d
TOOLTIP_AFFECT_SUNGMA_MOVE_BUFF	Verhoogt jouw Sung Ma's wil (WST) met +%d.	SA
TOOLTIP_AFFECT_SUNGMA_MOVE_DEBUFF	-20 Sung Ma's wil (WST)	SNA
TOOLTIP_AFFECT_SUNGMA_STR	Sung Ma's wil (KRA): %d
TOOLTIP_AFFECT_SUNGMA_STR_BUFF	Verhoogt jouw Sung Ma's wil (KRA) met +%d.	SA
TOOLTIP_AFFECT_SUNGMA_STR_DEBUFF	-20 Sung Ma's wil (KRA)	SNA
TOOLTIP_AFFECT_WHITE_DRAGON_BLESS	Resterende 10%% schadebonus ladingen: %d
TOOLTIP_AFFECT_WORLD_BOSS_DAILY_REWARD	Wereldbaasevenement dagelijkse quest-bonus\n aanvalswaarde +%d%%	SA
TOOLTIP_AFFECT_WORLD_BOSS_REWARD	Wereldbaas evenement ranglijstbonus\n item drop +%d	SA
TOOLTIP_ALIGNMENT_DAMAGE_BONUS	Schade is hoger bij lagere rangpunten.	SNA
TOOLTIP_ANTI_CRITICAL_PCT	Weerstand tegen kritieke slagen +%d%%	SA
TOOLTIP_ANTI_PENETRATE_PCT	Weerstand tegen perforerende slagen +%d%%	SA
TOOLTIP_ANTI_SELL	Kan niet verkocht worden in een Warenhuis
TOOLTIP_APPLY_ACCEDRAIN_RATE	Absorberingswaarde: %d%%	SA
TOOLTIP_APPLY_ATTBONUS_ANIMAL	Sterk tegen Dieren +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ASSASSIN	Sterk tegen Ninjas +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_BELL	Belverdedigingsbreuk +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_BOW	Pijlverdedigingsbreuk +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_CLAW	Klauwverdedigingsbreuk +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_CZ	Sterk tegen Zodiac Monsters +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DAGGER	Dolkverdedigingsbreuk +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DESERT	Sterk tegen Woestijn Monsters +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DEVIL	Sterk tegen Duivel +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DRAGON	Sterk tegen Draken +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_FAN	Waaierverdedigingsbreuk +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_HUMAN	Sterk tegen Halfmensen +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_INSECT	Sterk tegen Insecten +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MILGYO	Sterk tegen Mystici +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MONSTER	Sterk tegen Monster +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MOON	Sterk tegen Maanschaduw Monsters +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MYSTERY_DUNGEON	Sterk tegen Mysteries +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ORC	Sterk tegen Orks +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SHAMAN	Sterk tegen Sjamaan +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SURA	Sterk tegen Sura +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SWORD	Zwaardverdedigingsbreuk +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_TWOHAND	Tweehandsverdedigingsbreuk +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_UNDEAD	Sterk tegen Ondoden +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WARRIOR	Sterk tegen Krijger +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WOLFMAN	Sterk tegen Lycanen + %d%%	SA
TOOLTIP_APPLY_BLEEDING_PCT	Bloedingsaanval + %d%%	SA
TOOLTIP_APPLY_BLEEDING_REDUCE	Weerstand tegen Bloedingsaanval: +%d%%	SA
TOOLTIP_APPLY_BLOCK	%d%% Kans om Aanvallen te blokkeren tegen het Lichaam	SA
TOOLTIP_APPLY_BLOCK_PENETRATE_PCT	Blokkeerpenetratie +%d%%	SA
TOOLTIP_APPLY_BONUS_BLOCK_PENETRATE_PCT	Blokkeerpenetratie: %d%% van totale waarde	SA
TOOLTIP_APPLY_BONUS_HIT_PCT	Precisie +%d%%	SA
TOOLTIP_APPLY_COMBAT_SP_RECOVER	Herstel TP in 5 seconden in een gevecht %d	SA
TOOLTIP_APPLY_CONFUSION_TO_MOB	Kans op Verward: %0.1f%%	SA
TOOLTIP_APPLY_CRITICAL_PCT	Kans op Kritieke Slag +%d%%	SA
TOOLTIP_APPLY_DAMAGE_SP_RECOVER	%d%% Kans om TP terug te krijgen wanneer je wordt geraakt	SA
TOOLTIP_APPLY_DODGE	Kans om Pijlen te ontwijken %d%%	SA
TOOLTIP_APPLY_ENCHANT_DARK	Kracht van Duisternis +%d%%	SA
TOOLTIP_APPLY_ENCHANT_DARK2	Kracht van Duisternis +%d%% - +%d%%
TOOLTIP_APPLY_ENCHANT_EARTH	Kracht van Aarde +%d%%	SA
TOOLTIP_APPLY_ENCHANT_EARTH2	Kracht van Aarde +%d%% - +%d%%
TOOLTIP_APPLY_ENCHANT_ELECT	Kracht van Bliksem +%d%%	SA
TOOLTIP_APPLY_ENCHANT_ELECT2	Kracht van Bliksem +%d%% - +%d%%
TOOLTIP_APPLY_ENCHANT_FIRE	Kracht van Vuur +%d%%	SA
TOOLTIP_APPLY_ENCHANT_FIRE2	Kracht van Vuur +%d%% - +%d%%
TOOLTIP_APPLY_ENCHANT_ICE	Kracht van IJs +%d%%	SA
TOOLTIP_APPLY_ENCHANT_ICE2	Kracht van IJs +%d%% - +%d%%
TOOLTIP_APPLY_ENCHANT_WIND	Kracht van de Wind +%d%%	SA
TOOLTIP_APPLY_ENCHANT_WIND2	Kracht van de Wind +%d%% - +%d%%
TOOLTIP_APPLY_EXP_DOUBLE_BONUS	%d%% Kans op ERV Bonus	SA
TOOLTIP_APPLY_GOLD_DOUBLE_BONUS	%d%% Kans om dubbele Yang te laten vallen	SA
TOOLTIP_APPLY_IMMUNE_BLEEDING100	Immuun tegen bloeden	SNA
TOOLTIP_APPLY_IMMUNE_FALL	Immuun tegen neervallen	SNA
TOOLTIP_APPLY_IMMUNE_POISON100	Immuun tegen gif	SNA
TOOLTIP_APPLY_IMMUNE_SLOW	Verdediging tegen langzaam maken	SNA
TOOLTIP_APPLY_IMMUNE_STUN	Verdediging tegen flauwvallen	SNA
TOOLTIP_APPLY_ITEM_DROP_BONUS	%d%% Kans om dubbel zo veel Voorwerpen te laten vallen	SA
TOOLTIP_APPLY_KILL_HP_RECOVER	%d%% Kans om LP te herstellen	SA
TOOLTIP_APPLY_KILL_SP_RECOVER	%d%% Kans om TP te herstellen	SA
TOOLTIP_APPLY_MANA_BURN_PCT	%d%% Kans om de TP van de vijand te nemen	SA
TOOLTIP_APPLY_MAX_HP_PCT	Max. LP +%d%%	SA
TOOLTIP_APPLY_MAX_SP_PCT	Max. TP +%d%%	SA
TOOLTIP_APPLY_MONSTER_DEFEND_BONUS	Weerstand tegen monsteraanvallen %d	SA
TOOLTIP_APPLY_NOAFFECT	Geen effect
TOOLTIP_APPLY_NO_DEATH_PENALTY	Er zullen geen ervaringspunten verloren gaan wanneer je karakter tot leven is gewekt op de plek van zijn dood	SNA
TOOLTIP_APPLY_NO_DEATH_PENALTY_PLUS	De Draken God neemt je onder zijn beschermende vleugels. Als je opnieuw tot leven gewekt wordt op de plaats waar je stierf, verlies je geen ervaringspunten.	SNA
TOOLTIP_APPLY_PENETRATE_PCT	%d%% Kans op Penetrerende Schoten	SA
TOOLTIP_APPLY_POISON_PCT	Vergiftigings Kans: %d%%	SA
TOOLTIP_APPLY_POISON_REDUCE	Vergif Weerstand: %d%%	SA
TOOLTIP_APPLY_POTION_BONUS	Brouwsel %d%% effect verhoging	SA
TOOLTIP_APPLY_REFLECT_CURSE	Kans om vloek te weerkaatsen: %d%%	SA
TOOLTIP_APPLY_REFLECT_MELEE	%d%% Kans om directe lichaam slag te weerkaatsen	SA
TOOLTIP_APPLY_REFUSE_EXP	Geen Ervaring Verdiend	SNA
TOOLTIP_APPLY_RESIST_ASSASSIN	Verdedigings kans tegen Ninja aanvallen: %d%%	SA
TOOLTIP_APPLY_RESIST_BELL	Bel Verdediging %d%%	SA
TOOLTIP_APPLY_RESIST_CLAW	Klauwverdediging +%d%%	SA
TOOLTIP_APPLY_RESIST_DAGGER	Mes Verdediging %d%%	SA
TOOLTIP_APPLY_RESIST_FAN	Waaier Verdediging %d%%	SA
TOOLTIP_APPLY_RESIST_HUMAN	Weerstand tegen Halfmensen %d%%	SA
TOOLTIP_APPLY_RESIST_MOUNT_FALL	Valweerstand +%d%%	SA
TOOLTIP_APPLY_RESIST_SHAMAN	Verdedigings Kans tegen Sjamaam aanvallen: %d%%	SA
TOOLTIP_APPLY_RESIST_SURA	Verdedigings Kans tegen Sura aanvallen: %d%%	SA
TOOLTIP_APPLY_RESIST_SWORD	Zwaard Verdediging %d%%	SA
TOOLTIP_APPLY_RESIST_TWOHAND	Twee-Handig Verdediging %d%%	SA
TOOLTIP_APPLY_RESIST_WARRIOR	Verdediging Kans tegen Krijger aanvallen: %d%%	SA
TOOLTIP_APPLY_RESIST_WIND	Wind Weerstand %d%%	SA
TOOLTIP_APPLY_RESIST_WOLFMAN	Verdedigingskans tegen Lycaan Aanvallen + %d%%	SA
TOOLTIP_APPLY_SKILL_BOOK_BONUS	Kans om van boeken te leren verhoogd met factor 2.5	SNA
TOOLTIP_APPLY_SKILL_BOOK_NO_DELAY	Als leren faalt wordt de Gemene Geest Vloek opgeheven.	SNA
TOOLTIP_APPLY_SLOW_PCT	Langzaam maken Kans: %d%%	SA
TOOLTIP_APPLY_STEAL_HP	%d%% Schade zal geabsorbeerd worden door LP.	SA
TOOLTIP_APPLY_STEAL_SP	%d%% Schade zal geabsorbeerd worden door TP	SA
TOOLTIP_APPLY_STUN_PCT	Flauwvalkans %d%%	SA
TOOLTIP_ARMOR	Pantser
TOOLTIP_ARROW	Pijl
TOOLTIP_ASSASSIN	Ninja
TOOLTIP_ATTBONUS_PER_ANIMAL	Sterk tegen Dieren (+%d%% van totale waarde)	SA
TOOLTIP_ATTBONUS_PER_CZ	Sterk tegen Zodiac Monsters (+%d%% van totale waarde)	SA
TOOLTIP_ATTBONUS_PER_DESERT	Sterk tegen Woestijn Monsters (+%d%% van totale waarde)	SA
TOOLTIP_ATTBONUS_PER_DEVIL	Sterk tegen Duivels (+%d%% van totale waarde)	SA
TOOLTIP_ATTBONUS_PER_HUMAN	Sterk tegen Halfmensen (+%d%% van totale waarde)	SA
TOOLTIP_ATTBONUS_PER_INSECT	Sterk tegen Insecten (+%d%% van totale waarde)	SA
TOOLTIP_ATTBONUS_PER_MILGYO	Sterk tegen Mystici (+%d%% van totale waarde)	SA
TOOLTIP_ATTBONUS_PER_MONSTER	Sterk tegen Monsters (+%d%% van totale waarde)	SA
TOOLTIP_ATTBONUS_PER_ORC	Sterk tegen Orks (+%d%% van totale waarde)	SA
TOOLTIP_ATTBONUS_PER_STONE	Sterk tegen Metin Stenen (+%d%% van totale waarde)	SA
TOOLTIP_ATTBONUS_PER_UNDEAD	Sterk tegen Ondoden (+%d%% van totale waarde)	SA
TOOLTIP_ATTBONUS_STONE	+%d%% kracht tegen Metin stenen	SA
TOOLTIP_ATT_GRADE	Aanvals waarde +%d	SA
TOOLTIP_ATT_SPEED	Aanvals Snelheid +%d	SA
TOOLTIP_ATT_SPEED_SLOW	Aanvalssnelheid verminderd	SNA
TOOLTIP_AUTO_DAMAGE_POTION_REST	Resterende tijd: %d
TOOLTIP_AUTO_PICKUP	Je hebt een kans van %d%% om items dichtbij automatisch op te rapen gedurende 30 seconden	SA
TOOLTIP_AUTO_POTION_HP	Zon Elixer
TOOLTIP_AUTO_POTION_REST	Resterend: %.2f%%
TOOLTIP_AUTO_POTION_SP	Maan Elixer
TOOLTIP_AUTO_POTION_USING	Actief
TOOLTIP_AUTO_SYSTEM_PRIMIUM	Auto-Jacht	SNA
TOOLTIP_BATTLE_POTION	Strijd Zone Gevechtsdrankje	SNA
TOOLTIP_BATTLE_ROYALE_AFFECT_INFINITE_STAMINA	Oneindige Uithouding	SNA
TOOLTIP_BATTLE_ROYALE_AFFECT_MOVE_SPEED	Bewegingssnelheid verhoogd	SNA
TOOLTIP_BATTLE_ROYALE_AFFECT_SLOW	Bewegingssnelheid verlaagd	SNA
TOOLTIP_BOW_DISTANCE	Bereik +%dm	SA
TOOLTIP_BUYPRICE	Prijs: %s
TOOLTIP_CAST_SPEED	Spreuksnelheid: +%d%%	SA
TOOLTIP_CON	Vitaliteit +%d	SA
TOOLTIP_CONFUSION_IMMUNE	Immuun voor Verbaasd
TOOLTIP_COSTUME_ATTR_BONUS	Kostuum bonus %d%%	SA
TOOLTIP_CURSE_OF_DARKNESS_UI_CONTENT	Elk gebruik verhoogt Aamon's aanval en verdediging\nen staat het hem toe vaker vaardigheden te gebruiken.\nNa vijf gebruiken, kun je de kracht van de Zonnescherven gebruiken\nmet Albira's hulp om de Maanschaduw Vloek op te heffen.
TOOLTIP_CURSE_OF_DARKNESS_UI_TITLE	Maanschaduw Vloek (%dx)
TOOLTIP_CURSE_OF_ELEMENTAL	Elementale Vloek (%d stapels). Jouw LP lekt weg. Kan tot 10 keer gestapeld worden.	SA
TOOLTIP_DAMAGE_HP_RECOVERY	Absorbeert %d%% schade als LP	SA
TOOLTIP_DAMAGE_SP_RECOVERY	Absorbeert %d%% schade als TP	SA
TOOLTIP_DEF_GRADE	Verdediging +%d	SA
TOOLTIP_DEX	Behendigheid +%d	SA
TOOLTIP_DISMOUNT_MOVE_SPEED_BONUS_PER	Als je van je rijdier afstapt stijgt je bewegingssnelheid met %d%% gedurende 10 seconden	SA
TOOLTIP_DRAGON_SOUL_DECK1	Lucht	SNA
TOOLTIP_DRAGON_SOUL_DECK2	Aarde	SNA
TOOLTIP_DS_SET	DSS Set Effect	SNA
TOOLTIP_DURATION	Duur
TOOLTIP_EAR	Oorbel
TOOLTIP_ENCHANT_PER_DARK	Kracht van Duisternis (+%d%% van totale waarde)	SA
TOOLTIP_ENCHANT_PER_EARTH	Kracht van Aarde (+%d%% van totale waarde)	SA
TOOLTIP_ENCHANT_PER_ELECT	Kracht van Bliksem (+%d%% van totale waarde)	SA
TOOLTIP_ENCHANT_PER_FIRE	Kracht van Vuur (+%d%% van totale waarde)	SA
TOOLTIP_ENCHANT_PER_ICE	Kracht van IJs (+%d%% van totale waarde)	SA
TOOLTIP_ENCHANT_PER_WIND	Kracht van de Wind (+%d%% van totale waarde)	SA
TOOLTIP_ENERGY	Energie %d	SA
TOOLTIP_ETC	En zo voorts
TOOLTIP_EXP_BONUS_EVENT	ERV +%d%%	SA
TOOLTIP_FIFTH_ATTRIBUTE_BONUS	5de bonus +%d%%	SA
TOOLTIP_FIRST_ATTRIBUTE_BONUS	1ste bonus +%d%%	SA
TOOLTIP_FISHINGROD_EXP	Punten  %d / %d
TOOLTIP_FISHINGROD_LEVEL	Kracht: %d
TOOLTIP_FISHINGROD_UPGRADE1	Geef het aan de Visser
TOOLTIP_FISHINGROD_UPGRADE2	om een betere
TOOLTIP_FISHINGROD_UPGRADE3	Vis Hengel te krijgen.
TOOLTIP_FISH_LEN	Lengte: %.2fcm
TOOLTIP_FLOWER_EVENT_SHOOT_ENVELOPE	Bloem Zaadjes
TOOLTIP_FOURTH_ATTRIBUTE_BONUS	4de bonus +%d%%	SA
