ACCE_ABSORB_COST	Combination costs: %d
TITLE_SYSTEM_MESSAGE_WRONG_APPROACH	This title is not available yet or its duration has expired.
TITLE_SYSTEM_MESSAGE_WRONG_ITEM	You cannot receive this title with this certificate. Please check the table.
TITLE_SYSTEM_OPEN_TITLE_UI	Open Title Menu
TITLE_SYSTEM_TEXT_TITLE	Title
TITLE_SYSTEM_TOOLTIP_BACK_BUTTON	Show Equipped Title
TITLE_SYSTEM_TOOLTIP_GET_CONDITION	Requirement: %s
TITLE_SYSTEM_TOOLTIP_ITEM_TIME_LEFT	Time remaining:
TITLE_SYSTEM_TOOLTIP_LEFT_TIME	Time remaining: %s
TITLE_SYSTEM_TOOLTIP_TITLE_INFINITE	Permanent
TITLE_SYSTEM_TOOLTIP_TITLE_TIME_LEFT	Title Duration:
TITLE_SYSTEM_TOOLTIP_USE_INFINITE	Can be used permanently.
TITLE_SYSTEM_TOOLTIP_WARNING_TIME	This item cannot be used after it has expired.
TITLE_SYSTEM_USE_SCROLL_QUESTION	Do you want to redeem the certificate?
TOOLTIP_AFFECT_AIR_BORNE	Airborne	SNA
TOOLTIP_AFFECT_ATT_GRADE_DOWN	Reduce damage	SNA
TOOLTIP_AFFECT_CANNOT_APPLY	You cannot use that in PvP or while transformed.
TOOLTIP_AFFECT_CHEONUN	Aether Ward	SNA
TOOLTIP_AFFECT_CONFUSION	Confused.
TOOLTIP_AFFECT_CRITICAL_GRADE_DOWN	Reduce critical hit chance	SNA
TOOLTIP_AFFECT_CURSE_OF_DARKNESS	Moonshadow Curse (%dx)	SA
TOOLTIP_AFFECT_CZ_UNLIMIT_ENTER	Mark of the Guardian	SNA
TOOLTIP_AFFECT_DEFENSEWAVE_LASER	The hydro beam couldn't be stopped.	SNA
TOOLTIP_AFFECT_DEF_GRADE_DOWN	Reduce defence	SNA
TOOLTIP_AFFECT_ELECTRIC_SHOCK	Lightning
TOOLTIP_AFFECT_ELEMENT_BUFF_CRACK	Bonus Damage Type: %s\n\nYou can respawn on the spot with an active Storm or Power Flower buff.
TOOLTIP_AFFECT_ELEMENT_BUFF_CRACK_DARK	Power of Darkness
TOOLTIP_AFFECT_ELEMENT_BUFF_CRACK_EARTH	Power of Earth
TOOLTIP_AFFECT_ELEMENT_BUFF_CRACK_ELECT	Power of Lightning
TOOLTIP_AFFECT_ELEMENT_BUFF_CRACK_FIRE	Power of Fire
TOOLTIP_AFFECT_ELEMENT_BUFF_CRACK_ICE	Power of Ice
TOOLTIP_AFFECT_ELEMENT_BUFF_CRACK_NONE	None
TOOLTIP_AFFECT_ELEMENT_BUFF_CRACK_WIND	Power of the Wind
TOOLTIP_AFFECT_FISHING_GOLD_TUNA	Golden Tuna Bonus	SNA
TOOLTIP_AFFECT_FISHING_MOVE_SPEED_DOWN	Wet Clothing\nMovement speed -50	SNA
TOOLTIP_AFFECT_FLAG_CANNOT_ATTACK	Normal attacks are locked
TOOLTIP_AFFECT_FLAG_CANNOT_USE_SKILL	Skills are locked
TOOLTIP_AFFECT_FLOWER_OF_DESTRUCTION	Power Flower Buff
TOOLTIP_AFFECT_FLOWER_OF_DESTRUCTION_ANIMAL	Power Flower Buff: Strong against Animals: +%d%%\n\nCan respawn on the spot.	SA
TOOLTIP_AFFECT_FLOWER_OF_DESTRUCTION_DARK	Power Flower Buff: Strong against Darkness: +%d%%\n\nCan respawn on the spot.	SA
TOOLTIP_AFFECT_FLOWER_OF_DESTRUCTION_EARTH	Power Flower Buff: Strong against Earth: +%d%%\n\nCan respawn on the spot.	SA
TOOLTIP_AFFECT_FLOWER_OF_DESTRUCTION_ELECT	Power Flower Buff: Strong against Lightning: +%d%%\n\nCan respawn on the spot.	SA
TOOLTIP_AFFECT_FLOWER_OF_DESTRUCTION_FIRE	Power Flower Buff: Strong against Fire: +%d%%\n\nCan respawn on the spot.	SA
TOOLTIP_AFFECT_FLOWER_OF_DESTRUCTION_ICE	Power Flower Buff: Strong against Ice: +%d%%\n\nCan respawn on the spot.	SA
TOOLTIP_AFFECT_FLOWER_OF_DESTRUCTION_WIND	Power Flower Buff: Strong against Wind: +%d%%\n\nCan respawn on the spot.	SA
TOOLTIP_AFFECT_FLOWER_OF_GALE	Storm Flower Buff: Movement speed +%d\n\nCan respawn on the spot.	SA
TOOLTIP_AFFECT_FORCE_REMAIN_COUNT	Remaining charges: %d
TOOLTIP_AFFECT_FREEZING	Frozen	SNA
TOOLTIP_AFFECT_GARRISON_BUFF	Immunity to Sung Mahi's Presence	SNA
TOOLTIP_AFFECT_GARRISON_DEBUFF	Sung Mahi's Presence	SNA
TOOLTIP_AFFECT_GREEDY_GATE_BUFF	Energy of the Gate	SNA
TOOLTIP_AFFECT_GUILD_SPECIAL_BUILDING_BUFF	Shrine Bonus	SNA
TOOLTIP_AFFECT_GUILD_WHITE_DRAGON_BREATH_DEBUFF	Under Balathor's withering gaze, your HP recovery is reduced by 50%.	SNA
TOOLTIP_AFFECT_GUILD_WHITE_DRAGON_ENHANCE_SCALES	Balathor has protected his Dragon Eggs with a magical scale armour and they cannot be damaged. Destroy the scales with the Hwacha!	SNA
TOOLTIP_AFFECT_GUILD_WHITE_DRAGON_LAIR_BUFF_POTION	+15% Resistance to Skill Damage\n+15% Resistance to Hit Damage	SNA
TOOLTIP_AFFECT_GUILD_WHITE_DRAGON_LAIR_RAGE_DEBUFF	Balathor's unchained energy spreads an icy cold. Your attack speed is reduced.	SNA
TOOLTIP_AFFECT_HEAVY_BLEEDING	Strong Bleeding	SNA
TOOLTIP_AFFECT_ICECREAM	Ice Cream Cornet\nMovement speed +10\nMagic/melee attack +5%\nEXP +10%\n	SNA
TOOLTIP_AFFECT_IMMUNE_MINE_TOWER_SKILL	Bombproof Ticket	SNA
TOOLTIP_AFFECT_INCREASE_REFINE_PCT	One-time blessing which increases the next refinement's chance of success by %d%% upon activation.	SA
TOOLTIP_AFFECT_INVINCIBILITY_DECCAN	Nezerath's Shield: Nezerath is protected from damage by his summoned minions.	SNA
TOOLTIP_AFFECT_IRON_DRAGON_BLESS	Remaining 10%% damage reduction charges: %d
TOOLTIP_AFFECT_LATE_SUMMER_EVENT_BUFF	Souls (%d/20)	SA
TOOLTIP_AFFECT_LATE_SUMMER_EVENT_PRIMIUM_BUFF	Rare Souls (%d/150)	SA
TOOLTIP_AFFECT_LOOTING_SYSTEM	Loot Pass	SNA
TOOLTIP_AFFECT_LUCKY_EVENT	Monster Bash Buff	SNA
TOOLTIP_AFFECT_MERCENARY_MAX_ACTIVE_INCREASE	Increases max. endurance by +%d	SA
TOOLTIP_AFFECT_MIND_CONTROL	Dark Influence	SNA
TOOLTIP_AFFECT_MI_BUFF	Occupation Buff \n%s
TOOLTIP_AFFECT_MOUNT_FALL	Fall from mount	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_ATTACK_SPEED	Raging Storm	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_EFFECT_UP	Strengthens the Riding Effect	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_EXP	EXP	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_GYEONGGONG	Feather Walk	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_HIT_PCT	Precision	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_INVINCIBILITY	Immortal	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_JOB_ASSASIN	Strong against Ninjas
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_JOB_SHAMAN	Strong against Shamans
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_JOB_SURA	Strong against Suras
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_JOB_WARRIOR	Strong against Warriors
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_JOB_WOLF	Strong against Lycans
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_KNOCKBACK	No Knockback	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_NIMBLE	Swift Hooves	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_ANIMAL	Strong against Animals
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_CZ	Strong against Zodiac Monsters
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_DESSERT	Strong against Desert Monsters
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_DEVIL	Strong against Devils
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_HUMAN	Strong against Half Humans
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_INSECT	Strong against Insects
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_MILGYO	Strong against Mystics
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_MONSTER	Strong against All Monsters
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_UNDEAD	Strong against Undead
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_WONGGUI	Strong against Orcs
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_SUNGMA_HP	Sung Ma's Will (VIT)	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_SUNGMA_IMMUNE	Sung Ma's Will (INT)	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_SUNGMA_MOVE	Sung Ma's Will (RES)	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_SUNGMA_STR	Sung Ma's Will (STR)	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_TO_STRONG	Riding	SNA
TOOLTIP_AFFECT_NORMAL_ATTACK_DAMAGE_BUFF	%0.1fx normal attack damage
TOOLTIP_AFFECT_NORMAL_ATTACK_FORCE_TYPE	Echo of Strength
TOOLTIP_AFFECT_NO_FALLEN	Fall Resistance	SNA
TOOLTIP_AFFECT_OTHER_WORLD_DEAD_SOUL	Asmodeus' max. HP has been reduced by %d%%.	SA
TOOLTIP_AFFECT_OTHER_WORLD_GOBLIN_PROTECTION	You cannot be inflicted with Asmodeus' Curse in Damnation.	SNA
TOOLTIP_AFFECT_OTHER_WORLD_YEOMWANG_CURSE	Damage inflicted on monsters is reduced by 30%.	SNA
TOOLTIP_AFFECT_PASWAE	Reduces defence and movement speed for 5 seconds.
TOOLTIP_AFFECT_POLYMORPH	Transform	SNA
TOOLTIP_AFFECT_POLYMORPH_DEBUFF	Polymorph (Debuff)	SNA
TOOLTIP_AFFECT_PREMIUM_MEMBERSHIP_BUFF	Metin+ Membership\n\nYou can find full details and options for your Metin+ membership on the respective page by clicking What's New?	SNA
TOOLTIP_AFFECT_PREMIUM_PRIVATE_SHOP	Personal Premium Shop	SNA
TOOLTIP_AFFECT_RAMADNA_CANDY	Sweets\n+10 movement speed\n+5% attack damage\n+10% EXP	SNA
TOOLTIP_AFFECT_RANJU	Mulled Wine\n+10 movement speed\n+5% attack damage\n+10% EXP	SNA
TOOLTIP_AFFECT_RCAST_SPEED	Increase cooldown	SNA
TOOLTIP_AFFECT_RED_DRAGONLAIR_BUFF	Resistance against Skill Damage +15% | Resistance against normal Attack Damage +15%	SNA
TOOLTIP_AFFECT_REFINE_FREE_MATERIAL	One-time blessing which ensures the next refinement consumes no materials upon activation.	SNA
TOOLTIP_AFFECT_RESEARCHER_ELIXIR	Researcher's Elixir	SNA
TOOLTIP_AFFECT_RHP_REGEN	Cannot regenerate	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_01	Storage Bonus\n+3% EXP	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_02	Storage Bonus\n+20 defence	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_03	Storage Bonus\n+1% hit points	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_04	Storage Bonus\n+3% strength against monsters	SNA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_A	You'll get an additional treasure chest if you successfully complete the Serpent Temple or the Northwind Deeps.	SNA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_B	You'll get an additional treasure chest if you successfully complete Jotun Thrym or the Zodiac Temple.	SNA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_C	You'll get an additional treasure chest if you successfully vanquish Azrael or Beran-Setaou.	SNA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_POINT_A	Enigma Temple (Bonus A) Progress: %d	SA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_POINT_B	Enigma Temple (Bonus B) Progress: %d	SA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_POINT_C	Enigma Temple (Bonus C) Progress: %d	SA
TOOLTIP_AFFECT_SET_ITEM_1	Holy Set Bonus	SNA
TOOLTIP_AFFECT_SET_ITEM_2	Glorious Set Bonus	SNA
TOOLTIP_AFFECT_SET_ITEM_3	Chivalric Set Bonus	SNA
TOOLTIP_AFFECT_SET_ITEM_4	Royal Set Bonus	SNA
TOOLTIP_AFFECT_SET_ITEM_5	Majestic Set Bonus	SNA
TOOLTIP_AFFECT_SHACKLE	Shackle
TOOLTIP_AFFECT_SKILL_ATTACK_DAMAGE_BUFF	%0.1fx skill damage
TOOLTIP_AFFECT_SKILL_ATTACK_FORCE_TYPE	Echo of Talent
TOOLTIP_AFFECT_SNOWFLAKE_STICK_EVENT_RANK_BUFF	Winter Spell	SNA
TOOLTIP_AFFECT_SNOWFLAKE_STICK_EVENT_RANK_BUFF_ACQUIRED	: Received!\n
TOOLTIP_AFFECT_SNOWFLAKE_STICK_EVENT_RANK_BUFF_NOT_ACQUIRED	: Not received!\n
TOOLTIP_AFFECT_SNOWFLAKE_STICK_EVENT_SNOWFLAKE_BUFF_1	Snowflake Spell	SNA
TOOLTIP_AFFECT_SNOWFLAKE_STICK_EVENT_SNOWFLAKE_BUFF_2	You can collect Snowballs and Snowman Twigs from defeated monsters.
TOOLTIP_AFFECT_SUNGMAHEE_TOWER_CURSE	Sung Mahi's Curse (stacked %d times). Your HP drops by 10%% every stack and every 10 seconds. Can be stacked up to 10 times.	SA
TOOLTIP_AFFECT_SUNGMA_ALL	Increases all Sung Ma stats by 10%.	SNA
TOOLTIP_AFFECT_SUNGMA_DESC	Sung Mahi's will pervades this place.
TOOLTIP_AFFECT_SUNGMA_HP	Sung Ma's will (VIT): %d
TOOLTIP_AFFECT_SUNGMA_HP_BUFF	Increases your Sung Ma's will (VIT) by +%d.	SA
TOOLTIP_AFFECT_SUNGMA_IMMUNE	Sung Ma's will (INT): %d
TOOLTIP_AFFECT_SUNGMA_IMMUNE_BUFF	Increases your Sung Ma's will (INT) by +%d.	SA
TOOLTIP_AFFECT_SUNGMA_MOVE	Sung Ma's will (RES): %d
TOOLTIP_AFFECT_SUNGMA_MOVE_BUFF	Increases your Sung Ma's will (RES) by +%d.	SA
TOOLTIP_AFFECT_SUNGMA_MOVE_DEBUFF	-20 Sung Ma's will (RES)	SNA
TOOLTIP_AFFECT_SUNGMA_STR	Sung Ma's will (STR): %d
TOOLTIP_AFFECT_SUNGMA_STR_BUFF	Increases your Sung Ma's will (STR) by +%d.	SA
TOOLTIP_AFFECT_SUNGMA_STR_DEBUFF	-20 Sung Ma's will (STR)	SNA
TOOLTIP_AFFECT_WHITE_DRAGON_BLESS	Remaining 10%% damage bonus charges: %d
TOOLTIP_AFFECT_WORLD_BOSS_DAILY_REWARD	World boss event daily quest bonus\n attack value +%d%%	SA
TOOLTIP_AFFECT_WORLD_BOSS_REWARD	World boss event ranking bonus\n item drop +%d	SA
TOOLTIP_ALIGNMENT_DAMAGE_BONUS	Damage is increased at lower rank points.	SNA
TOOLTIP_ANTI_CRITICAL_PCT	Resistance against critical hits +%d%%	SA
TOOLTIP_ANTI_PENETRATE_PCT	Resistance against piercing hits +%d%%	SA
TOOLTIP_ANTI_SELL	Cannot be sold in the shop.
TOOLTIP_APPLY_ACCEDRAIN_RATE	Absorption rate: %d%%	SA
TOOLTIP_APPLY_ATTBONUS_ANIMAL	Strong against Animals +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ASSASSIN	Strong against Ninjas +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_BELL	Bell Defence Break +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_BOW	Arrow Defence Break +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_CLAW	Claw Defence Break +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_CZ	Strong against Zodiac Monsters +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DAGGER	Dagger Defence Break +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DESERT	Strong against Desert Monsters +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DEVIL	Strong against Devils +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DRAGON	Strong against Dragons +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_FAN	Fan Defence Break +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_HUMAN	Strong against Half Humans +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_INSECT	Strong against Insects +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MILGYO	Strong against Mystics +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MONSTER	Strength against monsters +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MOON	Strong against Moonshadow Monsters +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MYSTERY_DUNGEON	Strong against Mysteries +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ORC	Strong against Orcs +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SHAMAN	Strong against Shamans +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SURA	Strong against Sura +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SWORD	Sword Defence Break +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_TWOHAND	Two-handed Defence Break +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_UNDEAD	Strong against Undead +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WARRIOR	Strong against Warriorr +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WOLFMAN	Strong against Lycans + %d%%	SA
TOOLTIP_APPLY_BLEEDING_PCT	Bleeding attack + %d%%	SA
TOOLTIP_APPLY_BLEEDING_REDUCE	Bleeding Attack Resistance: +%d%%	SA
TOOLTIP_APPLY_BLOCK	Chance to block a close-combat attack %d%%	SA
TOOLTIP_APPLY_BLOCK_PENETRATE_PCT	Block Penetration +%d%%	SA
TOOLTIP_APPLY_BONUS_BLOCK_PENETRATE_PCT	Block Penetration +%d%% of total value	SA
TOOLTIP_APPLY_BONUS_HIT_PCT	Precision +%d%%	SA
TOOLTIP_APPLY_COMBAT_SP_RECOVER	Recover SP all 5 seconds in a Battle %d	SA
TOOLTIP_APPLY_CONFUSION_TO_MOB	Chance of Confused: %0.1f%%	SA
TOOLTIP_APPLY_CRITICAL_PCT	Chance of critical hit +%d%%	SA
TOOLTIP_APPLY_DAMAGE_SP_RECOVER	%d%% Chance to get back SP when hit	SA
TOOLTIP_APPLY_DODGE	Chance to avoid Arrows %d%%	SA
TOOLTIP_APPLY_ENCHANT_DARK	Power of Darkness +%d%%	SA
TOOLTIP_APPLY_ENCHANT_DARK2	Power of Darkness +%d%% - +%d%%
TOOLTIP_APPLY_ENCHANT_EARTH	Power of Earth +%d%%	SA
TOOLTIP_APPLY_ENCHANT_EARTH2	Power of Earth +%d%% - +%d%%
TOOLTIP_APPLY_ENCHANT_ELECT	Power of Lightning +%d%%	SA
TOOLTIP_APPLY_ENCHANT_ELECT2	Power of Lightning +%d%% - +%d%%
TOOLTIP_APPLY_ENCHANT_FIRE	Power of Fire +%d%%	SA
TOOLTIP_APPLY_ENCHANT_FIRE2	Power of Fire +%d%% - +%d%%
TOOLTIP_APPLY_ENCHANT_ICE	Power of Ice +%d%%	SA
TOOLTIP_APPLY_ENCHANT_ICE2	Power of Ice +%d%% - +%d%%
TOOLTIP_APPLY_ENCHANT_WIND	Power of the Wind +%d%%	SA
TOOLTIP_APPLY_ENCHANT_WIND2	Power of the Wind +%d%% - +%d%%
TOOLTIP_APPLY_EXP_DOUBLE_BONUS	%d%% Chance for EXP Bonus	SA
TOOLTIP_APPLY_GOLD_DOUBLE_BONUS	%d%% Chance to drop double Yang	SA
TOOLTIP_APPLY_IMMUNE_BLEEDING100	Immune against bleeding	SNA
TOOLTIP_APPLY_IMMUNE_FALL	Immune against falling down	SNA
TOOLTIP_APPLY_IMMUNE_POISON100	Immune against poison	SNA
TOOLTIP_APPLY_IMMUNE_SLOW	Defence against slowing	SNA
TOOLTIP_APPLY_IMMUNE_STUN	Defence against faint	SNA
TOOLTIP_APPLY_ITEM_DROP_BONUS	%d%% Chance to drop double the Items	SA
TOOLTIP_APPLY_KILL_HP_RECOVER	%d%% Chance, to restore HP	SA
TOOLTIP_APPLY_KILL_SP_RECOVER	%d%% Chance to restore SP	SA
TOOLTIP_APPLY_MANA_BURN_PCT	%d%% chance to rob SP	SA
TOOLTIP_APPLY_MAX_HP_PCT	Max. HP +%d%%	SA
TOOLTIP_APPLY_MAX_SP_PCT	Max. SP +%d%%	SA
TOOLTIP_APPLY_MONSTER_DEFEND_BONUS	Resistance to monster attacks %d	SA
TOOLTIP_APPLY_NOAFFECT	No effect
TOOLTIP_APPLY_NO_DEATH_PENALTY	No experience points will be lost if your character is revived at the place of his death.	SNA
TOOLTIP_APPLY_NO_DEATH_PENALTY_PLUS	The Dragon God takes you under his protective wings. If you are revived where you died, you won't lose any experience points.	SNA
TOOLTIP_APPLY_PENETRATE_PCT	%d%% Chance for piercing Hits	SA
TOOLTIP_APPLY_POISON_PCT	Poisoning chance %d%%	SA
TOOLTIP_APPLY_POISON_REDUCE	Poison Resistance %d%%	SA
TOOLTIP_APPLY_POTION_BONUS	Potion %d%% effect raise	SA
TOOLTIP_APPLY_REFLECT_CURSE	Chance to reflect Curse: %d%%	SA
TOOLTIP_APPLY_REFLECT_MELEE	%d%% Chance to reflect close combat hits	SA
TOOLTIP_APPLY_REFUSE_EXP	No Experience Earned	SNA
TOOLTIP_APPLY_RESIST_ASSASSIN	Defence chance against ninja attacks: %d%%	SA
TOOLTIP_APPLY_RESIST_BELL	Bell Defence %d%%	SA
TOOLTIP_APPLY_RESIST_CLAW	Claw Defence +%d%%	SA
TOOLTIP_APPLY_RESIST_DAGGER	Dagger Defence %d%%	SA
TOOLTIP_APPLY_RESIST_FAN	Fan Defence %d%%	SA
TOOLTIP_APPLY_RESIST_HUMAN	Resistance to Half Humans %d%%	SA
TOOLTIP_APPLY_RESIST_MOUNT_FALL	Fall Resistance +%d%%	SA
TOOLTIP_APPLY_RESIST_SHAMAN	Defence chance against shaman attacks: %d%%	SA
TOOLTIP_APPLY_RESIST_SURA	Defence chance against sura attacks: %d%%	SA
TOOLTIP_APPLY_RESIST_SWORD	Sword Defence %d%%	SA
TOOLTIP_APPLY_RESIST_TWOHAND	Two-Handed Defence %d%%	SA
TOOLTIP_APPLY_RESIST_WARRIOR	Defence chance against warrior attacks: %d%%	SA
TOOLTIP_APPLY_RESIST_WIND	Wind Resistance %d%%	SA
TOOLTIP_APPLY_RESIST_WOLFMAN	Defence chance against Lycan attacks %d%%	SA
TOOLTIP_APPLY_SKILL_BOOK_BONUS	Chance to learn from books upgraded by factor 2.5	SNA
TOOLTIP_APPLY_SKILL_BOOK_NO_DELAY	If learning fails you immediately have another try for free	SNA
TOOLTIP_APPLY_SLOW_PCT	Slowing chance %d%%	SA
TOOLTIP_APPLY_STEAL_HP	%d%% damage  will be absorbed by HP	SA
TOOLTIP_APPLY_STEAL_SP	%d%% damage will be absorbed by SP	SA
TOOLTIP_APPLY_STUN_PCT	Faint chance %d%%	SA
TOOLTIP_ARMOR	Armor
TOOLTIP_ARROW	Arrow
TOOLTIP_ASSASSIN	Ninja
TOOLTIP_ATTBONUS_PER_ANIMAL	Strong against Animals (+%d%% of total value)	SA
TOOLTIP_ATTBONUS_PER_CZ	Strong against Zodiac Monsters (+%d%% of total value)	SA
TOOLTIP_ATTBONUS_PER_DESERT	Strong against Desert Monsters (+%d%% of total value)	SA
TOOLTIP_ATTBONUS_PER_DEVIL	Strong against Devils (+%d%% of total value)	SA
TOOLTIP_ATTBONUS_PER_HUMAN	Strong against Half Humans (+%d%% of total value)	SA
TOOLTIP_ATTBONUS_PER_INSECT	Strong against Insects (+%d%% of total value)	SA
TOOLTIP_ATTBONUS_PER_MILGYO	Strong against Mystics (+%d%% of total value)	SA
TOOLTIP_ATTBONUS_PER_MONSTER	Strength against Monsters (+%d%% of total value)	SA
TOOLTIP_ATTBONUS_PER_ORC	Strong against Orcs (+%d%% of total value)	SA
TOOLTIP_ATTBONUS_PER_STONE	Strong against Metin Stones (+%d%% of total value)	SA
TOOLTIP_ATTBONUS_PER_UNDEAD	Strong against Undead (+%d%% of total value)	SA
TOOLTIP_ATTBONUS_STONE	+%d%% strength against Metin stones	SA
TOOLTIP_ATT_GRADE	Attack Value +%d	SA
TOOLTIP_ATT_SPEED	Attack Speed +%d%%	SA
TOOLTIP_ATT_SPEED_SLOW	Attack speed reduced	SNA
TOOLTIP_AUTO_DAMAGE_POTION_REST	Time remaining: %d
TOOLTIP_AUTO_PICKUP	You have a %d%% chance to gather nearby items automatically for 30 seconds	SA
TOOLTIP_AUTO_POTION_HP	Sun Elixir
TOOLTIP_AUTO_POTION_REST	Remainder: %.2f%%
TOOLTIP_AUTO_POTION_SP	Moon Elixir
TOOLTIP_AUTO_POTION_USING	Active
TOOLTIP_AUTO_SYSTEM_PRIMIUM	Auto-Hunting	SNA
TOOLTIP_BATTLE_POTION	Combat Zone Battle Potion	SNA
TOOLTIP_BATTLE_ROYALE_AFFECT_INFINITE_STAMINA	Infinite Endurance	SNA
TOOLTIP_BATTLE_ROYALE_AFFECT_MOVE_SPEED	Movement speed increased	SNA
TOOLTIP_BATTLE_ROYALE_AFFECT_SLOW	Movement speed decreased	SNA
TOOLTIP_BOW_DISTANCE	Range +%d m	SA
TOOLTIP_BUYPRICE	Price: %s
TOOLTIP_CAST_SPEED	Casting Speed +%d%%	SA
TOOLTIP_CON	Vitality +%d	SA
TOOLTIP_CONFUSION_IMMUNE	Immune to Confused
TOOLTIP_COSTUME_ATTR_BONUS	Costume bonus %d%%	SA
TOOLTIP_CURSE_OF_DARKNESS_UI_CONTENT	Each use increases Aamon's attack and defence\nand allows him to use skills more frequently.\nAfter 5 uses, you can use the power of the Sunshards\nwith Albira's help to lift the Moonshadow Curse.
TOOLTIP_CURSE_OF_DARKNESS_UI_TITLE	Moonshadow Curse (%dx)
TOOLTIP_CURSE_OF_ELEMENTAL	Elemental Curse (%d stacks). Your HP is being drained. Can be stacked up to 10 times.	SA
TOOLTIP_DAMAGE_HP_RECOVERY	Absorbs %d%% damage as HP	SA
TOOLTIP_DAMAGE_SP_RECOVERY	Absorbs %d%% damage as SP	SA
TOOLTIP_DEF_GRADE	Defence +%d	SA
TOOLTIP_DEX	Dexterity +%d	SA
TOOLTIP_DISMOUNT_MOVE_SPEED_BONUS_PER	When getting off your mount, your movement speed is increased by %d%% for 10 seconds	SA
TOOLTIP_DRAGON_SOUL_DECK1	Sky	SNA
TOOLTIP_DRAGON_SOUL_DECK2	Earth	SNA
TOOLTIP_DS_SET	DSS Set Effect	SNA
TOOLTIP_DURATION	Duration
TOOLTIP_EAR	Earring
TOOLTIP_ENCHANT_PER_DARK	Power of Darkness (+%d%% of total value)	SA
TOOLTIP_ENCHANT_PER_EARTH	Power of Earth (+%d%% of total value)	SA
