ACCE_ABSORB_COST	Coste de combinación: %d
TOOLTIP_AFFECT_LOOTING_SYSTEM	Pase de botines	SNA
TOOLTIP_AFFECT_LUCKY_EVENT	Potenciador de cacería de monstruos	SNA
TOOLTIP_AFFECT_MERCENARY_MAX_ACTIVE_INCREASE	Aumenta la resistencia máxima en +%d	SA
TOOLTIP_AFFECT_MIND_CONTROL	Influencia tenebrosa	SNA
TOOLTIP_AFFECT_MI_BUFF	Potenciador de ocupación: \n%s
TOOLTIP_AFFECT_MOUNT_FALL	Caída demontura	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_ATTACK_SPEED	Tormentón	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_EFFECT_UP	Aumenta el efecto montura	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_EXP	EXP	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_GYEONGGONG	Camino pluma	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_HIT_PCT	Precisión	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_INVINCIBILITY	Invencibilidad	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_JOB_ASSASIN	Fuerza contra Ninjas
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_JOB_SHAMAN	Fuerza contra Chamanes
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_JOB_SURA	Fuerza contra Suras
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_JOB_WARRIOR	Fuerza contra Guerreros
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_JOB_WOLF	Fuerza contra Lícanos
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_KNOCKBACK	Sin retroceso	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_NIMBLE	Cascos ágiles	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_ANIMAL	Fuerza contra animales
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_CZ	Fuerza contra monstruos del zodíaco
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_DESSERT	Fuerza contra monstruos del desierto
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_DEVIL	Fuerza contra demonios
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_HUMAN	Fuerza contra mediohumanos
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_INSECT	Fuerte contra insectos
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_MILGYO	Fuerza contra místicos
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_MONSTER	Fuerza contra todos los monstruos
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_UNDEAD	Fuerza contra muertos vivientes
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_WONGGUI	Fuerza contra orcos
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_SUNGMA_HP	Voluntad de SungMa (VIT)	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_SUNGMA_IMMUNE	Voluntad de SungMa (INT)	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_SUNGMA_MOVE	Voluntad de SungMa (RES)	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_SUNGMA_STR	Voluntad de SungMa (STR)	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_TO_STRONG	Cabalgar	SNA
TOOLTIP_AFFECT_NORMAL_ATTACK_DAMAGE_BUFF	%0.1fx daño de ataque normal
TOOLTIP_AFFECT_NORMAL_ATTACK_FORCE_TYPE	Eco de la fuerza
TOOLTIP_AFFECT_NO_FALLEN	Resistencia contra caídas	SNA
TOOLTIP_AFFECT_OTHER_WORLD_DEAD_SOUL	Los HP máximos de Asmodeus han disminuido un %d %%.	SA
TOOLTIP_AFFECT_OTHER_WORLD_GOBLIN_PROTECTION	La maldición de Asmodeus en Condena no te afecta.	SNA
TOOLTIP_AFFECT_OTHER_WORLD_YEOMWANG_CURSE	El daño causado a monstruos disminuye en un 30 %.	SNA
TOOLTIP_AFFECT_PASWAE	Reduce la defensa y la velocidad de movimiento durante 5 segundos.
TOOLTIP_AFFECT_POLYMORPH	Polimorfismo	SNA
TOOLTIP_AFFECT_POLYMORPH_DEBUFF	Polimorfismo (penalizador)	SNA
TOOLTIP_AFFECT_PREMIUM_MEMBERSHIP_BUFF	Suscripción a Metin+\n\nEn la página correspondiente encontrarás todos los datos y ajustes de la suscripción a Metin+ haciendo clic en "¿Qué novedades hay?".	SNA
TOOLTIP_AFFECT_PREMIUM_PRIVATE_SHOP	Tienda prémium personal	SNA
TOOLTIP_AFFECT_RAMADNA_CANDY	Dulces\nVelocidad de movimiento +10\nDaño de ataque +5 %\nEXP +10 %	SNA
TOOLTIP_AFFECT_RANJU	Vino caliente\nVelocidad de movimiento +10\nDaño de ataque +5 %\nEXP +10 %	SNA
TOOLTIP_AFFECT_RCAST_SPEED	Aumentar tiempo de carga	SNA
TOOLTIP_AFFECT_RED_DRAGONLAIR_BUFF	Resistencia contra daño de habilidad +15 % | Resistencia contra daños de ataque normales +15 %	SNA
TOOLTIP_AFFECT_REFINE_FREE_MATERIAL	Bendición que al activarse hace que en el siguiente refinamiento no se consuman materiales.	SNA
TOOLTIP_AFFECT_RESEARCHER_ELIXIR	Elixir del investigador	SNA
TOOLTIP_AFFECT_RHP_REGEN	No es posible la recuperación	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_01	Bonificación de almacenamiento\n +3% de EXP	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_02	Bonificación de almacenamiento\n+20 de defensa	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_03	Bonificación de almacenamiento\n+1% de puntos de vida	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_04	Bonificación de almacenamiento\n+3% en fuerza contra monstruos	SNA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_A	Obtienes un Cofre del tesoro adicional cuando completas con éxito el Templo Serpentino o las Profundidades Tramontanas.	SNA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_B	Obtienes un Cofre del tesoro adicional cuando completas con éxito Jotun Thrym o el Templo del Zodíaco.	SNA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_C	Obtienes un Cofre del tesoro adicional al derrotar a Azrael o Beran-Setaou.	SNA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_POINT_A	Progreso Templo Enigma (Bonif. A): %d	SA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_POINT_B	Progreso Templo Enigma (Bonif. B): %d	SA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_POINT_C	Progreso Templo Enigma (Bonif. C): %d	SA
TOOLTIP_AFFECT_SET_ITEM_1	Bonificación de set divina	SNA
TOOLTIP_AFFECT_SET_ITEM_2	Bonificación de set lujosa	SNA
TOOLTIP_AFFECT_SET_ITEM_3	Bonificación de set refinada	SNA
TOOLTIP_AFFECT_SET_ITEM_4	Bonificación de set ostentosa	SNA
TOOLTIP_AFFECT_SET_ITEM_5	Bonificación de set majestuosa	SNA
TOOLTIP_AFFECT_SHACKLE	Cadena
TOOLTIP_AFFECT_SKILL_ATTACK_DAMAGE_BUFF	%0.1fx daño de habilidad
TOOLTIP_AFFECT_SKILL_ATTACK_FORCE_TYPE	Eco del poder
TOOLTIP_AFFECT_SNOWFLAKE_STICK_EVENT_RANK_BUFF	Magia invernal	SNA
TOOLTIP_AFFECT_SNOWFLAKE_STICK_EVENT_RANK_BUFF_ACQUIRED	: Obtenido\n
TOOLTIP_AFFECT_SNOWFLAKE_STICK_EVENT_RANK_BUFF_NOT_ACQUIRED	: No obtenido\n
TOOLTIP_AFFECT_SNOWFLAKE_STICK_EVENT_SNOWFLAKE_BUFF_1	Magia de los copos de nieve	SNA
TOOLTIP_AFFECT_SNOWFLAKE_STICK_EVENT_SNOWFLAKE_BUFF_2	Recibirás Bolas de nieve y Ramas de muñeco de nieve de monstruos vencidos.
TOOLTIP_AFFECT_SUNGMAHEE_TOWER_CURSE	Maldición de Sung Mahi (apilada %d veces). Por cada pila, tus HP disminuyen cada 10 segundos en un 10 %%. Se puede apilar hasta 10 veces.	SA
TOOLTIP_AFFECT_SUNGMA_ALL	Incrementa todos los valores de SungMa en un 10 %.	SNA
TOOLTIP_AFFECT_SUNGMA_DESC	La voluntad de Sung Mahi envuelve este lugar.
TOOLTIP_AFFECT_SUNGMA_HP	Voluntad de SungMa (VIT): %d
TOOLTIP_AFFECT_SUNGMA_HP_BUFF	Aumenta tu voluntad de SungMa (VIT) en +%d.	SA
TOOLTIP_AFFECT_SUNGMA_IMMUNE	Voluntad de SungMa (INT): %d
TOOLTIP_AFFECT_SUNGMA_IMMUNE_BUFF	Aumenta tu voluntad de SungMa (INT) en +%d.	SA
TOOLTIP_AFFECT_SUNGMA_MOVE	Voluntad de SungMa (RES): %d
TOOLTIP_AFFECT_SUNGMA_MOVE_BUFF	Aumenta tu voluntad de SungMa (RES) en +%d.	SA
TOOLTIP_AFFECT_SUNGMA_MOVE_DEBUFF	-20 de voluntad de SungMa (RES)	SNA
TOOLTIP_AFFECT_SUNGMA_STR	Voluntad de SungMa (STR): %d
TOOLTIP_AFFECT_SUNGMA_STR_BUFF	Aumenta tu voluntad de SungMa (STR) en +%d.	SA
TOOLTIP_AFFECT_SUNGMA_STR_DEBUFF	-20 de voluntad de SungMa (STR)	SNA
TOOLTIP_AFFECT_WHITE_DRAGON_BLESS	Cargas restantes de 10%% de bonificación de daño: %d
TOOLTIP_AFFECT_WORLD_BOSS_DAILY_REWARD	Bonificación por misión diaria del evento de superjefe\n Valor de ataque +%d %%	SA
TOOLTIP_AFFECT_WORLD_BOSS_REWARD	Bonificación por clasificación del evento de superjefe\n Caída de objetos +%d	SA
TOOLTIP_ALIGNMENT_DAMAGE_BONUS	En caso de contar con pocos puntos de clasificación, el daño infligido aumentará.	SNA
TOOLTIP_ANTI_CRITICAL_PCT	Resistencia contra golpe crítico +%d%%	SA
TOOLTIP_ANTI_PENETRATE_PCT	Resistencia contra golpe penetrante +%d%%	SA
TOOLTIP_ANTI_SELL	No puede ser vendido en un almacén.
TOOLTIP_APPLY_ACCEDRAIN_RATE	Tasa de absorción: %d%%	SA
TOOLTIP_APPLY_ATTBONUS_ANIMAL	Fuerza contra Animales +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ASSASSIN	Fuerza contra Ninjas +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_BELL	Fractura de defensa de campana +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_BOW	Fractura de defensa de flecha +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_CLAW	Fractura de defensa de garra +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_CZ	Fuerte contra monstruos del zodíaco +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DAGGER	Fractura de defensa de daga +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DESERT	Fuerte contra monstruos del desierto +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DEVIL	Fuerza contra Demonio +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DRAGON	Fuerza contra Dragones +%d %%	SA
TOOLTIP_APPLY_ATTBONUS_FAN	Fractura de defensa de abanico +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_HUMAN	Fuerza contra Medio Humanos +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_INSECT	Fuerte contra insectos +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MILGYO	Fuerza contra Místicos +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MONSTER	Fuerza contra monstruos +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MOON	Fuerza contra monstruos de Sombra Lunar +%d %%	SA
TOOLTIP_APPLY_ATTBONUS_MYSTERY_DUNGEON	Fuerza contra misterios +%d %%	SA
TOOLTIP_APPLY_ATTBONUS_ORC	Fuerza contra Orcos +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SHAMAN	Fuerza contra Chamanes +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SURA	Fuerza contra Sura +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SWORD	Fuerte contra monstruos del espada +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_TWOHAND	Fractura de arma a dos manos +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_UNDEAD	Fuerza contra Nomuerto +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WARRIOR	Fuerza contra Guerrero +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WOLFMAN	Fuerza contra Lícanos + %d%%	SA
TOOLTIP_APPLY_BLEEDING_PCT	Ataque de sangrado + %d%%	SA
TOOLTIP_APPLY_BLEEDING_REDUCE	Resistencia contra ataque de sangrado + %d%%	SA
TOOLTIP_APPLY_BLOCK	Probabilidad de bloquear un ataque cuerpo a cuerpo %d%%	SA
TOOLTIP_APPLY_BLOCK_PENETRATE_PCT	+%d %% de penetración de bloqueo	SA
TOOLTIP_APPLY_BONUS_BLOCK_PENETRATE_PCT	+%d %% de penetración de bloqueo sobre el valor total	SA
TOOLTIP_APPLY_BONUS_HIT_PCT	+%d %% de precisión	SA
TOOLTIP_APPLY_COMBAT_SP_RECOVER	Recuperar SP cada 5 segundos en una Batalla %d	SA
TOOLTIP_APPLY_CONFUSION_TO_MOB	Probabilidad de Confusión: %0.1f %%	SA
TOOLTIP_APPLY_CRITICAL_PCT	Probabilidad de golpes críticos +%d%%	SA
TOOLTIP_APPLY_DAMAGE_SP_RECOVER	%d%% Probabilidad de recuperar SP al golpear	SA
TOOLTIP_APPLY_DODGE	Probabilidad de evitar Flechas %d%%	SA
TOOLTIP_APPLY_ENCHANT_DARK	Poder de la oscuridad +%d%%	SA
TOOLTIP_APPLY_ENCHANT_DARK2	Poder de la oscuridad +%d %% ~ +%d %%
TOOLTIP_APPLY_ENCHANT_EARTH	Poder de la tierra +%d%%	SA
TOOLTIP_APPLY_ENCHANT_EARTH2	Poder de la tierra +%d %% ~ +%d %%
TOOLTIP_APPLY_ENCHANT_ELECT	Poder del relámpago +%d%%	SA
TOOLTIP_APPLY_ENCHANT_ELECT2	Poder del relámpago +%d %% ~ +%d %%
TOOLTIP_APPLY_ENCHANT_FIRE	Poder del fuego +%d%%	SA
TOOLTIP_APPLY_ENCHANT_FIRE2	Poder del fuego +%d %% ~ +%d %%
TOOLTIP_APPLY_ENCHANT_ICE	Poder del hielo +%d%%	SA
TOOLTIP_APPLY_ENCHANT_ICE2	Poder del hielo +%d %% ~ +%d %%
TOOLTIP_APPLY_ENCHANT_WIND	Poder del viento +%d%%	SA
TOOLTIP_APPLY_ENCHANT_WIND2	Poder del viento +%d %% ~ +%d %%
TOOLTIP_APPLY_EXP_DOUBLE_BONUS	%d%% Probabilidad de bonus EXP	SA
TOOLTIP_APPLY_GOLD_DOUBLE_BONUS	%d%% Probabilidad de obtener el doble de Yang.	SA
TOOLTIP_APPLY_IMMUNE_BLEEDING100	Inmune a sangrado	SNA
TOOLTIP_APPLY_IMMUNE_FALL	Inmune contra caídas.	SNA
TOOLTIP_APPLY_IMMUNE_POISON100	Inmune a veneno	SNA
TOOLTIP_APPLY_IMMUNE_SLOW	Defensa contra retardo	SNA
TOOLTIP_APPLY_IMMUNE_STUN	Defensa contra apagones	SNA
TOOLTIP_APPLY_ITEM_DROP_BONUS	%d%% Probabilidad de caer doble de Objetos	SA
TOOLTIP_APPLY_KILL_HP_RECOVER	%d%% Probabilidad para recuperar HP	SA
TOOLTIP_APPLY_KILL_SP_RECOVER	%d%% Probabilidad para restaurar SP	SA
TOOLTIP_APPLY_MANA_BURN_PCT	Probabilidad para robar el SP %d%%	SA
TOOLTIP_APPLY_MAX_HP_PCT	HP máx. +%d%%	SA
TOOLTIP_APPLY_MAX_SP_PCT	SP máx. +%d%%	SA
TOOLTIP_APPLY_MONSTER_DEFEND_BONUS	Resistencia a ataques de monstruos %d	SA
TOOLTIP_APPLY_NOAFFECT	Sin efecto.
TOOLTIP_APPLY_NO_DEATH_PENALTY	No se perderán puntos de experiencia si tu personaje revive en el lugar de la muerte.	SNA
TOOLTIP_APPLY_NO_DEATH_PENALTY_PLUS	El Dios Dragón despliega sus alas protectoras sobre ti. No pierdes puntos de experiencia si se te revive en el lugar en el que quedaste fuera de combate.	SNA
TOOLTIP_APPLY_PENETRATE_PCT	%d%% Probabilidad de Golpes de penetración	SA
TOOLTIP_APPLY_POISON_PCT	Probabilidad de envenenamiento %d%%	SA
TOOLTIP_APPLY_POISON_REDUCE	Resistencia a Veneno %d%%	SA
TOOLTIP_APPLY_POTION_BONUS	Poción %d%% aumento de efecto	SA
TOOLTIP_APPLY_REFLECT_CURSE	Probabilidad de reflectar Maldición: %d%%	SA
TOOLTIP_APPLY_REFLECT_MELEE	%d%% Probabilidad de reflectar golpes cuerpo a cuerpo	SA
TOOLTIP_APPLY_REFUSE_EXP	No acumular experiencia	SNA
TOOLTIP_APPLY_RESIST_ASSASSIN	Opción de defensa contra ataques Ninjas: %d%%	SA
TOOLTIP_APPLY_RESIST_BELL	Defensa Campana %d%%	SA
TOOLTIP_APPLY_RESIST_CLAW	Defensa contra garra +%d%%	SA
TOOLTIP_APPLY_RESIST_DAGGER	Defensa Daga %d%%	SA
TOOLTIP_APPLY_RESIST_FAN	Defensa Fan %d%%	SA
TOOLTIP_APPLY_RESIST_HUMAN	Resistencia contra mediohumanos %d%%	SA
TOOLTIP_APPLY_RESIST_MOUNT_FALL	Resistencia contra caídas +%d%%	SA
TOOLTIP_APPLY_RESIST_SHAMAN	Opción de defensa contra ataques Chamán: %d%%	SA
TOOLTIP_APPLY_RESIST_SURA	Opción de defensa contra ataques Suras: %d%%	SA
TOOLTIP_APPLY_RESIST_SWORD	Defensa Espada %d%%	SA
TOOLTIP_APPLY_RESIST_TWOHAND	Defensa Dos Manos %d%%	SA
TOOLTIP_APPLY_RESIST_WARRIOR	Opción de defensa contra ataques Guerreros: %d%%	SA
TOOLTIP_APPLY_RESIST_WIND	Resistencia Viento %d%%	SA
TOOLTIP_APPLY_RESIST_WOLFMAN	Probabilidad de defensa contra Lícanos %d%%	SA
TOOLTIP_APPLY_SKILL_BOOK_BONUS	Probabilidad de apreder de libros mejorada por factor 2.5	SNA
TOOLTIP_APPLY_SKILL_BOOK_NO_DELAY	Si el aprendizaje falla, tendrás de inmediato otro intento libre.	SNA
TOOLTIP_APPLY_SLOW_PCT	Probabilidad de retardación %d%%	SA
TOOLTIP_APPLY_STEAL_HP	%d%% del daño será absorbido por HP.	SA
TOOLTIP_APPLY_STEAL_SP	%d%% del daño será absorbido por SP.	SA
TOOLTIP_APPLY_STUN_PCT	Probabilidad de desmayo %d%%	SA
TOOLTIP_ARMOR	Armadura
TOOLTIP_ARROW	Flecha
TOOLTIP_ASSASSIN	Ninja
TOOLTIP_ATTBONUS_PER_ANIMAL	Fuerza contra animales (+%d %% del valor total)	SA
TOOLTIP_ATTBONUS_PER_CZ	Fuerte contra monstruos del zodíaco (+%d %% del valor total)	SA
TOOLTIP_ATTBONUS_PER_DESERT	Fuerte contra monstruos del desierto (+%d %% del valor total)	SA
TOOLTIP_ATTBONUS_PER_DEVIL	Fuerza contra demonios (+%d %% del valor total)	SA
TOOLTIP_ATTBONUS_PER_HUMAN	Fuerza contra mediohumanos (+%d %% del valor total)	SA
TOOLTIP_ATTBONUS_PER_INSECT	Fuerza contra insectos (+%d %% del valor total)	SA
TOOLTIP_ATTBONUS_PER_MILGYO	Fuerza contra místicos (+%d %% del valor total)	SA
TOOLTIP_ATTBONUS_PER_MONSTER	Fuerza contra monstruos (+%d %% del valor total)	SA
TOOLTIP_ATTBONUS_PER_ORC	Fuerza contra orcos (+%d %% del valor total)	SA
TOOLTIP_ATTBONUS_PER_STONE	Fuerza contra Piedras Metin (+%d %% del valor total)	SA
TOOLTIP_ATTBONUS_PER_UNDEAD	Fuerza contra muertos vivientes (+%d %% del valor total)	SA
TOOLTIP_ATTBONUS_STONE	+%d%% de fuerza contra piedras Metin	SA
TOOLTIP_ATT_GRADE	Valor de Ataque +%d	SA
TOOLTIP_ATT_SPEED	Velocidad de Ataque +%d%%	SA
TOOLTIP_ATT_SPEED_SLOW	Velocidad de ataque reducida	SNA
TOOLTIP_AUTO_DAMAGE_POTION_REST	Tiempo restante: %d
TOOLTIP_AUTO_PICKUP	Tienes una probabilidad de un %d %% de recoger objetos cercanos de forma automática durante 30 segundos.	SA
TOOLTIP_AUTO_POTION_HP	Elixir del Sol
TOOLTIP_AUTO_POTION_REST	Cantidad restante: %.2f%%
TOOLTIP_AUTO_POTION_SP	Elixir de la Luna
TOOLTIP_AUTO_POTION_USING	Activa
TOOLTIP_AUTO_SYSTEM_PRIMIUM	Autocaza	SNA
TOOLTIP_BATTLE_POTION	Poción de batalla de la zona de combate	SNA
TOOLTIP_BATTLE_ROYALE_AFFECT_INFINITE_STAMINA	Resistencia infinita	SNA
TOOLTIP_BATTLE_ROYALE_AFFECT_MOVE_SPEED	Velocidad de movimiento aumentada	SNA
TOOLTIP_BATTLE_ROYALE_AFFECT_SLOW	Velocidad de movimiento reducida	SNA
TOOLTIP_BOW_DISTANCE	Alcance +%dm	SA
TOOLTIP_BUYPRICE	Precio: %s
TOOLTIP_CAST_SPEED	Velocidad de Hechizo +%d%%	SA
TOOLTIP_CON	Vitalidad +%d	SA
TOOLTIP_CONFUSION_IMMUNE	Inmune a Confusión
TOOLTIP_COSTUME_ATTR_BONUS	Bonificación por atuendo %d%%	SA
TOOLTIP_CURSE_OF_DARKNESS_UI_CONTENT	Cada vez que se utiliza, aumenta el ataque y la defensa de Aamon\ny le permite utilizar sus habilidades con más frecuencia.\nDespués de 5 usos, puedes recurrir a la ayuda de Albira para utilizar el poder del Fragmento de Sol\npara eliminar la maldición de la Sombra Lunar.
TOOLTIP_CURSE_OF_DARKNESS_UI_TITLE	Maldición de la Sombra Lunar (%d veces)
TOOLTIP_CURSE_OF_ELEMENTAL	Maldición elemental (x%d). Tus HP disminuyen constantemente. Se puede apilar hasta 10 veces.	SA
TOOLTIP_DAMAGE_HP_RECOVERY	Absorbe daño en %d %% en forma de HP	SA
TOOLTIP_DAMAGE_SP_RECOVERY	Absorbe daño en %d %% en forma de SP	SA
TOOLTIP_DEF_GRADE	Defensa +%d	SA
TOOLTIP_DEX	Destreza +%d	SA
TOOLTIP_DISMOUNT_MOVE_SPEED_BONUS_PER	Al bajarse de una montura, la velocidad de movimiento se incrementa durante 10 segundos en un %d%%.	SA
TOOLTIP_DRAGON_SOUL_DECK1	Cielo	SNA
TOOLTIP_DRAGON_SOUL_DECK2	Tierra	SNA
TOOLTIP_DS_SET	Efecto de set de SPD	SNA
TOOLTIP_DURATION	Duración
TOOLTIP_EAR	Pendientes
TOOLTIP_ENCHANT_PER_DARK	Poder de la oscuridad (+%d %% del valor total)	SA
TOOLTIP_ENCHANT_PER_EARTH	Poder de la tierra (+%d %% del valor total)	SA
TOOLTIP_ENCHANT_PER_ELECT	Poder del relámpago (+%d %% del valor total)	SA
TOOLTIP_ENCHANT_PER_FIRE	Poder del fuego (+%d %% del valor total)	SA
TOOLTIP_ENCHANT_PER_ICE	Poder del hielo (+%d %% del valor total)	SA
TOOLTIP_ENCHANT_PER_WIND	Poder del viento (+%d %% del valor total)	SA
TOOLTIP_ENERGY	Energía %d	SA
TOOLTIP_ETC	y así sucesivamente
TOOLTIP_EXP_BONUS_EVENT	EXP +%d%%	SA
TOOLTIP_FIFTH_ATTRIBUTE_BONUS	5.ª bonificación añadida + %d %%	SA
TOOLTIP_FIRST_ATTRIBUTE_BONUS	1.ª bonificación añadida +%d %%	SA
TOOLTIP_FISHINGROD_EXP	Puntos %d / %d
TOOLTIP_FISHINGROD_LEVEL	Fuerza: %d
TOOLTIP_FISHINGROD_UPGRADE1	Dale al pescador
TOOLTIP_FISHINGROD_UPGRADE2	para obtener una
TOOLTIP_FISHINGROD_UPGRADE3	Caña de Pescar mejor.
TOOLTIP_FISH_LEN	Altura: %.2fcm
TOOLTIP_FLOWER_EVENT_SHOOT_ENVELOPE	Semilla floral
TOOLTIP_FOURTH_ATTRIBUTE_BONUS	4.ª bonificación añadida +%d %%	SA
TOOLTIP_GLOVE	Guantes
TOOLTIP_GLOVE_BASE_EFFECT_INCREASE	El atributo básico de tus guantes aumenta en un +%d %%.	SA
TOOLTIP_GOLDEN_LAND_OASIS_SHOP_MERCH_REMAIN_COUNT	Compras restantes: %d
TOOLTIP_GUILD_BUILDING_BUILD_ACCE_1	Joyero
TOOLTIP_GUILD_BUILDING_BUILD_ACCE_2	(Zapatos, pendientes, brazaletes, collares y talismanes)
TOOLTIP_GUILD_BUILDING_BUILD_ARMOR_1_1	Fábrica de armaduras
TOOLTIP_GUILD_BUILDING_BUILD_ARMOR_1_2	(Armaduras, escudos y cascos)
TOOLTIP_GUILD_BUILDING_BUILD_ARMOR_2_1	Fábrica de armaduras especial
TOOLTIP_GUILD_BUILDING_BUILD_ARMOR_2_2	(Guantes y cinturones)
TOOLTIP_GUILD_BUILDING_BUILD_WEAPON_1	Fábrica de armas
TOOLTIP_GUILD_BUILDING_BUILD_WEAPON_2	(Armas)
TOOLTIP_GUILD_BUILDING_GLOVE_1	Talabartería
TOOLTIP_GUILD_BUILDING_GLOVE_2	(Guantes)
TOOLTIP_GUILD_BUILDING_GLOVE_SHOP_1	Taller de marroquinería
TOOLTIP_GUILD_BUILDING_GLOVE_SHOP_2	(Acceso a la Litógrafa)
TOOLTIP_GUILD_SKILL_ACCEL	Aceleración +%d	SA
TOOLTIP_GUILD_SKILL_BLESS	Bendición del Dios Dragón +%d	SA
TOOLTIP_GUILD_SKILL_BLOOD	Sangre del Dios Dragón +%d	SA
TOOLTIP_GUILD_SKILL_BUNNO	Ira del Dios Dragón +%d%%	SA
TOOLTIP_GUILD_SKILL_JUMUN	Ayuda de carga +%d%%	SA
TOOLTIP_GUILD_SKILL_SEONGHWI	Armadura santa +%d	SA
TOOLTIP_GUILD_SKILL_WHITE_DRAGON_BLESS	Tormenta de Balathor \nNo hay desmayo ni retardo\n	SNA
TOOLTIP_GUILD_SKILL_WHITE_DRAGON_FIRMNESS	Indomia de Balathor \nNo hay retroceso\n	SNA
TOOLTIP_GUILD_SKILL_WHITE_DRAGON_RESOLUTION	Voluntad de Balathor \nNo hay aturdimiento, encadenamiento ni congelación\n	SNA
TOOLTIP_HALLOWEEN_EVENT_BUFF	+20% de EXP | +5% de caída de objetos | +10% de fuerza contra monstruos	SNA
TOOLTIP_HELMET	Casco
TOOLTIP_HIT_AREA_ELEC_ATTACK	Ataca a los monstruos cercanoscon relámpagos que infligen un daño igual al del ataque normal.	SNA
TOOLTIP_HIT_AUTO_HP_RECOVERY	Durante el combate, recibes el efecto del Elixir del Sol.	SNA
TOOLTIP_HIT_AUTO_SP_RECOVERY	Durante el combate, recibes el efecto del Elixir de la Luna.	SNA
TOOLTIP_HIT_BUFF_ENCHANT_DARK	Recibirás poder de la oscuridad en batalla durante %d segundos	SA
TOOLTIP_HIT_BUFF_ENCHANT_EARTH	Recibirás poder de la tierra en batalla durante %d segundos	SA
TOOLTIP_HIT_BUFF_ENCHANT_ELEC	Recibirás poder del relámpago en batalla durante %d segundos	SA
TOOLTIP_HIT_BUFF_ENCHANT_FIRE	Recibirás poder del fuego en batalla durante %d segundos	SA
