ACCE_ABSORB_COST	Kombinationskosten: %d
TOOLTIP_AFFECT_GREEDY_GATE_BUFF	Energie der Pforte	SNA
TOOLTIP_AFFECT_GUILD_SPECIAL_BUILDING_BUFF	Schrein-Bonus	SNA
TOOLTIP_AFFECT_GUILD_WHITE_DRAGON_BREATH_DEBUFF	Unter Balathors tödlichem Blick ist deine TP-Wiederherstellung um 50 % reduziert.	SNA
TOOLTIP_AFFECT_GUILD_WHITE_DRAGON_ENHANCE_SCALES	Balathor hat die Dracheneier mit einem magischen Schuppenpanzer geschützt. Sie können nicht beschädigt werden. Zerstöre die Schuppen mit der Hwacha!	SNA
TOOLTIP_AFFECT_GUILD_WHITE_DRAGON_LAIR_BUFF_POTION	+15 % Widerstand gegen Fertigkeitsschaden\n+15 % Widerstand gegen Schlagschaden	SNA
TOOLTIP_AFFECT_GUILD_WHITE_DRAGON_LAIR_RAGE_DEBUFF	Balathors entfesselte Macht sorgt für eisige Kälte. Deine Angriffsgeschwindigkeit ist reduziert.	SNA
TOOLTIP_AFFECT_HEAVY_BLEEDING	Starke Blutung	SNA
TOOLTIP_AFFECT_ICECREAM	Eistüte\nBewegungsgeschwindigkeit +10\nMagie-/Nahkampfangriff +5 %\nEXP +10 %\n	SNA
TOOLTIP_AFFECT_IMMUNE_MINE_TOWER_SKILL	Sprengschutz-Ticket	SNA
TOOLTIP_AFFECT_INCREASE_REFINE_PCT	Segen, der einmalig nach Aktivierung die Erfolgschance der nächsten Veredelung um %d %% erhöht.	SA
TOOLTIP_AFFECT_INVINCIBILITY_DECCAN	Nezeraths Schild: Nezeraths beschworene Monster schützen ihn vor Schaden.	SNA
TOOLTIP_AFFECT_IRON_DRAGON_BLESS	Verbleibende Ladungen für 10%% Schadensreduktion: %d
TOOLTIP_AFFECT_LATE_SUMMER_EVENT_BUFF	Seelen (%d/20)	SA
TOOLTIP_AFFECT_LATE_SUMMER_EVENT_PRIMIUM_BUFF	Kostbare Seelen (%d/150)	SA
TOOLTIP_AFFECT_LOOTING_SYSTEM	Loot-Pass	SNA
TOOLTIP_AFFECT_LUCKY_EVENT	Monsterhatz-Buff	SNA
TOOLTIP_AFFECT_MERCENARY_MAX_ACTIVE_INCREASE	Erhöht die maximale Ausdauer um +%d	SA
TOOLTIP_AFFECT_MIND_CONTROL	Finsterer Einfluss	SNA
TOOLTIP_AFFECT_MI_BUFF	Besetzungs-Buff \n%s
TOOLTIP_AFFECT_MOUNT_FALL	Sturz vom Reittier	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_ATTACK_SPEED	Rasender Sturm	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_EFFECT_UP	Verstärkt den Reiteffekt	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_EXP	EXP	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_GYEONGGONG	Federschreiten	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_HIT_PCT	Präzision	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_INVINCIBILITY	Unbesiegbarkeit	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_JOB_ASSASIN	Stark gegen Ninja
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_JOB_SHAMAN	Stark gegen Schamanen
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_JOB_SURA	Stark gegen Sura
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_JOB_WARRIOR	Stark gegen Krieger
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_JOB_WOLF	Stark gegen Lykaner
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_KNOCKBACK	Kein Rückstoß	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_NIMBLE	Flinke Hufe	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_ANIMAL	Stark gegen Tiere
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_CZ	Stark gegen Zodiakmonster
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_DESSERT	Stark gegen Wüstenmonster
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_DEVIL	Stark gegen Teufel
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_HUMAN	Stark gegen Halbmenschen
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_INSECT	Stark gegen Insekten
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_MILGYO	Stark gegen Esoterische
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_MONSTER	Stark gegen alle Monster
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_UNDEAD	Stark gegen Untote
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_WONGGUI	Stark gegen Orks
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_SUNGMA_HP	SungMa-Wille (VIT)	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_SUNGMA_IMMUNE	SungMa-Wille (INT)	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_SUNGMA_MOVE	SungMa-Wille (RES)	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_SUNGMA_STR	SungMa-Wille (STR)	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_TO_STRONG	Reiten	SNA
TOOLTIP_AFFECT_NORMAL_ATTACK_DAMAGE_BUFF	%0.1f x Normaler Angriffsschaden
TOOLTIP_AFFECT_NORMAL_ATTACK_FORCE_TYPE	Echo der Stärke
TOOLTIP_AFFECT_NO_FALLEN	Widerstand gegen Sturz	SNA
TOOLTIP_AFFECT_OTHER_WORLD_DEAD_SOUL	Asmodeus' maximale TP wurden um %d%% reduziert.	SA
TOOLTIP_AFFECT_OTHER_WORLD_GOBLIN_PROTECTION	Du kannst in der Verdammnis nicht mit Asmodeus' Fluch belegt werden.	SNA
TOOLTIP_AFFECT_OTHER_WORLD_YEOMWANG_CURSE	An Monstern verursachter Schaden ist um 30 % verringert.	SNA
TOOLTIP_AFFECT_PASWAE	Reduziert für 5 Sekunden die Verteidigung und Bewegungsgeschwindigkeit.
TOOLTIP_AFFECT_POLYMORPH	Verwandlung	SNA
TOOLTIP_AFFECT_POLYMORPH_DEBUFF	Verwandlung (Debuff)	SNA
TOOLTIP_AFFECT_PREMIUM_MEMBERSHIP_BUFF	Metin+ Mitgliedschaft\n\nAlle Details und Einstellungen zur Metin+ Mitgliedschaft findest du auf der entsprechenden Seite, indem du auf „Was gibt es Neues?“ klickst.	SNA
TOOLTIP_AFFECT_PREMIUM_PRIVATE_SHOP	Persönlicher Premiumladen	SNA
TOOLTIP_AFFECT_RAMADNA_CANDY	Süßigkeiten \n+10 Bewegungsgeschwindigkeit \n+5 % Angriffsschaden \n+10 % EXP	SNA
TOOLTIP_AFFECT_RANJU	Glühwein \n+10 Bewegungsgeschwindigkeit \n+5 % Angriffsschaden \n+10 % EXP	SNA
TOOLTIP_AFFECT_RCAST_SPEED	Abklingzeit erhöhen	SNA
TOOLTIP_AFFECT_RED_DRAGONLAIR_BUFF	Widerstand gegen Fertigkeitsschaden +15% | Widerstand gegen normalen Angriffsschaden +15%	SNA
TOOLTIP_AFFECT_REFINE_FREE_MATERIAL	Segen, der einmalig nach Aktivierung dafür sorgt, dass die nächste Veredelung keine Materialien verbraucht.	SNA
TOOLTIP_AFFECT_RESEARCHER_ELIXIR	Elixier des Forschers	SNA
TOOLTIP_AFFECT_RHP_REGEN	Erholen nicht möglich	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_01	Lager-Bonus\n +3% EXP	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_02	Lager-Bonus\n+20 Verteidigung	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_03	Lager-Bonus\n+1% Trefferpunkte	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_04	Lager-Bonus\n+3% Stark gegen Monster	SNA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_A	Du erhältst eine zusätzliche Schatzkiste, wenn du den Schlangentempel oder die Nordwindtiefen erfolgreich abschließt.	SNA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_B	Du erhältst eine zusätzliche Schatzkiste, wenn du Jotun Thrym bezwingst oder den Zodiak-Tempel erfolgreich abschließt.	SNA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_C	Du erhältst eine zusätzliche Schatzkiste, wenn du Azrael oder Beran-Setaou bezwingst.	SNA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_POINT_A	Fortschritt Enigma-Tempel Bonus A: %d	SA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_POINT_B	Fortschritt Enigma-Tempel Bonus B: %d	SA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_POINT_C	Fortschritt Enigma-Tempel Bonus C: %d	SA
TOOLTIP_AFFECT_SET_ITEM_1	Heiliger Set-Bonus	SNA
TOOLTIP_AFFECT_SET_ITEM_2	Prächtiger Set-Bonus	SNA
TOOLTIP_AFFECT_SET_ITEM_3	Ritterlicher Set-Bonus	SNA
TOOLTIP_AFFECT_SET_ITEM_4	Fürstlicher Set-Bonus	SNA
TOOLTIP_AFFECT_SET_ITEM_5	Majestätischer Set-Bonus	SNA
TOOLTIP_AFFECT_SHACKLE	Fessel
TOOLTIP_AFFECT_SKILL_ATTACK_DAMAGE_BUFF	%0.1f x Fertigkeitsschaden
TOOLTIP_AFFECT_SKILL_ATTACK_FORCE_TYPE	Echo des Könnens
TOOLTIP_AFFECT_SNOWFLAKE_STICK_EVENT_RANK_BUFF	Winterzauber	SNA
TOOLTIP_AFFECT_SNOWFLAKE_STICK_EVENT_RANK_BUFF_ACQUIRED	: Erhalten\n
TOOLTIP_AFFECT_SNOWFLAKE_STICK_EVENT_RANK_BUFF_NOT_ACQUIRED	: Nicht erhalten\n
TOOLTIP_AFFECT_SNOWFLAKE_STICK_EVENT_SNOWFLAKE_BUFF_1	Schneeflocken-Zauber	SNA
TOOLTIP_AFFECT_SNOWFLAKE_STICK_EVENT_SNOWFLAKE_BUFF_2	Du kannst Schneebälle und Schneemann-Zweige von besiegten Monstern erhalten.
TOOLTIP_AFFECT_SUNGMAHEE_TOWER_CURSE	Sung Mahis Fluch (%d-mal gestapelt). Deine HP sinken pro Stapel und 10 Sekunden um 10%%. Kann bis zu 10-mal gestapelt werden.	SA
TOOLTIP_AFFECT_SUNGMA_ALL	Erhöht alle SungMa-Werte um 10 %.	SNA
TOOLTIP_AFFECT_SUNGMA_DESC	Sung Mahis Wille erfüllt diesen Ort.
TOOLTIP_AFFECT_SUNGMA_HP	SungMa-Wille (VIT): %d
TOOLTIP_AFFECT_SUNGMA_HP_BUFF	Erhöht deinen SungMa-Willen (VIT) um +%d.	SA
TOOLTIP_AFFECT_SUNGMA_IMMUNE	SungMa-Wille (INT): %d
TOOLTIP_AFFECT_SUNGMA_IMMUNE_BUFF	Erhöht deinen SungMa-Willen (INT) um +%d.	SA
TOOLTIP_AFFECT_SUNGMA_MOVE	SungMa-Wille (RES): %d
TOOLTIP_AFFECT_SUNGMA_MOVE_BUFF	Erhöht deinen SungMa-Willen (RES) um +%d.	SA
TOOLTIP_AFFECT_SUNGMA_MOVE_DEBUFF	-20 SungMa-Wille (RES)	SNA
TOOLTIP_AFFECT_SUNGMA_STR	SungMa-Wille (STR): %d
TOOLTIP_AFFECT_SUNGMA_STR_BUFF	Erhöht deinen SungMa-Willen (STR) um +%d.	SA
TOOLTIP_AFFECT_SUNGMA_STR_DEBUFF	-20 SungMa-Wille (STR)	SNA
TOOLTIP_AFFECT_WHITE_DRAGON_BLESS	Verbleibende Ladungen für 10%% Schadensbonus: %d
TOOLTIP_AFFECT_WORLD_BOSS_DAILY_REWARD	Täglicher Questbonus des Weltboss-Events\n Angriffswert +%d%%	SA
TOOLTIP_AFFECT_WORLD_BOSS_REWARD	Rangbonus des Weltboss-Events\n Itemdrop +%d	SA
TOOLTIP_ALIGNMENT_DAMAGE_BONUS	Bei niedrigen Rangpunkten wird verursachter Schaden erhöht.	SNA
TOOLTIP_ANTI_CRITICAL_PCT	Widerstand gegen kritischen Treffer +%d%%	SA
TOOLTIP_ANTI_PENETRATE_PCT	Widerstand gegen durchbohrenden Treffer +%d%%	SA
TOOLTIP_ANTI_SELL	Kann nicht im Geschäft verkauft werden.
TOOLTIP_APPLY_ACCEDRAIN_RATE	Aufnahmerate: %d%%	SA
TOOLTIP_APPLY_ATTBONUS_ANIMAL	Stark gegen Tiere +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ASSASSIN	Stark gegen Ninja +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_BELL	Bruch von Glockenverteidigung +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_BOW	Bruch von Pfeilverteidigung +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_CLAW	Bruch von Krallenverteidigung +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_CZ	Stark gegen Zodiakmonster +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DAGGER	Bruch von Dolchverteidigung +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DESERT	Stark gegen Wüstenmonster +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DEVIL	Stark gegen Teufel +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DRAGON	Stark gegen Drachen +%d %%	SA
TOOLTIP_APPLY_ATTBONUS_FAN	Bruch von Fächerverteidigung +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_HUMAN	Stark gegen Halbmenschen +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_INSECT	Stark gegen Insekten +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MILGYO	Stark gegen Esoterische +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MONSTER	Stark gegen Monster +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MOON	Stark gegen Mondschatten-Monster +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MYSTERY_DUNGEON	Stark gegen Mysterien +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ORC	Stark gegen Orks +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SHAMAN	Stark gegen Schamanen +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SURA	Stark gegen Sura +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SWORD	Bruch von Schwertverteidigung +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_TWOHAND	Bruch von Zweihandverteidigung +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_UNDEAD	Stark gegen Untote +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WARRIOR	Stark gegen Krieger +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WOLFMAN	Stark gegen Lykaner + %d%%	SA
TOOLTIP_APPLY_BLEEDING_PCT	Blutungsangriff + %d%%	SA
TOOLTIP_APPLY_BLEEDING_REDUCE	Widerstand gegen Blutungsangriff + %d%%	SA
TOOLTIP_APPLY_BLOCK	Chance, Nahkampfangriff abzublocken %d%%	SA
TOOLTIP_APPLY_BLOCK_PENETRATE_PCT	+%d %% Blockdurchdringung	SA
TOOLTIP_APPLY_BONUS_BLOCK_PENETRATE_PCT	+%d %% d. Gesamtwerts Blockdurchdringung	SA
TOOLTIP_APPLY_BONUS_HIT_PCT	+%d%% Präzision	SA
TOOLTIP_APPLY_COMBAT_SP_RECOVER	MP im Kampf alle 5 Sek. wiederherstellen %d	SA
TOOLTIP_APPLY_CONFUSION_TO_MOB	Chance auf Verwirrung: %0.1f%%	SA
TOOLTIP_APPLY_CRITICAL_PCT	Chance auf krit. Treffer +%d%%	SA
TOOLTIP_APPLY_DAMAGE_SP_RECOVER	%d%% Chance, MP bei Treffer zurückzuerhalten	SA
TOOLTIP_APPLY_DODGE	%d%% Chance, Pfeilangriff auszuweichen	SA
TOOLTIP_APPLY_ENCHANT_DARK	Kraft der Dunkelheit +%d%%	SA
TOOLTIP_APPLY_ENCHANT_DARK2	Kraft der Dunkelheit +%d%% ~ +%d%%
TOOLTIP_APPLY_ENCHANT_EARTH	Kraft der Erde +%d%%	SA
TOOLTIP_APPLY_ENCHANT_EARTH2	Kraft der Erde +%d%% ~ +%d%%
TOOLTIP_APPLY_ENCHANT_ELECT	Kraft der Blitze +%d%%	SA
TOOLTIP_APPLY_ENCHANT_ELECT2	Kraft der Blitze +%d%% ~ +%d%%
TOOLTIP_APPLY_ENCHANT_FIRE	Kraft des Feuers +%d%%	SA
TOOLTIP_APPLY_ENCHANT_FIRE2	Kraft des Feuers +%d%% ~ +%d%%
TOOLTIP_APPLY_ENCHANT_ICE	Kraft des Eises +%d%%	SA
TOOLTIP_APPLY_ENCHANT_ICE2	Kraft des Eises +%d%% ~ +%d%%
TOOLTIP_APPLY_ENCHANT_WIND	Kraft des Windes +%d%%	SA
TOOLTIP_APPLY_ENCHANT_WIND2	Kraft des Windes +%d%% ~ +%d%%
TOOLTIP_APPLY_EXP_DOUBLE_BONUS	%d%% Chance auf EXP-Bonus	SA
TOOLTIP_APPLY_GOLD_DOUBLE_BONUS	%d%% Chance, eine doppelte Menge Yang fallen zu lassen.	SA
TOOLTIP_APPLY_IMMUNE_BLEEDING100	Immun gegen Blutung	SNA
TOOLTIP_APPLY_IMMUNE_FALL	Immun gegen Stürzen	SNA
TOOLTIP_APPLY_IMMUNE_POISON100	Immun gegen Gift	SNA
TOOLTIP_APPLY_IMMUNE_SLOW	Abwehr gegen Verlangsamen	SNA
TOOLTIP_APPLY_IMMUNE_STUN	Abwehr gegen Ohnmacht	SNA
TOOLTIP_APPLY_ITEM_DROP_BONUS	%d%% Chance, eine doppelte Menge von Gegenständen fallen zu lassen.	SA
TOOLTIP_APPLY_KILL_HP_RECOVER	%d%% Chance, TP wiederherzustellen	SA
TOOLTIP_APPLY_KILL_SP_RECOVER	%d%% Chance, MP wiederherzustellen	SA
TOOLTIP_APPLY_MANA_BURN_PCT	%d%% Chance auf Manaraub	SA
TOOLTIP_APPLY_MAX_HP_PCT	Max. TP +%d%%	SA
TOOLTIP_APPLY_MAX_SP_PCT	Max. MP +%d%%	SA
TOOLTIP_APPLY_MONSTER_DEFEND_BONUS	Widerstand gegen Monster-Angriffe %d	SA
TOOLTIP_APPLY_NOAFFECT	Keine Auswirkung
TOOLTIP_APPLY_NO_DEATH_PENALTY	Bei Wiederbelebung des Charakters am Ort des Todes werden keine Erfahrungspunkte abgezogen.	SNA
TOOLTIP_APPLY_NO_DEATH_PENALTY_PLUS	Der Drachengott hält seine schützenden Schwingen über dich. Wenn du am Ort deines Todes wiederbelebt wirst, verlierst du keine Erfahrungspunkte.	SNA
TOOLTIP_APPLY_PENETRATE_PCT	%d%% Chance auf durchbohrenden Treffer	SA
TOOLTIP_APPLY_POISON_PCT	Vergiftungschance %d%%	SA
TOOLTIP_APPLY_POISON_REDUCE	Giftwiderstand %d%%	SA
TOOLTIP_APPLY_POTION_BONUS	Trank %d%% Effektzuwachs	SA
TOOLTIP_APPLY_REFLECT_CURSE	%d%% Chance, Fluch zu reflektieren	SA
TOOLTIP_APPLY_REFLECT_MELEE	%d%% Chance, Nahkampftreffer zu reflektieren	SA
TOOLTIP_APPLY_REFUSE_EXP	Keine Erfahrung sammeln	SNA
TOOLTIP_APPLY_RESIST_ASSASSIN	Abwehrchance gegen Ninjaangriffe %d%%	SA
TOOLTIP_APPLY_RESIST_BELL	Glockenverteidigung %d%%	SA
TOOLTIP_APPLY_RESIST_CLAW	Krallenverteidigung + %d%%	SA
TOOLTIP_APPLY_RESIST_DAGGER	Dolchverteidigung %d%%	SA
TOOLTIP_APPLY_RESIST_FAN	Fächerverteidigung %d%%	SA
TOOLTIP_APPLY_RESIST_HUMAN	Widerstand gegen Halbmenschen %d%%	SA
TOOLTIP_APPLY_RESIST_MOUNT_FALL	Widerstand gegen Sturz +%d%%	SA
TOOLTIP_APPLY_RESIST_SHAMAN	Abwehrchance gegen Schamanenangriffe %d%%	SA
TOOLTIP_APPLY_RESIST_SURA	Abwehrchance gegen Suraangriffe %d%%	SA
TOOLTIP_APPLY_RESIST_SWORD	Schwertverteidigung %d%%	SA
TOOLTIP_APPLY_RESIST_TWOHAND	Zweihänderverteidigung %d%%	SA
TOOLTIP_APPLY_RESIST_WARRIOR	Abwehrchance gegen Kriegerangriffe %d%%	SA
TOOLTIP_APPLY_RESIST_WIND	Windwiderstand %d%%	SA
TOOLTIP_APPLY_RESIST_WOLFMAN	Abwehrchance gegen Lykaner %d%%	SA
TOOLTIP_APPLY_SKILL_BOOK_BONUS	Chance, aus Büchern zu lernen um Faktor 2,5 verbessert	SNA
TOOLTIP_APPLY_SKILL_BOOK_NO_DELAY	Wenn das Lernen fehlschlägt, hast du sofort einen weiteren Versuch frei.	SNA
TOOLTIP_APPLY_SLOW_PCT	Verlangsamungschance %d%%	SA
TOOLTIP_APPLY_STEAL_HP	%d%% Schaden wird von TP absorbiert	SA
TOOLTIP_APPLY_STEAL_SP	%d%% Schaden wird von MP absorbiert	SA
TOOLTIP_APPLY_STUN_PCT	Ohnmachtschance %d%%	SA
TOOLTIP_ARMOR	Rüstung
TOOLTIP_ARROW	Pfeil
TOOLTIP_ASSASSIN	Ninja
TOOLTIP_ATTBONUS_PER_ANIMAL	Stark gegen Tiere (+%d%% d. Gesamtwerts)	SA
TOOLTIP_ATTBONUS_PER_CZ	Stark gegen Zodiakmonster (+%d%% d. Gesamtwerts)	SA
TOOLTIP_ATTBONUS_PER_DESERT	Stark gegen Wüstenmonster (+%d%% d. Gesamtwerts)	SA
TOOLTIP_ATTBONUS_PER_DEVIL	Stark gegen Teufel (+%d%% d. Gesamtwerts)	SA
TOOLTIP_ATTBONUS_PER_HUMAN	Stark gegen Halbmenschen (+%d%% d. Gesamtwerts)	SA
TOOLTIP_ATTBONUS_PER_INSECT	Stark gegen Insekten (+%d%% d. Gesamtwerts)	SA
TOOLTIP_ATTBONUS_PER_MILGYO	Stark gegen Esoterische (+%d%% d. Gesamtwerts)	SA
TOOLTIP_ATTBONUS_PER_MONSTER	Stark gegen Monster (+%d%% d. Gesamtwerts)	SA
TOOLTIP_ATTBONUS_PER_ORC	Stark gegen Orks (+%d%% d. Gesamtwerts)	SA
TOOLTIP_ATTBONUS_PER_STONE	Stark gegen Metinsteine (+%d%% d. Gesamtwerts)	SA
TOOLTIP_ATTBONUS_PER_UNDEAD	Stark gegen Untote (+%d%% d. Gesamtwerts)	SA
TOOLTIP_ATTBONUS_STONE	+%d%% Stark gegen Metinsteine	SA
TOOLTIP_ATT_GRADE	Angriffswert +%d	SA
TOOLTIP_ATT_SPEED	Angriffsgeschwindigkeit +%d%%	SA
TOOLTIP_ATT_SPEED_SLOW	Angriffsgeschwindigkeit reduziert	SNA
TOOLTIP_AUTO_DAMAGE_POTION_REST	Verbleibende Zeit: %d
TOOLTIP_AUTO_PICKUP	Du hast %d%% Chance, 30 Sekunden lang Items in deiner Nähe automatisch aufzusammeln	SA
TOOLTIP_AUTO_POTION_HP	Elixier der Sonne
TOOLTIP_AUTO_POTION_REST	Restmenge: %.2f%%
TOOLTIP_AUTO_POTION_SP	Elixier des Mondes
TOOLTIP_AUTO_POTION_USING	Aktiv
TOOLTIP_AUTO_SYSTEM_PRIMIUM	Autojagd	SNA
TOOLTIP_BATTLE_POTION	Kampfzonen-Gefechtstrank	SNA
TOOLTIP_BATTLE_ROYALE_AFFECT_INFINITE_STAMINA	Endlose Ausdauer	SNA
TOOLTIP_BATTLE_ROYALE_AFFECT_MOVE_SPEED	Bewegungsgeschwindigkeit erhöht	SNA
TOOLTIP_BATTLE_ROYALE_AFFECT_SLOW	Bewegungsgeschwindigkeit verringert	SNA
TOOLTIP_BOW_DISTANCE	Reichweite +%d m	SA
TOOLTIP_BUYPRICE	Preis: %s
TOOLTIP_CAST_SPEED	Zaubergeschwindigkeit +%d%%	SA
TOOLTIP_CON	Vitalität +%d	SA
TOOLTIP_CONFUSION_IMMUNE	Immun gegen Verwirrung
TOOLTIP_COSTUME_ATTR_BONUS	Kostümbonus %d%%	SA
TOOLTIP_CURSE_OF_DARKNESS_UI_CONTENT	Erhöht mit jeder Anwendung Aamons Angriff und Verteidigung\nund erlaubt ihm, Fähigkeiten häufiger einzusetzen.\nNach 5 Anwendungen kannst du mit Albiras Hilfe die Kraft der Sonnenscherben\nnutzen, um den Mondschattenfluch aufzuheben.
TOOLTIP_CURSE_OF_DARKNESS_UI_TITLE	Mondschattenfluch (%d-mal)
TOOLTIP_CURSE_OF_ELEMENTAL	Elementarfluch (%d-mal gestapelt). Deine HP sinken kontinuierlich. Kann bis zu 10-mal gestapelt werden.	SA
TOOLTIP_DAMAGE_HP_RECOVERY	Absorbiert Schaden zu %d%% als TP	SA
TOOLTIP_DAMAGE_SP_RECOVERY	Absorbiert Schaden zu %d%% als MP	SA
TOOLTIP_DEF_GRADE	Verteidigung +%d	SA
TOOLTIP_DEX	Beweglichkeit +%d	SA
TOOLTIP_DISMOUNT_MOVE_SPEED_BONUS_PER	Beim Absteigen vom Reittier wird die Bewegungsgeschwindigkeit 10 Sekunden lang um %d%% erhöht	SA
TOOLTIP_DRAGON_SOUL_DECK1	Himmel	SNA
TOOLTIP_DRAGON_SOUL_DECK2	Erde	SNA
TOOLTIP_DS_SET	DSS-Set-Effekt	SNA
TOOLTIP_DURATION	Dauer
TOOLTIP_EAR	Ohrring
TOOLTIP_ENCHANT_PER_DARK	Kraft der Dunkelheit (+%d%% d. Gesamtwerts)	SA
TOOLTIP_ENCHANT_PER_EARTH	Kraft der Erde (+%d%% d. Gesamtwerts)	SA
TOOLTIP_ENCHANT_PER_ELECT	Kraft der Blitze (+%d%% d. Gesamtwerts)	SA
TOOLTIP_ENCHANT_PER_FIRE	Kraft des Feuers (+%d%% d. Gesamtwerts)	SA
TOOLTIP_ENCHANT_PER_ICE	Kraft des Eises (+%d%% d. Gesamtwerts)	SA
TOOLTIP_ENCHANT_PER_WIND	Kraft des Windes (+%d%% d. Gesamtwerts)	SA
TOOLTIP_ENERGY	Energie %d	SA
TOOLTIP_ETC	Usw.
TOOLTIP_EXP_BONUS_EVENT	EXP +%d%%	SA
TOOLTIP_FIFTH_ATTRIBUTE_BONUS	5. hinzugefügter Bonus +%d%%	SA
TOOLTIP_FIRST_ATTRIBUTE_BONUS	1. hinzugefügter Bonus +%d%%	SA
TOOLTIP_FISHINGROD_EXP	Punkte: %d / %d
TOOLTIP_FISHINGROD_LEVEL	Stärke: %d
TOOLTIP_FISHINGROD_UPGRADE1	Dem Fischer geben,
TOOLTIP_FISHINGROD_UPGRADE2	um eine bessere
TOOLTIP_FISHINGROD_UPGRADE3	Angelrute zu erhalten.
TOOLTIP_FISH_LEN	Länge: %.2fcm
TOOLTIP_FLOWER_EVENT_SHOOT_ENVELOPE	Blumensamen
TOOLTIP_FOURTH_ATTRIBUTE_BONUS	4. hinzugefügter Bonus +%d%%	SA
TOOLTIP_GLOVE	Handschuhe
TOOLTIP_GLOVE_BASE_EFFECT_INCREASE	Die Basisattribute deiner Handschuhe sind um +%d%% erhöht.	SA
TOOLTIP_GOLDEN_LAND_OASIS_SHOP_MERCH_REMAIN_COUNT	Verbleibende Käufe: %d
TOOLTIP_GUILD_BUILDING_BUILD_ACCE_1	Juwelier
TOOLTIP_GUILD_BUILDING_BUILD_ACCE_2	(Schuhe, Ohrringe, Armbänder, Halsketten und Talismane)
