ACCE_ABSORB_COST	ÊßÇáíİ ÇáÏãÌ: %d
TOOLTIP_AFFECT_ELEMENT_BUFF_CRACK_DARK	ŞæÉ ÇáÙáÇã
TOOLTIP_AFFECT_ELEMENT_BUFF_CRACK_EARTH	ŞæÉ ÇáÃÑÖ
TOOLTIP_AFFECT_ELEMENT_BUFF_CRACK_ELECT	ŞæÉ ÇáÈÑŞ
TOOLTIP_AFFECT_ELEMENT_BUFF_CRACK_FIRE	ŞæÉ ÇáäÇÑ
TOOLTIP_AFFECT_ELEMENT_BUFF_CRACK_ICE	ŞæÉ ÇáÌáíÏ
TOOLTIP_AFFECT_ELEMENT_BUFF_CRACK_NONE	ÈÏæä ÊÃËíÑ
TOOLTIP_AFFECT_ELEMENT_BUFF_CRACK_WIND	ŞæÉ ÇáÑíÇÍ
TOOLTIP_AFFECT_FISHING_GOLD_TUNA	ÚáÇæÉ ÇáÊæäÇ ÇáĞåÈíÉ	SNA
TOOLTIP_AFFECT_FISHING_MOVE_SPEED_DOWN	ËíÇÈ ãÈááÉ\nÓÑÚÉ ÇáÊÍÑß -50	SNA
TOOLTIP_AFFECT_FLAG_CANNOT_ATTACK	íÊã ÕÏ ÇáåÌæã ÇáÚÇÏí
TOOLTIP_AFFECT_FLAG_CANNOT_USE_SKILL	íÊã ÕÏ ÇáãåÇÑÇÊ
TOOLTIP_AFFECT_FLOWER_OF_DESTRUCTION	ŞæÉ ÊÃËíÑ ÇáÅÒåÇÑ
TOOLTIP_AFFECT_FLOWER_OF_DESTRUCTION_ANIMAL	ŞæÉ ÊÃËíÑ ÇáÅÒåÇÑ: Şæí ÖÏ ÇáÍíæÇäÇÊ +%d %%\n\níãßäå ÅÍíÇÁ äİÓß Úáì ÇáİæÑ.	SA
TOOLTIP_AFFECT_FLOWER_OF_DESTRUCTION_DARK	ŞæÉ ÊÃËíÑ ÇáÅÒåÇÑ: Şæí ÖÏ ÇáÙáÇã +%d %%\n\níãßäå ÅÍíÇÁ äİÓß Úáì ÇáİæÑ.	SA
TOOLTIP_AFFECT_FLOWER_OF_DESTRUCTION_EARTH	ŞæÉ ÊÃËíÑ ÇáÅÒåÇÑ: Şæí ÖÏ ÇáÃÑÖ +%d %%\n\níãßäå ÅÍíÇÁ äİÓß Úáì ÇáİæÑ.	SA
TOOLTIP_AFFECT_FLOWER_OF_DESTRUCTION_ELECT	ŞæÉ ÊÃËíÑ ÇáÅÒåÇÑ: Şæí ÖÏ ÇáÈÑŞ +%d %%\n\níãßäå ÅÍíÇÁ äİÓß Úáì ÇáİæÑ.	SA
TOOLTIP_AFFECT_FLOWER_OF_DESTRUCTION_FIRE	ŞæÉ ÊÃËíÑ ÇáÅÒåÇÑ: Şæí ÖÏ ÇáäÇÑ +%d %%\n\níãßäå ÅÍíÇÁ äİÓß Úáì ÇáİæÑ.	SA
TOOLTIP_AFFECT_FLOWER_OF_DESTRUCTION_ICE	ŞæÉ ÊÃËíÑ ÇáÅÒåÇÑ: Şæí ÖÏ ÇáÌáíÏ +%d %%\n\níãßäå ÅÍíÇÁ äİÓß Úáì ÇáİæÑ.	SA
TOOLTIP_AFFECT_FLOWER_OF_DESTRUCTION_WIND	ŞæÉ ÊÃËíÑ ÇáÅÒåÇÑ: Şæí ÖÏ ÇáÑíÇÍ +%d %%\n\níãßäå ÅÍíÇÁ äİÓß Úáì ÇáİæÑ.	SA
TOOLTIP_AFFECT_FLOWER_OF_GALE	ÊÃËíÑ ÒåÑÉ ÇáÚÇÕİÉ: ÓÑÚÉ ÇáÊÍÑß +%d\n\níãßäå ÅÍíÇÁ äİÓß Úáì ÇáİæÑ.	SA
TOOLTIP_AFFECT_FORCE_REMAIN_COUNT	ÇáÑÓæã ÇáãÊÈŞíÉ: %d
TOOLTIP_AFFECT_FREEZING	ÇáãÌãÏÉ	SNA
TOOLTIP_AFFECT_GARRISON_BUFF	ÍÕÇäÉ ãä ÊÃËíÑ ÓæäÛ ãÇåí	SNA
TOOLTIP_AFFECT_GARRISON_DEBUFF	ÊÃËíÑ ÓæäÛ ãÇåí	SNA
TOOLTIP_AFFECT_GREEDY_GATE_BUFF	ØÇŞÉ ÇáÈæÇÈÉ	SNA
TOOLTIP_AFFECT_GUILD_SPECIAL_BUILDING_BUFF	ÚáÇæÉ ÇáÖÑíÍ	SNA
TOOLTIP_AFFECT_GUILD_WHITE_DRAGON_BREATH_DEBUFF	ÊÍÊ äÙÑÉ ÈÇáËæÑ ÇáããíÊÉ¡ íÊã ÊŞáíá ÅÓÊÚÇÏÉ äŞÇØ ÇáÍíÇÉ áÏíß ÈäÓÈÉ 50 %.	SNA
TOOLTIP_AFFECT_GUILD_WHITE_DRAGON_ENHANCE_SCALES	ŞÇã ÈÇáÇËæÑ ÈÍãÇíÉ ÈíÖ ÇáÊäíä ÈÏÑÚ ÓÍÑí. áÇ íãßä Ãä ÊÊÖÑÑ. ÏãÑ ÇáÍÑÇÔİ ÈÇÓÊÎÏÇã ÇáåæÇÊÔÇ!	SNA
TOOLTIP_AFFECT_GUILD_WHITE_DRAGON_LAIR_BUFF_POTION	+15 % ãŞÇæãÉ ÖÏ ÃÖÑÇÑ ÇáãåÇÑÉ\n+15 % ãŞÇæãÉ ÖÏ ÃÖÑÇÑ ÇáåÌæã	SNA
TOOLTIP_AFFECT_GUILD_WHITE_DRAGON_LAIR_RAGE_DEBUFF	ŞæÉ ÈÇáËæÑ ÇáãØáŞÉ ÊÌáÈ ÇáÈÑÏ ÇáÌáíÏí. íÊã ÊŞáíá ÓÑÚÉ ÇáåÌæã ÇáÎÇÕ Èß.	SNA
TOOLTIP_AFFECT_HEAVY_BLEEDING	äÒíİ ÍÇÏ	SNA
TOOLTIP_AFFECT_ICECREAM	ŞÑä ÇáÈæÙÉ\nÓÑÚÉ ÇáÊÍÑß +10\nåÌæã ÓÍÑí/ÌÓÏí +5 %\nÎÈÑÉ +10 %\n	SNA
TOOLTIP_AFFECT_IMMUNE_MINE_TOWER_SKILL	ÊĞßÑÉ ÍãÇíÉ ãä ÇáÇäİÌÇÑ	SNA
TOOLTIP_AFFECT_INCREASE_REFINE_PCT	ÈãÌÑÏ ÊİÚíá ÇáÈÑßÉ ÓÊÒíÏ İÑÕÉ äÌÇÍ ÇáÕŞá ÇáÊÇáí ÈãŞÏÇÑ %d%%	SA
TOOLTIP_AFFECT_INVINCIBILITY_DECCAN	ÏÑÚ äíÒÑÇË: ÊÍãí ÇáæÍæÔ ÇáÊí íÓÊÏÚíåÇ äíÒÑÇË ãä ÇáÖÑÑ.	SNA
TOOLTIP_AFFECT_IRON_DRAGON_BLESS	ÇáÔÍäÇÊ ÇáãÊÈŞíÉ áÊŞáíá ÇáÖÑÑ ÈäÓÈÉ 10%%: %d
TOOLTIP_AFFECT_LATE_SUMMER_EVENT_BUFF	ÃÑæÇÍ (%d/20)	SA
TOOLTIP_AFFECT_LATE_SUMMER_EVENT_PRIMIUM_BUFF	ÃÑæÇÍ äİíÓÉ (%d/150)	SA
TOOLTIP_AFFECT_LOOTING_SYSTEM	ÊĞßÑÉ ÇáÛäíãÉ	SNA
TOOLTIP_AFFECT_LUCKY_EVENT	ÚáÇæÉ-ÕíÏ ÇáæÍæÔ	SNA
TOOLTIP_AFFECT_MERCENARY_MAX_ACTIVE_INCREASE	íÒíÏ ãä ÇáŞÏÑÉ Úáì ÇáÊÍãøá ÈãŞÏÇÑ +%d	SA
TOOLTIP_AFFECT_MIND_CONTROL	ÊÃËíÑ ãÙáã	SNA
TOOLTIP_AFFECT_MI_BUFF	ÚáÇæÉ ÇáÅÍÊáÇá: \n%s
TOOLTIP_AFFECT_MOUNT_FALL	ÊÓŞØ ãä Úáì ÙåÑ ÇáÏÇÈÉ	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_ATTACK_SPEED	(ÚÇÕİÉ ÛÇÖÈÉ)	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_EFFECT_UP	íÒíÏ ãä ÊÃËíÑ ÇáÑßæÈ	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_EXP	ÎÈÑÉ EXP	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_GYEONGGONG	ÇáãÔí ÈÎİÉ	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_HIT_PCT	ÇáÏŞÉ	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_INVINCIBILITY	ãäÇÚÉ	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_JOB_ASSASIN	Şæí ÖÏ ÇáäíäÌÇ
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_JOB_SHAMAN	Şæí ÖÏ ÇáÔÇãÇä
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_JOB_SURA	Şæí ÖÏ ÇáÓæÑÇ
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_JOB_WARRIOR	Şæí ÖÏ ÇáãÍÇÑÈ
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_JOB_WOLF	Şæí ÖÏ ÇááíßÇäÑ
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_KNOCKBACK	ÅÓŞÇØ ÇáÎÕã	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_NIMBLE	ÍæÇİÑ ĞßíÉ	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_ANIMAL	Şæí ÖÏ ÇáÍíæÇäÇÊ
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_CZ	Şæí ÖÏ æÍæÔ ÒæÏíÇß
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_DESSERT	Şæí ÖÏ æÍæÔ ÇáÕÍÑÇÁ
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_DEVIL	Şæí ÖÏ ÇáÔíØÇä
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_HUMAN	Şæí ÖÏ äÕİ ÈÔÑ
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_INSECT	Şæí ÖÏ ÇáÍÔÑÇÊ
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_MILGYO	Şæí ÖÏ ÇáØÇÆİÉ ÇáÓÑíÉ
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_MONSTER	Şæí ÖÏ ÌãíÚåÇ æÍÔ
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_UNDEAD	Şæí ÖÏ ÇáÒæãÈí
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_WONGGUI	Şæí ÖÏ ÇáÛíáÇä
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_SUNGMA_HP	ÅÑÇÏÉ ÓæäÛ ãÇåí (ÍíæíÉ)	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_SUNGMA_IMMUNE	ÅÑÇÏÉ ÓæäÛ ãÇåí (ĞßÇÁ)	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_SUNGMA_MOVE	ÅÑÇÏÉ ÓæäÛ ãÇåí (ãŞÇæãÉ)	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_SUNGMA_STR	ÅÑÇÏÉ ÓæäÛ ãÇåí (ŞæÉ)	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_TO_STRONG	ÑßæÈ ÇáÎíá	SNA
TOOLTIP_AFFECT_NORMAL_ATTACK_DAMAGE_BUFF	%0.1f × ÖÑÑ ÇáåÌæã ÇáÚÇÏí
TOOLTIP_AFFECT_NORMAL_ATTACK_FORCE_TYPE	ÕÏì ÇáŞæÉ
TOOLTIP_AFFECT_NO_FALLEN	ãŞÇæãÉ ÇáÓŞæØ	SNA
TOOLTIP_AFFECT_OTHER_WORLD_DEAD_SOUL	áŞÏ Êã ÎİÖ ÇáÍÏ ÇáÃŞÕì áäŞÇØ ÍíÇÉ ÃÒãæÏíæÓ ÈãŞÏÇÑ %d%%.	SA
TOOLTIP_AFFECT_OTHER_WORLD_GOBLIN_PROTECTION	áÇ íãßä Ãä ÊæÖÚ ÊÍÊ áÚäÉ ÃÒãæÏíæÓ İí ÇáÅÏÇäÉ.	SNA
TOOLTIP_AFFECT_OTHER_WORLD_YEOMWANG_CURSE	íÊã ÊŞáíá ÇáÖÑÑ ÇáæÇŞÚ Úáì ÇáæÍæÔ ÈäÓÈÉ 30 %.	SNA
TOOLTIP_AFFECT_PASWAE	íŞáá ÓÑÚÉ ÇáÊÍÑß æÇáÏİÇÚ áãÏÉ 5 ËæÇä.
TOOLTIP_AFFECT_POLYMORPH	ÊÍæíá	SNA
TOOLTIP_AFFECT_POLYMORPH_DEBUFF	ÊÍæá (ÇáÛÇÁ ÚáÇæÉ)	SNA
TOOLTIP_AFFECT_PREMIUM_MEMBERSHIP_BUFF	ÚÖæíÉ Metin+\n\nÌãíÚ ÇáÊİÇÕíá æÇáÅÚÏÇÏÇÊ ÇáãÊÚáŞÉ ÈÚÖæíÉ Metin+ íãßäß ÇáÚËæÑ ÚáíåÇ İí ÇáÕİÍÉ ÇáãÎÕÕÉ¡ æĞáß ãä ÎáÇá ÇáäŞÑ Úáì "ãÇ ÇáÌÏíÏ¿".	SNA
TOOLTIP_AFFECT_PREMIUM_PRIVATE_SHOP	ãÊÌÑ ÔÎÕí ããíÒ	SNA
TOOLTIP_AFFECT_RAMADNA_CANDY	ÍáæíÇÊ \nÓÑÚÉ ÇáÊÍÑß +10 \nÖÑÑ ÇáåÌæã +5 % \nÎÈÑÉ +10 %	SNA
TOOLTIP_AFFECT_RANJU	ÔÑÇÈ ÎæáäÌÇä \nÓÑÚÉ ÇáÊÍÑß +10 \nÖÑÑ ÇáåÌæã +5 % \nÎÈÑÉ +10 %	SNA
TOOLTIP_AFFECT_RCAST_SPEED	ÊŞáá ãä æŞÊ ÇáÇÓÊÑÇÍÉ ÇáÅÌÈÇÑíÉ	SNA
TOOLTIP_AFFECT_RED_DRAGONLAIR_BUFF	ãŞÇæãÉ ÖÏ ÃÖÑÇÑ ÇáãåÇÑÉ +15% | ãŞÇæãÉ ÃÖÑÇÑ ÇáåÌæã +15%	SNA
TOOLTIP_AFFECT_REFINE_FREE_MATERIAL	ÈãÌÑÏ ÊİÚíá ÇáÈÑßÉ ÓÊÖãä Ãä ÇáÕŞá ÇáÊÇáí áÇ íÓÊåáß Ãí ãæÇÏ.	SNA
TOOLTIP_AFFECT_RESEARCHER_ELIXIR	ÅßÓíÑ ÇáÚÇáã	SNA
TOOLTIP_AFFECT_RHP_REGEN	áÇ íãßä ÇáÊÚÇİí	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_01	ÚáÇæÉ ãÎÒä\n +3 % ÎÈÑÉ EXP	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_02	ÚáÇæÉ ãÎÒä\n+20 ÏİÇÚ	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_03	ÚáÇæÉ ãÎÒä\n+1% äŞØÉ ÇáÍíÇÉ	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_04	ÚáÇæÉ ãÎÒä\n+3% ŞæÉ ÖÏ ÇáæÍæÔ	SNA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_A	ÓÊÍÕá Úáì ÕäÏæŞ ßäÒ ÅÖÇİí ÅĞÇ ÃßãáÊ ÈäÌÇÍ ãÚÈÏ ÇáÃİÇÚí Ãæ ÃÚãÇŞ ÇáÑíÇÍ ÇáÔãÇáíÉ.	SNA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_B	ÓÊÍÕá Úáì ÕäÏæŞ ßäÒ ÅÖÇİí ÅĞÇ åÒãÊ ÌÇÊæä ÊíÑã Ãæ ÃßãáÊ ãÚÈÏ ÒæÏíÇß ÈäÌÇÍ.	SNA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_C	ÓÊÍÕá Úáì ÕäÏæŞ ßäÒ ÅÖÇİí ÚäÏãÇ ÊåÒã İÑÚÇÆíá Ãæ ÈíÑÇä-ÓíÊÇæ.	SNA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_POINT_A	ãßÇİÃÉ ÇáÊŞÏã ãÚÈÏ ÇáÃáÛÇÒ ÚáÇæÉ Ã: %d	SA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_POINT_B	ãßÇİÃÉ ÇáÊŞÏã ãÚÈÏ ÇáÃáÛÇÒ ÚáÇæÉ È: %d	SA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_POINT_C	ãßÇİÃÉ ÇáÊŞÏã ãÚÈÏ ÇáÃáÛÇÒ ÚáÇæÉ Ì: %d	SA
TOOLTIP_AFFECT_SET_ITEM_1	ÚáÇæÉ ØŞã ãŞÏÓÉ	SNA
TOOLTIP_AFFECT_SET_ITEM_2	ÚáÇæÉ ØŞã ãåíÈÉ	SNA
TOOLTIP_AFFECT_SET_ITEM_3	ÚáÇæÉ ØŞã İÇÑÓíÉ	SNA
TOOLTIP_AFFECT_SET_ITEM_4	ÚáÇæÉ ØŞã ãáßíÉ	SNA
TOOLTIP_AFFECT_SET_ITEM_5	ØŞã ÇáÚáÇæÉ ÚÙíãÉ	SNA
TOOLTIP_AFFECT_SHACKLE	ÇáŞíæÏ
TOOLTIP_AFFECT_SKILL_ATTACK_DAMAGE_BUFF	%0.1f × ÖÑÑ ÇáãåÇÑÉ
TOOLTIP_AFFECT_SKILL_ATTACK_FORCE_TYPE	ÕÏì ÇáãåÇÑÉ
TOOLTIP_AFFECT_SNOWFLAKE_STICK_EVENT_RANK_BUFF	ÓÍÑ ÇáÔÊÇÁ	SNA
TOOLTIP_AFFECT_SNOWFLAKE_STICK_EVENT_RANK_BUFF_ACQUIRED	: ÍÕáÊ Úáì\n
TOOLTIP_AFFECT_SNOWFLAKE_STICK_EVENT_RANK_BUFF_NOT_ACQUIRED	: áã ÊÍÕá Úáì\n
TOOLTIP_AFFECT_SNOWFLAKE_STICK_EVENT_SNOWFLAKE_BUFF_1	ÓÍÑ äÏİÉ ÇáËáÌ	SNA
TOOLTIP_AFFECT_SNOWFLAKE_STICK_EVENT_SNOWFLAKE_BUFF_2	íãßäß ÇáÍÕæá Úáì ßÑÇÊ ÇáËáÌ æÃÛÕÇä ÇáËáÌ ãä ÇáæÍæÔ ÇáãåÒæãÉ.
TOOLTIP_AFFECT_SUNGMAHEE_TOWER_CURSE	áÚäÉ ÓæäÛ ãÇåí (%d-ãÑÇÊ ãÌãÚÉ). ÓÊäÎİÖ äŞÇØ ÍíÇÊß ÈãŞÏÇÑ 10 %% áßá ãÌãæÚÉ æßá 10 ËÇäíÉ. íãßä ÊßÏíÓåÇ ÍÊì 10 ãÑÇÊ.	SA
TOOLTIP_AFFECT_SUNGMA_ALL	íÒíÏ ßá Şíã ÓæäÛ ãÇåí ÈäÓÈÉ 10 %.	SNA
TOOLTIP_AFFECT_SUNGMA_DESC	ÅÑÇÏÉ ÓæäÛ ãÇåí ÊãáÃ ÇáãßÇä.
TOOLTIP_AFFECT_SUNGMA_HP	ÅÑÇÏÉ ÓæäÛ ãÇåí - ÍíæíÉ: %d
TOOLTIP_AFFECT_SUNGMA_HP_BUFF	íÒíÏ ÅÑÇÏÉ ÓæäÛ ãÇåí (ÍíæíÉ) ÈãŞÏÇÑ +%d.	SA
TOOLTIP_AFFECT_SUNGMA_IMMUNE	ÅÑÇÏÉ ÓæäÛ ãÇåí - ĞßÇÁ: %d
TOOLTIP_AFFECT_SUNGMA_IMMUNE_BUFF	íÒíÏ ÅÑÇÏÉ ÓæäÛ ãÇåí (ĞßÇÁ) ÈãŞÏÇÑ +%d.	SA
TOOLTIP_AFFECT_SUNGMA_MOVE	ÅÑÇÏÉ ÓæäÛ ãÇåí - ãŞÇæãÉ: %d
TOOLTIP_AFFECT_SUNGMA_MOVE_BUFF	íÒíÏ ÅÑÇÏÉ ÓæäÛ ãÇåí (ãŞÇæãÉ) ÈãŞÏÇÑ +%d.	SA
TOOLTIP_AFFECT_SUNGMA_MOVE_DEBUFF	-20 ÅÑÇÏÉ ÓæäÛ ãÇåí (ãŞÇæãÉ)	SNA
TOOLTIP_AFFECT_SUNGMA_STR	ÅÑÇÏÉ ÓæäÛ ãÇåí - ŞæÉ: %d
TOOLTIP_AFFECT_SUNGMA_STR_BUFF	íÒíÏ ÅÑÇÏÉ ÓæäÛ ãÇåí (ŞæÉ) ÈãŞÏÇÑ +%d.	SA
TOOLTIP_AFFECT_SUNGMA_STR_DEBUFF	-20 ÅÑÇÏÉ ÓæäÛ ãÇåí (ŞæÉ)	SNA
TOOLTIP_AFFECT_WHITE_DRAGON_BLESS	ÇáÔÍäÇÊ ÇáãÊÈŞíÉ áÒíÇÏÉ ÇáÖÑÑ ÈäÓÈÉ 10%%: %d
TOOLTIP_AFFECT_WORLD_BOSS_DAILY_REWARD	ÚáÇæÉ ãåãÉ ÇÍÊİÇáíÉ ÒÚíã ÇáÚÇáã ÇáíæãíÉ\n ŞíãÉ ÇáåÌæã +%d%%	SA
TOOLTIP_AFFECT_WORLD_BOSS_REWARD	ÚáÇæÉ ÊÑÊíÈ ÇÍÊİÇáíÉ ÒÚíã ÇáÚÇáã\n ÅÓŞÇØ ÇáÈäæÏ +%d	SA
TOOLTIP_ALIGNMENT_DAMAGE_BONUS	Êã ÒíÇÏÉ ÇáÖÑÑ ÇáãÓÈÈ ÚäÏ æÌæÏ äŞÇØ ÊÕäíİ ãäÎİÖÉ.	SNA
TOOLTIP_ANTI_CRITICAL_PCT	ãŞÇæãÉ ÖÏ ÇáÖÑÈÇÊ ÇáÍÑÌÉ +%d%%	SA
TOOLTIP_ANTI_PENETRATE_PCT	ãŞÇæãÉ ÖÏ ÇáÖÑÈÇÊ ÇáÎÇÑŞÉ +%d%%	SA
TOOLTIP_ANTI_SELL	áÇ íãßäß ÈíÚå İí ÇáãÊÌÑ.
TOOLTIP_APPLY_ACCEDRAIN_RATE	ŞíãÉ ÇáÇÓÊíÚÇÈ: %d%%	SA
TOOLTIP_APPLY_ATTBONUS_ANIMAL	Şæí ÖÏ ÇáÍíæÇäÇÊ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ASSASSIN	Şæí ÖÏ ÇáäíäÌÇ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_BELL	ßÓÑ ÇáÏİÇÚ ÇáÌÑÓí +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_BOW	ßÓÑ ãŞÇæãÉ ÇáÓåã +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_CLAW	ßÓÑ ÇáÏİÇÚ ÇáãÎáÈí +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_CZ	Şæí ÖÏ æÍæÔ ÒæÏíÇß +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DAGGER	ßÓÑ ÇáÏİÇÚ ÇáÎäÌÑí +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DESERT	Şæí ÖÏ æÍæÔ ÇáÕÍÑÇÁ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DEVIL	Şæí ÖÏ ÇáÔíØÇä +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DRAGON	Şæí ÖÏ ÇáÊäíä +%d %%	SA
TOOLTIP_APPLY_ATTBONUS_FAN	ßÓÑ ÇáÏİÇÚ ÇáãÑæÍí +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_HUMAN	Şæí ÖÏ äÕİ ÈÔÑ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_INSECT	Şæí ÖÏ ÇáÍÔÑÇÊ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MILGYO	Şæí ÖÏ ÇáØÇÆİÉ ÇáÓÑíÉ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MONSTER	Şæí ÖÏ ÇáæÍæÔ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MOON	Şæí ÖÏ æÍæÔ Ùá ÇáŞãÑ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MYSTERY_DUNGEON	Şæí ÖÏ ÇáÃáÛÇÒ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ORC	Şæí ÖÏ ÇáÛíáÇä +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SHAMAN	Şæí ÖÏ ÔÇãÇä +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SURA	Şæí ÖÏ ÓæÑÇ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SWORD	ßÓÑ ÇáÏİÇÚ ÇáÓíİí +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_TWOHAND	ßÓÑ ÏİÇÚ Óíİ ÇáíÏíä +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_UNDEAD	Şæí ÖÏ ÇáÒæãÈí +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WARRIOR	Şæí ÖÏ ÇáãÍÇÑÈ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WOLFMAN	Şæí ÖÏ ÇááøíßÇäÑ + %d%%	SA
TOOLTIP_APPLY_BLEEDING_PCT	åÌæã ãõäÒİ + %d%%	SA
TOOLTIP_APPLY_BLEEDING_REDUCE	ãŞÇæãÉ ÖÏ ÇáåÌæã ÇáãõäÒİ + %d%%	SA
TOOLTIP_APPLY_BLOCK	İÑÕÉ ÕóÏ ÇáåÌæã Úä ŞÑÈ %d%%	SA
TOOLTIP_APPLY_BLOCK_PENETRATE_PCT	+%d %% ÇÎÊÑÇŞ ÇáÏİÇÚ	SA
TOOLTIP_APPLY_BONUS_BLOCK_PENETRATE_PCT	ÇÎÊÑÇŞ ÇáÏİÇÚ (+%d%% ÇáŞíãÉ ÇáÅÌãÇáíÉ)	SA
TOOLTIP_APPLY_BONUS_HIT_PCT	+%d%% ÇáÏŞÉ	SA
TOOLTIP_APPLY_COMBAT_SP_RECOVER	ÇÓÊÚÇÏÉ äŞÇØ ÇáÇÓáæÈ İí ÇáŞÊÇá ßá 5 ËæÇäí %d	SA
TOOLTIP_APPLY_CONFUSION_TO_MOB	İÑÕÉ ÇáÅÑÊÈÇß %0.1f%%	SA
TOOLTIP_APPLY_CRITICAL_PCT	İÑÕ ÇáÅÕÇÈÉ ÈÖÑÈÉ ÍÑÌÉ +%d%%	SA
TOOLTIP_APPLY_DAMAGE_SP_RECOVER	%d%% İÑÕ ÇÓÊÚÇÏÉ äŞÇØ ÇáÃÓáæÈ ÚäÏ ÇáÅÕÇÈÉ	SA
TOOLTIP_APPLY_DODGE	%d%% İÑÕ ÊİÇÏí ÇáåÌæã ÈÇáÓåÇã	SA
TOOLTIP_APPLY_ENCHANT_DARK	ŞæÉ ÇáÙáÇã +%d%%	SA
TOOLTIP_APPLY_ENCHANT_DARK2	ŞæÉ ÇáÙáÇã +%d%% ~ +%d%%
TOOLTIP_APPLY_ENCHANT_EARTH	ŞæÉ ÇáÃÑÖ +%d%%	SA
TOOLTIP_APPLY_ENCHANT_EARTH2	ŞæÉ ÇáÃÑÖ +%d%% ~ +%d%%
TOOLTIP_APPLY_ENCHANT_ELECT	ŞæÉ ÇáÈÑŞ +%d%%	SA
TOOLTIP_APPLY_ENCHANT_ELECT2	ŞæÉ ÇáÈÑŞ +%d%% ~ +%d%%
TOOLTIP_APPLY_ENCHANT_FIRE	ŞæÉ ÇáäÇÑ +%d%%	SA
TOOLTIP_APPLY_ENCHANT_FIRE2	ŞæÉ ÇáäÇÑ +%d%% ~ +%d%%
