ACCE_ABSORB_COST	Êüóôïò óõíäõáóìïı: %d
SPORTS_MATCH_EVENT_TIME_END	Äåí ìğïñåß íá ÷ñçóéìïğïéçèåß, åÜí ôï event İ÷åé ïëïêëçñùèåß.
SPORTS_MATCH_EVENT_WORLDCUP_CHAT_TYPE_APPOINT_ITEM_NOT_ENOUGH	×ñåéÜæåóáé İíá ÅéóéôŞñéï ×ùñşí.
SPORTS_MATCH_EVENT_WORLDCUP_CHAT_TYPE_CHEER_ITEM_NOT_ENOUGH	×ñåéÜæåóáé İíá ÅéóéôŞñéï Ğáíçãõñéóìïı.
SPORTS_MATCH_EVENT_WORLDCUP_CHAT_TYPE_CHEER_MAX	Äåí ìğïñåßò íá ğáíçãõñßóåéò Üëëï.
SPORTS_MATCH_EVENT_WORLDCUP_CHAT_TYPE_COOLTIME_NOT_END_MSG	Ğáñáêáëïıìå, äïêßìáóå îáíÜ áñãüôåñá.
SPORTS_MATCH_EVENT_WORLDCUP_CHAT_TYPE_INVENTORY_FULL_MSG	Äåí õğÜñ÷åé áñêåôüò ÷şñïò óôïí êáôÜëïãü óïõ.
SPORTS_MATCH_EVENT_WORLDCUP_CHAT_TYPE_MIN_LEVEL_MSG	Ìüíï ÷áñáêôŞñåò áğü ôï åğßğåäï 60 êáé ğÜíù ìğïñïıí íá ëÜâïõí ìİñïò.
SPORTS_MATCH_EVENT_WORLDCUP_CHAT_TYPE_RESULT_ITEM_FLAG_MAX	Äåí ìğïñåßò íá ëÜâåéò ğåñéóóüôåñá áíôéêåßìåíá event.
SPORTS_MATCH_EVENT_WORLDCUP_CHAT_TYPE_TICKET_ITEM_ADD	Áğüêôçóç Áíôéêåéìİíïõ: %dx ÅéóéôŞñéá Ğïäïóöáßñïõ
SPORTS_MATCH_EVENT_WORLDCUP_CHAT_TYPE_TICKET_ITEM_LACK	×ñåéÜæåóáé áêüìç %d ÅéóéôŞñéá Ğïäïóöáßñïõ.
SPORTS_MATCH_EVENT_WORLDCUP_CHAT_TYPE_TICKET_PIECE_ITEM_ADD	Áğüêôçóç Áíôéêåéìİíïõ: ÊïììáôÜêé Åéóéôçñßùí
SPORTS_MATCH_EXCHANGE_END_TIME	Õğïëåéğüìåíïò ÷ñüíïò ìİ÷ñé ôçí áíôáëëáãŞ: %s
SPORTS_MATCH_ITEM_FLAG_TICKET_DESC	Áõôü ìğïñåßò íá ôï áíôáëëÜîåéò ìå áíôáìïéâİò êáé áíôéêåßìåíá event.
SPORTS_MATCH_ITEM_FLAG_TICKET_NAME	ÅéóéôŞñéï Ğïäïóöáßñïõ
SPORTS_MATCH_ITEM_FLAG_TICKET_PIECE_NAME	ÊïììáôÜêé Åéóéôçñßùí
SPORTS_MATCH_PREDICT_ENABLE_REWARD	Ìğïñåßò íá ëÜâåéò áíôáìïéâİò áğü ôï Event Ğáíçãõñéóìïı. ¢íïéîå ôï ğáñÜèõñï ôïõ Event Ğáíçãõñéóìïı.
SPORTS_MATCH_PREDICT_EVENT_OFF	Ôï Event Ğáíçãõñéóìïı İ÷åé ïëïêëçñùèåß.
SPORTS_MATCH_PREDICT_GET_REWARD	Áğİêôçóåò áíôáìïéâŞ: Áèëçôéêüò óÜêïò Gaya Ç ğïóüôçôá ôùí Gaya ğïõ áğïêôÜò åîáñôÜôáé áğü ôï ğüóï İ÷åéò ğáíçãõñßóåé ãéá ôçí ïìÜäá.
SPORTS_MATCH_TICKET_COUNT_NOT_ENOUGH	Äåí İ÷åéò áñêåôÜ ÅéóéôŞñéá Ğïäïóöáßñïõ.
SPORTS_MATCH_UI_ITEM_EXCHANGE_BUTTON	ÁíôáëëáãŞ
SPORTS_MATCH_UI_ITEM_FLAG_COUNT	Ğïóüôçôá ğïõ äéáèİôåéò
SPORTS_MATCH_UI_ITEM_FLAG_EXCHANGE_LIST	Ëßóôá áíôáëëáãŞò
SPORTS_MATCH_UI_ITEM_USE_BUTTON	Åîáñãıñùóç
SPORTS_MATCH_UI_MATCH_PREDICT_BUTTON	ĞÁÍÇÃÕÑÉÓÌÏÓ
SPORTS_MATCH_WORLDCUP_EVENT_OFF	Ôï Event ĞñùôáèëŞìáôïò İ÷åé ïëïêëçñùèåß.
SPORTS_MATCH_WORLDCUP_EVENT_ON	Ôï Event ĞñùôáèëŞìáôïò İ÷åé îåêéíŞóåé.
SPORTS_MATCH_WORLDCUP_EVENT_UI_TITLE	Event ĞñùôáèëŞìáôïò
STAT_MINUS_CON	ĞñïóáñìïãŞ Æùôéêüôçôáò (Ğéèáíüôçôá: %d)
STAT_MINUS_DEX	ĞñïóáñìïãŞ Åõêéíçóßáò (áğïìİíåé ğéèáíüôçôá: %d)
STAT_MINUS_INT	Ñıèìéóç ÅõöõÀáò (Ğéèáíüôçôá: %d)
STAT_MINUS_STR	ĞñïóáñìïãŞ Äıíáìçò (Ğéèáíüôçôá: %d)
STAT_TOOLTIP_ACTION	Åíİñãåéåò
STAT_TOOLTIP_ATT	Áîßá åğßèåóçò
STAT_TOOLTIP_ATT_SPEED	Ôá÷ıôçôá åğßèåóçò
STAT_TOOLTIP_BASE_LEVEL	Åğßğåäï
STAT_TOOLTIP_CAST_SPEED	Ôá÷ıôçôá ìáãåßáò
STAT_TOOLTIP_CON	Áıîçóç HP êáé Üìõíáò
STAT_TOOLTIP_CONQUEROR_LEVEL	Åğßğåäï ğñùôáèëçôŞ
STAT_TOOLTIP_DEF	¢ìõíá
STAT_TOOLTIP_DEX	ÁõîÜíåé åğßèåóç êáé áğïöõãŞ
STAT_TOOLTIP_DODGE_PER	Ğéèáíüôçôá íá áğïöıãåéò âİëç
STAT_TOOLTIP_EXP	ÅÌĞ
STAT_TOOLTIP_HP	HP
STAT_TOOLTIP_IMG_CON	VIT: Áıîçóç HP êáé Üìõíáò
STAT_TOOLTIP_IMG_DEX	DEX: ÁõîÜíåé åğßèåóç êáé áğïöõãŞ
STAT_TOOLTIP_IMG_INT	INT: Áıîçóç SP, ìáãéêŞò åğßèåóçò êé Üìõíáò
STAT_TOOLTIP_IMG_STR	STR: ÁõîÜíåé áîßá åğßèåóçò êáé æçìéÜ
STAT_TOOLTIP_INT	Áıîçóç SP, ÌáãéêŞò Åğßèåóçò êáé ¢ìõíáò
STAT_TOOLTIP_LEVEL	Åğßğåäï
STAT_TOOLTIP_MAG_ATT	Åğßèåóç ìáãåßáò
STAT_TOOLTIP_MAG_DEF	ÌáãéêŞ Üìõíá
STAT_TOOLTIP_MOVE_SPEED	Ôá÷ıôçôá êßíçóçò
STAT_TOOLTIP_PASSIVE	Ìğüíïõò êåéìçëßùí
STAT_TOOLTIP_POINT	Ğüíôïé
STAT_TOOLTIP_REACTION	ÁíôéäñÜóåéò
STAT_TOOLTIP_SHP	Óôç Yohara áöáéñïıíôáé ëéãüôåñïé áğü ôïõò ìİãéóôïõò HP óïõ.
STAT_TOOLTIP_SIMMUNE	Óôç Yohara áöáéñåßôáé ëéãüôåñç áíôßóôáóç åíÜíôéá óå áëëáãİò êáôÜóôáóçò.
STAT_TOOLTIP_SMOVE	Óôç Yohara áöáéñåßôáé ëéãüôåñç ôá÷ıôçôá êßíçóçò.
STAT_TOOLTIP_SP	SP
STAT_TOOLTIP_SPECIAL_ACTION	Åéäéêİò åíİñãåéåò
STAT_TOOLTIP_SSTR	Óôç Yohara áöáéñåßôáé ëéãüôåñç æçìéÜ áğü ôéò åğéèİóåéò óïõ.
STAT_TOOLTIP_STAT	Áîßåò
STAT_TOOLTIP_STR	ÁõîÜíåé áîßá åğßèåóçò êáé æçìéÜ
STAT_TOOLTIP_SUNGMA_HP	ÁëëÜæåé ôïõò HP áíÜëïãá ìå ôç Èİëçóç SungMa (VIT) ôïõ áíôéğÜëïõ êáé ôïí ÷Üñôç.
STAT_TOOLTIP_SUNGMA_IMMUNE	ÁëëÜæåé ôçí åõáéóèçóßá óå åğéäñÜóåéò êáôÜóôáóçò áíÜëïãá ìå ôç Èİëçóç SungMa (INT) ôïõ áíôéğÜëïõ êáé ôïí ÷Üñôç.
STAT_TOOLTIP_SUNGMA_MOVE	ÁëëÜæåé ôïõò Ôá÷ıôçôá êßíçóçò áíÜëïãá ìå ôç Èİëçóç SungMa (RES) ôïõ áíôéğÜëïõ êáé ôïí ÷Üñôç.
STAT_TOOLTIP_SUNGMA_STR	ÁëëÜæåé ôçí åğßèåóç áíÜëïãá ìå ôç Èİëçóç SungMa (STR) ôïõ áíôéğÜëïõ êáé ôïí ÷Üñôç.
STAT_TOOLTIP_SUPPORT_SKILL	Äåõôåñåıïõóåò éêáíüôçôåò
STAT_TOOLTIP_TAB_CHARACTER	×áñáêôŞñáò
STAT_TOOLTIP_TAB_EMOTICON	ÓõíáéóèŞìáôá
STAT_TOOLTIP_TAB_QUEST	Áğïóôïëİò
STAT_TOOLTIP_TAB_SKILL	Éêáíüôçôåò
SUNGMAHEE_GATE_ACHIEV_TOOLTIP_ACHIEV_0	Ìğïñåßò íá áğïêôŞóåéò áõôü ôï Ôñüğáéï óôçí Ğıëç ÅéóâïëŞò SungMa óôçí Ğåñéï÷Ş Yongan.
SUNGMAHEE_GATE_ACHIEV_TOOLTIP_ACHIEV_1	Ìğïñåßò íá áğïêôŞóåéò áõôü ôï Ôñüğáéï óôçí Ğıëç ÅéóâïëŞò SungMa óôçí Ğåñéï÷Ş Joan.
SUNGMAHEE_GATE_ACHIEV_TOOLTIP_ACHIEV_2	Ìğïñåßò íá áğïêôŞóåéò áõôü ôï Ôñüğáéï óôçí Ğıëç ÅéóâïëŞò SungMa óôçí Ğåñéï÷Ş Pyungmoo.
SUNGMAHEE_GATE_ACHIEV_TOOLTIP_ACHIEV_3	Ìğïñåßò íá áğïêôŞóåéò áõôü ôï Ôñüğáéï óôçí Ğıëç ÅéóâïëŞò SungMa óôçí ÊïéëÜäá ôïõ Seungryong.
SUNGMAHEE_GATE_ACHIEV_TOOLTIP_ACHIEV_4	Ìğïñåßò íá áğïêôŞóåéò áõôü ôï Ôñüğáéï óôçí Ğıëç ÅéóâïëŞò SungMa óôçí ¸ñçìï Yongbi.
SUNGMAHEE_GATE_ACHIEV_TOOLTIP_ACHIEV_5	Ìğïñåßò íá áğïêôŞóåéò áõôü ôï Ôñüğáéï óôçí Ğıëç ÅéóâïëŞò SungMa óôï Doyyumhwan (Ãç ôïõ Ğõñüò).
SUNGMAHEE_GATE_ACHIEV_TOOLTIP_ACHIEV_6	Ìğïñåßò íá áğïêôŞóåéò áõôü ôï Ôñüğáéï óôçí Ğıëç ÅéóâïëŞò SungMa óôï ¼ñïò Sohan.
SUNGMAHEE_GATE_ACHIEV_TOOLTIP_ACHIEV_7	Ìğïñåßò íá áğïêôŞóåéò áõôü ôï Ôñüğáéï óôçí Ğıëç ÅéóâïëŞò SungMa óôçí Êáôáêüìâç ôïõ Äéáâüëïõ.
SUNGMAHEE_GATE_ACHIEV_TOOLTIP_ACHIEV_8	Ìğïñåßò íá áğïêôŞóåéò áõôü ôï Ôñüğáéï óôçí Ğıëç ÅéóâïëŞò SungMa óôï Ìáãåìİíï ÄÜóïò.
SUNGMAHEE_GATE_ACHIEV_TOOLTIP_PROBABILITY	Ğéèáíüôçôá: %d%%
SUNGMAHEE_GATE_ALREADY_OPEN	[Ğıëç ÅéóâïëŞò SungMa] Ìéá Ğıëç ÅéóâïëŞò SungMa Üíïéîå. ÂéÜóïõ íá ìğåéò! (Áíïé÷ôŞ áêüìç %s)
SUNGMAHEE_GATE_ALREADY_OPEN_1M	[Ğıëç ÅéóâïëŞò SungMa] Ìéá Ğıëç ÅéóâïëŞò SungMa Üíïéîå. ÂéÜóïõ íá ôçí êáôáóôñİøåéò! (ÁíïéêôŞ ãéá ëéãüôåñï áğü 1 ëåğôü)
SUNGMAHEE_GATE_ENTER_COUNT_INFO	Åâäïìáäéáßåò åßóïäïé: %d/%d
SUNGMAHEE_GATE_MAP_ELEMENT_DARK	ÓêïôÜäé
SUNGMAHEE_GATE_MAP_ELEMENT_EARTH	Ãç
SUNGMAHEE_GATE_MAP_ELEMENT_ELECT	ÁóôñáğŞ
SUNGMAHEE_GATE_MAP_ELEMENT_FIRE	ÖùôéÜ
SUNGMAHEE_GATE_MAP_ELEMENT_ICE	ĞÜãïò
SUNGMAHEE_GATE_MAP_ELEMENT_NONE	Êáíİíá Óôïé÷åßï
SUNGMAHEE_GATE_MAP_ELEMENT_WIND	¢íåìïò
SUNGMAHEE_GATE_MESSAGE_CANNOT_OPEN_ACHIEV_CONQUEROR_LEVEL	Ğñİğåé íá İ÷åéò öôÜóåé óôï Åğßğåäï ğñùôáèëçôŞ ãéá íá ôï áíïßîåéò áõôü.
SUNGMAHEE_GATE_MESSAGE_CANNOT_OPEN_ACHIEV_IN_BATTLE_ROYALE	Äåí åğéôñİğåôáé íá ôï áíïßîåéò óå áõôŞí ôçí ğåñéï÷Ş.
SUNGMAHEE_GATE_MESSAGE_DUNGEON_ELEMENT_INFO	ÁõôŞ ç ğåñéï÷Ş åğçñåÜæåôáé áğü ôï óôïé÷åßï: %s
SUNGMAHEE_GATE_MESSAGE_NOTICE_BEFORE_OPEN_1	Óıíôïìá èá áíïßîåé ìéá Ğıëç ÅéóâïëŞò SungMa óôçí ĞåäéÜäá Dongan.
SUNGMAHEE_GATE_MESSAGE_NOTICE_BEFORE_OPEN_2	Ìğïñåßò íá áíïßîåéò ôïí ÌåãÜëï ×Üñôç, ãéá íá äåéò ôéò äéáèİóéìåò ôïğïèåóßåò ãéá êÜèå âáóßëåéï.
SUNGMAHEE_GATE_MESSAGE_NOTICE_DUNGEON_END_TIME	Ï ÷ñüíïò İëçîå êáé èá ôçëåìåôáöåñèåßò İîù.
SUNGMAHEE_GATE_MESSAGE_NOTICE_DUNGEON_REMAIN_TIME	Áğïìİíïõí %d ëåğôÜ, ìİ÷ñé íá êëåßóåé ç Ğıëç ÅéóâïëŞò SungMa.
SUNGMAHEE_GATE_MESSAGE_NOTICE_END	¸êëåéóáí üëåò ïé Ğıëåò ÅéóâïëŞò SungMa.
SUNGMAHEE_GATE_MESSAGE_NOTICE_ENTRY_CLOSE	¸êëåéóå ç Ğıëç ÅéóâïëŞò SungMa.
SUNGMAHEE_GATE_MESSAGE_NOTICE_ENTRY_OPEN	¢íïéîå ìéá Ğıëç ÅéóâïëŞò SungMa êáé ìğïñåßò íá ìğåéò. Èá ìåßíåé áíïé÷ôü ùò ôéò %d:%d.
SUNGMAHEE_GATE_MESSAGE_REGION_ACHIEVED_SUCCESS	Áğİêôçóåò ôï Ôñüğáéï ãéá %s!
SUNGMAHEE_GATE_REMAIN_TIME_TO_OPEN	[Ğıëç ÅéóâïëŞò SungMa] Ìéá Ğıëç ÅéóâïëŞò SungMa èá áíïßîåé \nóå %s ëåğôÜ.
SUNGMAHEE_GATE_REMAIN_TIME_TO_OPEN_1M	[Ğıëç ÅéóâïëŞò SungMa] Ìéá Ğıëç ÅéóâïëŞò SungMa èá áíïßîåé \nóå ëéãüôåñï áğü 1 ëåğôü.
SUNGMAHEE_TOWER_ENTER_FAIL_FLOOR	Ğñİğåé ğñşôá íá ïëïêëçñşóåéò ôï åğßğåäï áğü êÜôù.
SUNGMAHEE_TOWER_ENTER_RESULT_FAIL_MOUNT	Äåí ìğïñåßò íá ìğåéò üóï éğğåıåéò.
SUNGMAHEE_TOWER_ENTER_RESULT_FAIL_NOT_ENOUGH_CONQUEROR_LEVEL	Ğñİğåé íá İ÷åéò öôÜóåé óå İíá Åğßğåäï ğñùôáèëçôŞ ãéá íá ìğåéò.
SUNGMAHEE_TOWER_ENTER_RESULT_FAIL_NOT_ENOUGH_ITEM	×ñåéÜæåóáé İíá ËÜâáñï Êñáíßïõ ãéá íá ìğåéò.
SUNGMAHEE_TOWER_ENTER_RESULT_FAIL_PARTY	Äåí ìğïñåßò íá ìğåéò óôïí Ğıñãï Êüëáóçò Sung Mahi ìå ïìÜäá.
SUNGMAHEE_TOWER_ENTER_RESULT_FAIL_POLYMORPH	Äåí ìğïñåßò íá ìğåéò üóï åßóáé ìåôáìïñöùìİíïò.
SUNGMAHEE_TOWER_FLOOR_TEXT	Åğßğåäï {0}
SUNGMAHEE_TOWER_MY_RANK_TEXT	ÊáôÜôáîç {0}
SYMBOLLIST_TITLE	Êáôá÷şñéóç óçìáßáò Óõíôå÷íßáò
TARGET_BUTTON_ACCEPT_FIGHT	Óõìöùíßá
TARGET_BUTTON_AVENGE	Åêäßêçóç
TARGET_BUTTON_BLOCK	Áğïêëåéóìüò
TARGET_BUTTON_BLOCK_REMOVE	¢ñóç áğïêëåéóìïı
TARGET_BUTTON_BUILDING_DESTROY	ÊáôáóôñïöŞ
TARGET_BUTTON_DISMOUNT	Áößğğåõóç
TARGET_BUTTON_EMOTION_ALLOW	ÓõíáéóèŞìáôá
TARGET_BUTTON_EXCHANGE	ÁíôáëëáãŞ
TARGET_BUTTON_EXCLUDE	Áğïêëåéóìüò
TARGET_BUTTON_EXIT_OBSERVER	Ôİëïò Observer Mode
TARGET_BUTTON_FIGHT	Ìïíïìá÷ßá
TARGET_BUTTON_FRIEND	Ößëïò
TARGET_BUTTON_INVITE_GUILD	Ğñüóêëçóç Óõíôå÷íßáò
TARGET_BUTTON_INVITE_PARTY	Ğñüóêëçóç ÏìÜäáò
TARGET_BUTTON_LEAVE_PARTY	ÅãêáôÜëåéøç ÏìÜäáò
TARGET_BUTTON_REQUEST_ENTER_PARTY	Ìğåò óôçí ÏìÜäá
TARGET_BUTTON_REVIVE	ÁíÜíçøç
TARGET_BUTTON_VIEW_EQUIPMENT	Ğáíïğëßá
TARGET_BUTTON_WHISPER	Øßèõñïò
TARGET_LEVEL_BOSS	Áñ÷çãüò
TARGET_LEVEL_KING	Åğßğåäï 5.
TARGET_LEVEL_KNIGHT	Åğßğåäï 3.
TARGET_LEVEL_PAWN	Åğßğåäï 1.
TARGET_LEVEL_S_KNIGHT	Åğßğåäï 4.
TARGET_LEVEL_S_PAWN	Åğßğåäï 2.
TARGET_TOOLTIP_ATTACK_COUNT	Óõíïëéêïß ğüíôïé: %d
TASKBAR_ATTACK	Åğßèåóç
TASKBAR_AUTO	Áõôüìáôç åğßèåóç
TASKBAR_CAMERA	ÊÜìåñá
TASKBAR_EXP	Åìğåéñßá
TASKBAR_HP	HP
TASKBAR_MOVE	Êßíçóç
TASKBAR_SKILL	Éêáíüôçôá
TASKBAR_SP	SP
TASKBAR_ST	ST
TENTH_COIN	ÅğåôåéáêÜ íïìßóìáôá
TENTH_EVENT_ASK_EXCHANGE	×ñåéÜæåóáé áêüìç %d Åğåôåéáêİò óçìáßåò Èİëåéò íá óõíå÷ßóåéò;
THING_COUNT	üëá
TIGER_COIN_ITEM_USE_QUESTION	ÁíôáëëÜóóåéò ôï êïõğüíé óïõ ìå Íïìßóìáôá Ôßãñçò. Èİëåéò íá óõíå÷ßóåéò;
TITLE_SYSTEM_MESSAGE_ALREADY_GET	¸÷åéò Şäç áõôüí ôïí Ôßôëï.
TITLE_SYSTEM_MESSAGE_CHECK_UI	Îåêëåéäşèçêå ôßôëïò: %s Äåò ôïí Ôßôëï óôï Ìåíïı Ôßôëùí.
TITLE_SYSTEM_MESSAGE_EQUIP_TITLE	Åîïğëßóôçêå ôï %s.
TITLE_SYSTEM_MESSAGE_GET_TITLE	Ğáñİëáâåò %s.
TITLE_SYSTEM_MESSAGE_ONE_HOUR_LEFT	Ï õğüëïéğç äéÜñêåéá ôïõ Ôßôëïõ «%s» åßíáé 1 şñá.
TITLE_SYSTEM_MESSAGE_TIME_END	%s: ¸ëçîå.
TITLE_SYSTEM_MESSAGE_TRY_LATER	Ğáñáêáëïıìå äïêßìáóå îáíÜ áñãüôåñá.
TITLE_SYSTEM_MESSAGE_UNEQUIP_TITLE	Áöáßñåóåò ôïí åîïğëéóìİíï Ôßôëï óïõ.
TITLE_SYSTEM_MESSAGE_WRONG_APPROACH	Áõôüò ï Ôßôëïò äåí åßíáé áêüìç äéáèİóéìïò Ş ç äéÜñêåéá İëçîå.
TITLE_SYSTEM_MESSAGE_WRONG_ITEM	Äåí ìğïñåßò íá áğïêôŞóåéò áõôüí ôïí Ôßôëï ìå áõôü ôï Ğéóôïğïéçôéêü. Ğáñáêáëïıìå äåò ôïí Ğßíáêá.
TITLE_SYSTEM_OPEN_TITLE_UI	¢íïéãìá Ìåíïı Ôßôëùí
TITLE_SYSTEM_TEXT_TITLE	Ôßôëïò
TITLE_SYSTEM_TOOLTIP_BACK_BUTTON	ĞñïâïëŞ Åîïğëéóìİíïõ ôßôëïõ
TITLE_SYSTEM_TOOLTIP_GET_CONDITION	Ğñïûğüèåóç: %s
TITLE_SYSTEM_TOOLTIP_ITEM_TIME_LEFT	Õğüëïéğïò ÷ñüíïò:
TITLE_SYSTEM_TOOLTIP_LEFT_TIME	Õğüëïéğïò ÷ñüíïò: %s
TITLE_SYSTEM_TOOLTIP_TITLE_INFINITE	Ìüíéìïò
TITLE_SYSTEM_TOOLTIP_TITLE_TIME_LEFT	ÄéÜñêåéá Ôßôëïõ:
TITLE_SYSTEM_TOOLTIP_USE_INFINITE	Ìğïñåß íá ÷ñçóéìïğïéçèåß ìüíéìá.
TITLE_SYSTEM_TOOLTIP_WARNING_TIME	Áõôü ôï áíôéêåßìåíï äåí ìğïñåß íá ÷ñçóéìïğïéçèåß ìåôÜ ôç ëŞîç ôçò äéÜñêåéÜò ôïõ.
TITLE_SYSTEM_USE_SCROLL_QUESTION	Èİëåéò íá åîáñãõñşóåéò ôï Ğéóôïğïéçôéêü;
TOOLTIP_AFFECT_AIR_BORNE	Óôïí áİñá	SNA
TOOLTIP_AFFECT_ATT_GRADE_DOWN	Ìåßùóç æçìéÜò	SNA
TOOLTIP_AFFECT_CANNOT_APPLY	Äåí ìğïñåßò íá ôï ÷ñçóéìïğïéŞóåéò áõôü óôï PvP Ş üôáí åßóáé ìåôáìïñöùìİíïò.
TOOLTIP_AFFECT_CHEONUN	Áóğßäá Áéèİñá	SNA
TOOLTIP_AFFECT_CONFUSION	Óõã÷õóìİíïò
TOOLTIP_AFFECT_CRITICAL_GRADE_DOWN	Ìåßùóç ğéèáíüôçôáò êñßóéìïõ ÷ôõğŞìáôïò	SNA
TOOLTIP_AFFECT_CURSE_OF_DARKNESS	ÊáôÜñá ÓåëçíïóêéÜò (%d öïñİò)	SA
TOOLTIP_AFFECT_CZ_UNLIMIT_ENTER	Óıìâïëï ôùí ÖõëÜêùí	SNA
TOOLTIP_AFFECT_DEFENSEWAVE_LASER	Ç Õäñïáêôßíá äåí ìğüñåóå íá äéáêïğåß.	SNA
TOOLTIP_AFFECT_DEF_GRADE_DOWN	Ìåßùóç Üìõíáò	SNA
TOOLTIP_AFFECT_ELECTRIC_SHOCK	ÁóôñáğŞ
TOOLTIP_AFFECT_ELEMENT_BUFF_CRACK	Ìğüíïõò Åßäïò æçìéÜò: %s\n\nÁí İ÷åéò åíåñãïğïéŞóåé ìéá åğßäñáóç Èıåëëáò Ş Áíèşí Åîïõóßáò, ìğïñåßò íá áíáóôçèåßò åğéôüğïõ.
TOOLTIP_AFFECT_ELEMENT_BUFF_CRACK_DARK	Äıíáìç óêüôïõò
TOOLTIP_AFFECT_ELEMENT_BUFF_CRACK_EARTH	Äıíáìç ãçò
TOOLTIP_AFFECT_ELEMENT_BUFF_CRACK_ELECT	Äıíáìç áóôñáğşí
TOOLTIP_AFFECT_ELEMENT_BUFF_CRACK_FIRE	Äıíáìç öùôéÜò
TOOLTIP_AFFECT_ELEMENT_BUFF_CRACK_ICE	Äıíáìç ğÜãïõ
TOOLTIP_AFFECT_ELEMENT_BUFF_CRACK_NONE	Êáìßá åğßäñáóç
TOOLTIP_AFFECT_ELEMENT_BUFF_CRACK_WIND	Äıíáìç áíİìïõ
TOOLTIP_AFFECT_FISHING_GOLD_TUNA	Ìğüíïõò ×ñõóïı Ôüííïõ	SNA
TOOLTIP_AFFECT_FISHING_MOVE_SPEED_DOWN	Âñåãìİíá ñïı÷á\nÔá÷ıôçôá êßíçóçò -50	SNA
TOOLTIP_AFFECT_FLAG_CANNOT_ATTACK	Ïé êáíïíéêİò åğéèİóåéò åßíáé êëåéäùìİíåò.
TOOLTIP_AFFECT_FLAG_CANNOT_USE_SKILL	Ïé éêáíüôçôåò åßíáé ğëİïí êëåéäùìİíåò.
TOOLTIP_AFFECT_FLOWER_OF_DESTRUCTION	Åğßäñáóç Áíèşí Åîïõóßáò
TOOLTIP_AFFECT_FLOWER_OF_DESTRUCTION_ANIMAL	Åğßäñáóç Áíèşí Åîïõóßáò: Äıíáìç åíÜíôéá óå Æşá +%d %%\n\nÌğïñåß íá áíáóôçèåß åğéôüğïõ.	SA
TOOLTIP_AFFECT_FLOWER_OF_DESTRUCTION_DARK	Åğßäñáóç Áíèşí Åîïõóßáò: Äıíáìç åíÜíôéá óå Óêüôïò +%d %%\n\nÌğïñåß íá áíáóôçèåß åğéôüğïõ.	SA
TOOLTIP_AFFECT_FLOWER_OF_DESTRUCTION_EARTH	Åğßäñáóç Áíèşí Åîïõóßáò: Äıíáìç åíÜíôéá óå Ãç +%d %%\n\nÌğïñåß íá áíáóôçèåß åğéôüğïõ.	SA
TOOLTIP_AFFECT_FLOWER_OF_DESTRUCTION_ELECT	Åğßäñáóç Áíèşí Åîïõóßáò: Äıíáìç åíÜíôéá óå Áóôñáğİò +%d %%\n\nÌğïñåß íá áíáóôçèåß åğéôüğïõ.	SA
TOOLTIP_AFFECT_FLOWER_OF_DESTRUCTION_FIRE	Åğßäñáóç Áíèşí Åîïõóßáò: Äıíáìç åíÜíôéá óå ÖùôéÜ +%d %%\n\nÌğïñåß íá áíáóôçèåß åğéôüğïõ.	SA
TOOLTIP_AFFECT_FLOWER_OF_DESTRUCTION_ICE	Åğßäñáóç Áíèşí Åîïõóßáò: Äıíáìç åíÜíôéá óå ĞÜãï +%d %%\n\nÌğïñåß íá áíáóôçèåß åğéôüğïõ.	SA
TOOLTIP_AFFECT_FLOWER_OF_DESTRUCTION_WIND	Åğßäñáóç Áíèşí Åîïõóßáò: Äıíáìç åíÜíôéá óå ¢íåìï +%d %%\n\nÌğïñåß íá áíáóôçèåß åğéôüğïõ.	SA
TOOLTIP_AFFECT_FLOWER_OF_GALE	Åğßäñáóç ¢íèïõò ÏñìŞò: Ôá÷ıôçôá êßíçóçò +%d\n\nÌğïñåß íá áíáóôçèåß åğéôüğïõ.	SA
TOOLTIP_AFFECT_FORCE_REMAIN_COUNT	Õğüëïéğåò öïñôşóåéò: %d
TOOLTIP_AFFECT_FREEZING	Ğáãùìİíï	SNA
TOOLTIP_AFFECT_GARRISON_BUFF	Áíïóßá óôçí åğéññïŞ ôïõ Sung Mahi	SNA
TOOLTIP_AFFECT_GARRISON_DEBUFF	ÅğéññïŞ ôïõ Sung Mahi	SNA
TOOLTIP_AFFECT_GREEDY_GATE_BUFF	Åíİñãåéá Ğıëçò	SNA
TOOLTIP_AFFECT_GUILD_SPECIAL_BUILDING_BUFF	Ìğüíïõò âùìşí	SNA
TOOLTIP_AFFECT_GUILD_WHITE_DRAGON_BREATH_DEBUFF	ÊÜôù áğü ôï èáíáôçöüñï âëİììá ôïõ Ìğáëáèüñ, ç ÅğáíáöïñÜ HP óïõ åßíáé ìåéùìİíç êáôÜ 50%.	SNA
TOOLTIP_AFFECT_GUILD_WHITE_DRAGON_ENHANCE_SCALES	Ï Ìğáëáèüñ ğñïóôÜôåøå ôá áâãÜ äñÜêïõ ìå ìéá ìáãéêŞ èùñÜêéóç áğü ëİğéá. Äåí ìğïñïıí íá êáôáóôñáöïıí. ÊáôÜóôñåøå ôá ëİğéá ìå ôç Hwacha!	SNA
