ACCE_ABSORB_COST	Koszty po³¹czenia: %d
STAT_TOOLTIP_HP	P¯
STAT_TOOLTIP_IMG_CON	WIT: podwy¿sza P¯ i obronê
STAT_TOOLTIP_IMG_DEX	ZRÊ: podwy¿sza atak i uniki
STAT_TOOLTIP_IMG_INT	INT: podwy¿sza PE, atak magiczny i obronê
STAT_TOOLTIP_IMG_STR	SI£A: podwy¿sza si³ê ataku i obra¿eñ
STAT_TOOLTIP_INT	Podwy¿sza PE, atak magiczny i obronê.
STAT_TOOLTIP_LEVEL	Poziom
STAT_TOOLTIP_MAG_ATT	Si³a magicznego ataku
STAT_TOOLTIP_MAG_DEF	Magiczna obrona
STAT_TOOLTIP_MOVE_SPEED	Szybkoœæ ruchu
STAT_TOOLTIP_PASSIVE	Bonus reliktu
STAT_TOOLTIP_POINT	Punkty
STAT_TOOLTIP_REACTION	Reakcje
STAT_TOOLTIP_SHP	Na Yohara otrzymujesz mniejszy minus od twoich maksymalnych P¯.
STAT_TOOLTIP_SIMMUNE	Na Yohara otrzymujesz mniejszy minus do twojej odpornoœci na zmiany statusu.
STAT_TOOLTIP_SMOVE	Na Yohara otrzymujesz mniejszy minus od twojej szybkoœci ruchu.
STAT_TOOLTIP_SP	PE
STAT_TOOLTIP_SPECIAL_ACTION	Specjalne akcje
STAT_TOOLTIP_SSTR	Na Yohara otrzymujesz mniejszy minus obra¿eñ od twoich ataków.
STAT_TOOLTIP_STAT	Wartoœci
STAT_TOOLTIP_STR	Podwy¿sza Wartoœæ Ataku i Uszkodzeñ
STAT_TOOLTIP_SUNGMA_HP	Zmienia P¯ zale¿nie od woli SungMa (WIT) oraz mapy
STAT_TOOLTIP_SUNGMA_IMMUNE	Zmienia podatnoœæ na efekty statusu zale¿nie od woli SungMa (INT) przeciwnika oraz mapy
STAT_TOOLTIP_SUNGMA_MOVE	Zmienia szybkoœæ ruchu zale¿nie od woli SungMa (ODP) przeciwnika oraz mapy
STAT_TOOLTIP_SUNGMA_STR	Zmienia atak zale¿nie od woli SungMa (SI£A) przeciwnika oraz mapy
STAT_TOOLTIP_SUPPORT_SKILL	Dodatkowe umiejêtnoœci
STAT_TOOLTIP_TAB_CHARACTER	Postaæ
STAT_TOOLTIP_TAB_EMOTICON	Emocje
STAT_TOOLTIP_TAB_QUEST	Misje
STAT_TOOLTIP_TAB_SKILL	Umiejêtnoœci
SUNGMAHEE_GATE_ACHIEV_TOOLTIP_ACHIEV_0	To trofeum mo¿na zdobyæ w Portalu Inwazji SungMa obszaru Yongan.
SUNGMAHEE_GATE_ACHIEV_TOOLTIP_ACHIEV_1	To trofeum mo¿na zdobyæ w Portalu Inwazji SungMa obszaru Joan.
SUNGMAHEE_GATE_ACHIEV_TOOLTIP_ACHIEV_2	To trofeum mo¿na zdobyæ w Portalu Inwazji SungMa obszaru Pyungmoo.
SUNGMAHEE_GATE_ACHIEV_TOOLTIP_ACHIEV_3	To trofeum mo¿na zdobyæ w Portalu Inwazji SungMa Doliny Seungryong.
SUNGMAHEE_GATE_ACHIEV_TOOLTIP_ACHIEV_4	To trofeum mo¿na zdobyæ w Portalu Inwazji SungMa Pustyni Yongbi.
SUNGMAHEE_GATE_ACHIEV_TOOLTIP_ACHIEV_5	To trofeum mo¿na zdobyæ w Portalu Inwazji SungMa Doyyumhwan (Ognista Ziemia).
SUNGMAHEE_GATE_ACHIEV_TOOLTIP_ACHIEV_6	To trofeum mo¿na zdobyæ w Portalu Inwazji SungMa Góry Sohan.
SUNGMAHEE_GATE_ACHIEV_TOOLTIP_ACHIEV_7	To trofeum mo¿na zdobyæ w Portalu Inwazji SungMa Diabelskich Katakumb.
SUNGMAHEE_GATE_ACHIEV_TOOLTIP_ACHIEV_8	To trofeum mo¿na zdobyæ w Portalu Inwazji SungMa Zaklêtego Lasu.
SUNGMAHEE_GATE_ACHIEV_TOOLTIP_PROBABILITY	Szansa: %d%%
SUNGMAHEE_GATE_ALREADY_OPEN	[Portal Inwazji SungMa] Otworzy³ siê portal SungMa. Pospiesz siê waœæ i wkrocz doñ! (Otwarty jeszcze przez %s)
SUNGMAHEE_GATE_ALREADY_OPEN_1M	[Portal Inwazji SungMa] Otworzy³ siê portal inwazji SungMa. Zniszcz go i to szybko! (Otwarty jeszcze przez mniej ni¿ 1 min.)
SUNGMAHEE_GATE_ENTER_COUNT_INFO	Tygodniowe wejœcia: %d/%d
SUNGMAHEE_GATE_MAP_ELEMENT_DARK	Mrok
SUNGMAHEE_GATE_MAP_ELEMENT_EARTH	Ziemia
SUNGMAHEE_GATE_MAP_ELEMENT_ELECT	B³yskawica
SUNGMAHEE_GATE_MAP_ELEMENT_FIRE	Ogieñ
SUNGMAHEE_GATE_MAP_ELEMENT_ICE	Lód
SUNGMAHEE_GATE_MAP_ELEMENT_NONE	Brak ¿ywio³u
SUNGMAHEE_GATE_MAP_ELEMENT_WIND	Wiatr
SUNGMAHEE_GATE_MESSAGE_CANNOT_OPEN_ACHIEV_CONQUEROR_LEVEL	Musisz najpierw osi¹gn¹æ poziom czempiona, by móc to otworzyæ.
SUNGMAHEE_GATE_MESSAGE_CANNOT_OPEN_ACHIEV_IN_BATTLE_ROYALE	Nie mo¿esz otworzyæ tego w tym obszarze.
SUNGMAHEE_GATE_MESSAGE_DUNGEON_ELEMENT_INFO	Ten obszar znajduje siê pod wp³ywem tego ¿ywio³u: %s
SUNGMAHEE_GATE_MESSAGE_NOTICE_BEFORE_OPEN_1	Wkrótce otworzy siê portal inwazji SungMa w Dongan.
SUNGMAHEE_GATE_MESSAGE_NOTICE_BEFORE_OPEN_2	Mo¿esz otworzyæ podgl¹d mapy, aby sprawdziæ dostêpne miejsca ka¿dego królestwa.
SUNGMAHEE_GATE_MESSAGE_NOTICE_DUNGEON_END_TIME	Czas min¹³ i nast¹pi teleportacja.
SUNGMAHEE_GATE_MESSAGE_NOTICE_DUNGEON_REMAIN_TIME	Do zamkniêcia portalu inwazji SungMa pozosta³o %d min.
SUNGMAHEE_GATE_MESSAGE_NOTICE_END	Wszystkie portale inwazji SungMa zostan¹ zamkniête.
SUNGMAHEE_GATE_MESSAGE_NOTICE_ENTRY_CLOSE	Portal inwazji SungMa jest zamkniêty.
SUNGMAHEE_GATE_MESSAGE_NOTICE_ENTRY_OPEN	Otworzy³ siê portal inwazji SungMa i mo¿na do niego wkroczyæ. Pozostanie otwarty do godz. %d:%d.
SUNGMAHEE_GATE_MESSAGE_REGION_ACHIEVED_SUCCESS	Otrzymujesz trofeum obszaru %s!
SUNGMAHEE_GATE_REMAIN_TIME_TO_OPEN	[Portal Inwazji SungMa] Portal inwazji SungMa otworzy siê \n za %s min.
SUNGMAHEE_GATE_REMAIN_TIME_TO_OPEN_1M	[Portal Inwazji SungMa] Portal inwazji SungMa otworzy siê \n za mniej ni¿ 1 min.
SUNGMAHEE_TOWER_ENTER_FAIL_FLOOR	Musisz najpierw ukoñczyæ poni¿szy poziom.
SUNGMAHEE_TOWER_ENTER_RESULT_FAIL_MOUNT	Nie mo¿esz wejœæ, je¿eli dosiad³eœ wierzchowca.
SUNGMAHEE_TOWER_ENTER_RESULT_FAIL_NOT_ENOUGH_CONQUEROR_LEVEL	Musisz najpierw osi¹gn¹æ poziom czempiona, by móc wejœæ.
SUNGMAHEE_TOWER_ENTER_RESULT_FAIL_NOT_ENOUGH_ITEM	Potrzebujesz sztandaru czaszki, by móc wejœæ.
SUNGMAHEE_TOWER_ENTER_RESULT_FAIL_PARTY	Nie mo¿esz wejœæ do Piekielnej Wie¿y Sunga Mahi w grupie.
SUNGMAHEE_TOWER_ENTER_RESULT_FAIL_POLYMORPH	Nie mo¿esz wejœæ, je¿eli jesteœ przemieniony.
SUNGMAHEE_TOWER_FLOOR_TEXT	Poziom {0}
SUNGMAHEE_TOWER_MY_RANK_TEXT	Ranga {0}
SYMBOLLIST_TITLE	Zarejestruj Flagê Gildii
TARGET_BUTTON_ACCEPT_FIGHT	Zgoda
TARGET_BUTTON_AVENGE	Zemsta
TARGET_BUTTON_BLOCK	Zablokuj
TARGET_BUTTON_BLOCK_REMOVE	Odblokuj
TARGET_BUTTON_BUILDING_DESTROY	Zniszcz
TARGET_BUTTON_DISMOUNT	Zsi¹dŸ
TARGET_BUTTON_EMOTION_ALLOW	Emocje
TARGET_BUTTON_EXCHANGE	Handel
TARGET_BUTTON_EXCLUDE	Wyklucz
TARGET_BUTTON_EXIT_OBSERVER	Zakoñcz Tryb Obserwatora
TARGET_BUTTON_FIGHT	Pojedynek
TARGET_BUTTON_FRIEND	Przyjaciel
TARGET_BUTTON_INVITE_GUILD	Zapr. Gildii
TARGET_BUTTON_INVITE_PARTY	Zapr. Grupy
TARGET_BUTTON_LEAVE_PARTY	Opuœæ Grupê
TARGET_BUTTON_REQUEST_ENTER_PARTY	Do³¹cz do Grupy
TARGET_BUTTON_REVIVE	Wskrzeszenie
TARGET_BUTTON_VIEW_EQUIPMENT	Zbroja
TARGET_BUTTON_WHISPER	Szept
TARGET_LEVEL_BOSS	Boss
TARGET_LEVEL_KING	Stopieñ 5.
TARGET_LEVEL_KNIGHT	Stopieñ 3.
TARGET_LEVEL_PAWN	Stopieñ 1.
TARGET_LEVEL_S_KNIGHT	Stopieñ 4.
TARGET_LEVEL_S_PAWN	Stopieñ 2.
TARGET_TOOLTIP_ATTACK_COUNT	£¹czna iloœæ punktów: %d
TASKBAR_ATTACK	Atak
TASKBAR_AUTO	atakuj automatycznie
TASKBAR_CAMERA	Kamera
TASKBAR_EXP	Doœwiadczenie
TASKBAR_HP	P¯
TASKBAR_MOVE	Ruch
TASKBAR_SKILL	Umiejêtnoœæ
TASKBAR_SP	PE
TASKBAR_ST	ST
TENTH_COIN	Moneta jubileuszowa
TENTH_EVENT_ASK_EXCHANGE	Potrzebujesz flag jubileuszowych: %d Czy chcesz kontynuowaæ?
THING_COUNT	wszystko
TIGER_COIN_ITEM_USE_QUESTION	Wymieniasz swój kupon na Tygrysie Monety. Chcesz kontynuowaæ?
TITLE_SYSTEM_MESSAGE_ALREADY_GET	Ju¿ posiadasz ten tytu³.
TITLE_SYSTEM_MESSAGE_CHECK_UI	Tytu³ odblokowany: %s Zobacz tytu³ w menu tytu³ów.
TITLE_SYSTEM_MESSAGE_EQUIP_TITLE	%s zosta³ wyposa¿ony.
TITLE_SYSTEM_MESSAGE_GET_TITLE	Otrzymano %s.
TITLE_SYSTEM_MESSAGE_ONE_HOUR_LEFT	Pozosta³y czas trwania tytu³u "%s" wynosi jeszcze 1 godzinê.
TITLE_SYSTEM_MESSAGE_TIME_END	Czas %s up³yn¹³.
TITLE_SYSTEM_MESSAGE_TRY_LATER	Spróbuj ponownie póŸniej.
TITLE_SYSTEM_MESSAGE_UNEQUIP_TITLE	Wyposa¿ony tytu³ zosta³ zdjêty.
TITLE_SYSTEM_MESSAGE_WRONG_APPROACH	Ten tytu³ nie jest jeszcze dostêpny albo czas trwania up³yn¹³.
TITLE_SYSTEM_MESSAGE_WRONG_ITEM	Nie mo¿esz otrzymaæ tego tytu³u z tym certyfikatem. SprawdŸ w tabeli.
TITLE_SYSTEM_OPEN_TITLE_UI	Otwórz menu tytu³ów
TITLE_SYSTEM_TEXT_TITLE	Tytu³
TITLE_SYSTEM_TOOLTIP_BACK_BUTTON	Poka¿ wyposa¿ony tytu³
TITLE_SYSTEM_TOOLTIP_GET_CONDITION	Warunek: %s
TITLE_SYSTEM_TOOLTIP_ITEM_TIME_LEFT	Pozosta³y czas:
TITLE_SYSTEM_TOOLTIP_LEFT_TIME	Pozosta³y czas: %s
TITLE_SYSTEM_TOOLTIP_TITLE_INFINITE	Na sta³e
TITLE_SYSTEM_TOOLTIP_TITLE_TIME_LEFT	Czas trwania tytu³u:
TITLE_SYSTEM_TOOLTIP_USE_INFINITE	Mo¿na u¿ywaæ na sta³e.
TITLE_SYSTEM_TOOLTIP_WARNING_TIME	Nie mo¿na ju¿ u¿yæ tego przedmiotu po zakoñczeniu czasu jego trwania.
TITLE_SYSTEM_USE_SCROLL_QUESTION	Czy chcesz zrealizowaæ ten certyfikat?
TOOLTIP_AFFECT_AIR_BORNE	W powietrzu	SNA
TOOLTIP_AFFECT_ATT_GRADE_DOWN	Redukcja obra¿eñ	SNA
TOOLTIP_AFFECT_CANNOT_APPLY	Nie mo¿esz tego u¿yæ w PvP ani po przemianie.
TOOLTIP_AFFECT_CHEONUN	Tarcza Eteru	SNA
TOOLTIP_AFFECT_CONFUSION	Zdezorientowany.
TOOLTIP_AFFECT_CRITICAL_GRADE_DOWN	Redukcja szansy na cios krytyczny	SNA
TOOLTIP_AFFECT_CURSE_OF_DARKNESS	Kl¹twa Mroku Ksiê¿yca (%d-krotnie)	SA
TOOLTIP_AFFECT_CZ_UNLIMIT_ENTER	Znak Stra¿nika	SNA
TOOLTIP_AFFECT_DEFENSEWAVE_LASER	Nie uda³o siê przerwaæ hydro-promienia.	SNA
TOOLTIP_AFFECT_DEF_GRADE_DOWN	Redukcja obrony	SNA
TOOLTIP_AFFECT_ELECTRIC_SHOCK	B³yskawica
TOOLTIP_AFFECT_ELEMENT_BUFF_CRACK	Rodzaj bonusowych obra¿eñ: %s\n\nJeœli masz aktywny efekt burzy lub kwiatów mocy, mo¿esz wskrzesiæ siê w tym samym miejscu.
TOOLTIP_AFFECT_ELEMENT_BUFF_CRACK_DARK	Moc Mroku
TOOLTIP_AFFECT_ELEMENT_BUFF_CRACK_EARTH	Moc Ziemi
TOOLTIP_AFFECT_ELEMENT_BUFF_CRACK_ELECT	Moc B³yskawic
TOOLTIP_AFFECT_ELEMENT_BUFF_CRACK_FIRE	Moc Ognia
TOOLTIP_AFFECT_ELEMENT_BUFF_CRACK_ICE	Moc Lodu
TOOLTIP_AFFECT_ELEMENT_BUFF_CRACK_NONE	Brak efektu
TOOLTIP_AFFECT_ELEMENT_BUFF_CRACK_WIND	Moc Wiatru
TOOLTIP_AFFECT_FISHING_GOLD_TUNA	Bonus Z³otego Tuñczyka	SNA
TOOLTIP_AFFECT_FISHING_MOVE_SPEED_DOWN	Mokre szaty\nSzybkoœæ ruchu -50	SNA
TOOLTIP_AFFECT_FLAG_CANNOT_ATTACK	Zwyk³e ataki s¹ zablokowane
TOOLTIP_AFFECT_FLAG_CANNOT_USE_SKILL	Umiejêtnoœci s¹ zablokowane
TOOLTIP_AFFECT_FLOWER_OF_DESTRUCTION	Efekt kwiatów mocy
TOOLTIP_AFFECT_FLOWER_OF_DESTRUCTION_ANIMAL	Efekt kwiatów mocy: si³a w walce ze zwierzêtami +%%%d\n\nMo¿e wskrzesiæ siê w tym samym miejscu.	SA
TOOLTIP_AFFECT_FLOWER_OF_DESTRUCTION_DARK	Efekt kwiatów mocy: si³a w walce z mrokiem +%d%%\n\nMo¿e wskrzesiæ siê w tym samym miejscu.	SA
TOOLTIP_AFFECT_FLOWER_OF_DESTRUCTION_EARTH	Efekt kwiatów mocy: si³a w walce z ziemi¹ +%d%%\n\nMo¿e wskrzesiæ siê w tym samym miejscu.	SA
TOOLTIP_AFFECT_FLOWER_OF_DESTRUCTION_ELECT	Efekt kwiatów mocy: si³a w walce z b³yskawic¹ +%d%%\n\nMo¿e wskrzesiæ siê w tym samym miejscu.	SA
TOOLTIP_AFFECT_FLOWER_OF_DESTRUCTION_FIRE	Efekt kwiatów mocy: si³a w walce z ogniem +%d%%\n\nMo¿e wskrzesiæ siê w tym samym miejscu.	SA
TOOLTIP_AFFECT_FLOWER_OF_DESTRUCTION_ICE	Efekt kwiatów mocy: si³a w walce z lodem +%d%%\n\nMo¿e wskrzesiæ siê w tym samym miejscu.	SA
TOOLTIP_AFFECT_FLOWER_OF_DESTRUCTION_WIND	Efekt kwiatów mocy: si³a w walce z wiatrem +%d%%\n\nMo¿e wskrzesiæ siê w tym samym miejscu.	SA
TOOLTIP_AFFECT_FLOWER_OF_GALE	Efekt kwiatów wichury: szybkoœæ ruchu +%d\n\nMo¿e wskrzesiæ siê w tym samym miejscu.	SA
TOOLTIP_AFFECT_FORCE_REMAIN_COUNT	Pozosta³e do³adowania: %d
TOOLTIP_AFFECT_FREEZING	Zamro¿ony	SNA
TOOLTIP_AFFECT_GARRISON_BUFF	Odpornoœæ na wp³yw Sunga Mahi	SNA
TOOLTIP_AFFECT_GARRISON_DEBUFF	Wp³yw Sunga Mahi	SNA
TOOLTIP_AFFECT_GREEDY_GATE_BUFF	Energia Bram	SNA
TOOLTIP_AFFECT_GUILD_SPECIAL_BUILDING_BUFF	Bonus relikwiarza	SNA
TOOLTIP_AFFECT_GUILD_WHITE_DRAGON_BREATH_DEBUFF	Pod wp³ywem zabójczego spojrzenia Balathora twoja regeneracja P¯ jest zmniejszona o 50%.	SNA
TOOLTIP_AFFECT_GUILD_WHITE_DRAGON_ENHANCE_SCALES	Balathor chroni³ jaja smoka za pomoc¹ magicznego pancerza ³uskowego. Nie mo¿na ich uszkodziæ. Zniszcz ³uski za pomoc¹ hwachy!	SNA
TOOLTIP_AFFECT_GUILD_WHITE_DRAGON_LAIR_BUFF_POTION	+15% odpornoœci na obra¿enia od umiejêtnoœci\n+15% odpornoœci na obra¿enia od uderzeñ	SNA
TOOLTIP_AFFECT_GUILD_WHITE_DRAGON_LAIR_RAGE_DEBUFF	Uwolniona moc Balathora powoduje lodowate zimno. Twoja szybkoœæ ataku jest zmniejszona.	SNA
TOOLTIP_AFFECT_HEAVY_BLEEDING	Silne Krwawienie	SNA
TOOLTIP_AFFECT_ICECREAM	Ro¿ek na Lody\nSzybkoœæ ruchu +10\nMagiczny atak / atak walki wrêcz +5%\nPD +10%\n	SNA
TOOLTIP_AFFECT_IMMUNE_MINE_TOWER_SKILL	Bilet przeciwwybuchowy	SNA
TOOLTIP_AFFECT_INCREASE_REFINE_PCT	B³ogos³awieñstwo, które jednorazowo po aktywacji zwiêksza szansê na sukces kolejnego uszlachetnienia o %d%%.	SA
TOOLTIP_AFFECT_INVINCIBILITY_DECCAN	Tarcza Nezaratha: potwory przywo³ane przez Nezaratha chroni¹ go przed obra¿eniami.	SNA
TOOLTIP_AFFECT_IRON_DRAGON_BLESS	Pozosta³e ³adunki 10%% redukcji obra¿eñ: %d
TOOLTIP_AFFECT_LATE_SUMMER_EVENT_BUFF	Dusze (%d/20)	SA
TOOLTIP_AFFECT_LATE_SUMMER_EVENT_PRIMIUM_BUFF	Cenne Dusze (%d/150)	SA
TOOLTIP_AFFECT_LOOTING_SYSTEM	Przepustka £upu	SNA
TOOLTIP_AFFECT_LUCKY_EVENT	Buff Nagonki na Potwory	SNA
TOOLTIP_AFFECT_MERCENARY_MAX_ACTIVE_INCREASE	Zwiêksza maksymaln¹ wytrzyma³oœæ o +%d	SA
TOOLTIP_AFFECT_MIND_CONTROL	Mroczny Wp³yw	SNA
TOOLTIP_AFFECT_MI_BUFF	Buff zajêcia \n%s
TOOLTIP_AFFECT_MOUNT_FALL	Upadek z wierzchowca	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_ATTACK_SPEED	Gwa³towna Wichura	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_EFFECT_UP	Wzmacnia efekt jazdy konnej	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_EXP	PD	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_GYEONGGONG	Bezszelestny Chód	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_HIT_PCT	Precyzja	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_INVINCIBILITY	Nieœmiertelnoœæ	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_JOB_ASSASIN	Si³a w walce z ninja
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_JOB_SHAMAN	Si³a w walce z szamanem
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_JOB_SURA	Si³a w walce z sura
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_JOB_WARRIOR	Si³a w walce z wojownikiem
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_JOB_WOLF	Si³a w walce z Likanami
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_KNOCKBACK	Brak Odrzutu	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_NIMBLE	Zwinne Kopyta	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_ANIMAL	Si³a w walce ze zwierzêtami
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_CZ	Si³a w walce z potworami Zodiaku
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_DESSERT	Si³a w walce z potworami pustyni
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_DEVIL	Si³a w walce z diab³ami
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_HUMAN	Si³a w walce z pó³ludŸmi
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_INSECT	Si³a w walce z insektami
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_MILGYO	Si³a w walce z mistykami
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_MONSTER	Si³a w walce z wszystkimi potworami
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_UNDEAD	Si³a w walce z nieumar³ymi
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_WONGGUI	Si³a w walce z orkom
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_SUNGMA_HP	Wola SungMa (WIT)	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_SUNGMA_IMMUNE	Wola SungMa (INT)	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_SUNGMA_MOVE	Wola SungMa (ODP)	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_SUNGMA_STR	Wola SungMa (SI£A)	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_TO_STRONG	Jazda Konna	SNA
TOOLTIP_AFFECT_NORMAL_ATTACK_DAMAGE_BUFF	%0.1f x zwyk³e obra¿enia od ataku
TOOLTIP_AFFECT_NORMAL_ATTACK_FORCE_TYPE	Echo Si³y +0
TOOLTIP_AFFECT_NO_FALLEN	Odpornoœæ na upadek	SNA
TOOLTIP_AFFECT_OTHER_WORLD_DEAD_SOUL	Maksymalne P¯ Asmodeusza zosta³y zmniejszone o %d%%.	SA
TOOLTIP_AFFECT_OTHER_WORLD_GOBLIN_PROTECTION	Nie mo¿na na³o¿yæ na ciebie kl¹twy Asmodeusza w lochu Potêpienie.	SNA
TOOLTIP_AFFECT_OTHER_WORLD_YEOMWANG_CURSE	Zadane potworom obra¿enia zmieszaj¹ siê o 30%.	SNA
TOOLTIP_AFFECT_PASWAE	Redukuje na 5 sekund obronê i szybkoœæ ruchu.
TOOLTIP_AFFECT_POLYMORPH	Polimorfia	SNA
TOOLTIP_AFFECT_POLYMORPH_DEBUFF	Polimorfia (debuff)	SNA
TOOLTIP_AFFECT_PREMIUM_MEMBERSHIP_BUFF	Cz³onkostwo Metin+\n\nWszystkie informacje szczegó³owe oraz ustawienia dotycz¹ce cz³onkostwa Metin+ znajdziesz na odpowiedniej stronie po klikniêciu "Co nowego?".	SNA
TOOLTIP_AFFECT_PREMIUM_PRIVATE_SHOP	Osobisty Sklepik Premium	SNA
TOOLTIP_AFFECT_RAMADNA_CANDY	S³odycze \n+10 szybkoœæ ruchu \n+5% obra¿eñ od ataku \n+10% PD	SNA
TOOLTIP_AFFECT_RANJU	Grzaniec \n+10 szybkoœæ ruchu \n+5% obra¿eñ od ataku \n+10% PD	SNA
TOOLTIP_AFFECT_RCAST_SPEED	Wyd³u¿enie czasu regeneracji	SNA
TOOLTIP_AFFECT_RED_DRAGONLAIR_BUFF	Odpornoœæ na obra¿enia umiejêtnoœci +15% | Odpornoœæ na normalne obra¿enia od ataku +15%	SNA
TOOLTIP_AFFECT_REFINE_FREE_MATERIAL	B³ogos³awieñstwo, które jednorazowo po aktywacji zapewnia, ¿e kolejne uszlachetnienie nie zu¿yje ¿adnych materia³ów.	SNA
TOOLTIP_AFFECT_RESEARCHER_ELIXIR	Eliksir Poszukiwacza	SNA
TOOLTIP_AFFECT_RHP_REGEN	Brak mo¿liwoœci odpoczynku	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_01	Bonus magazynu\n +3% PD	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_02	Bonus magazynu\n+20 obrona	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_03	Bonus magazynu\n+1% punkt ¿ycia	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_04	Bonus magazynu\n+3% si³a w walce z potworami	SNA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_A	Po pomyœlnym ukoñczeniu Œwi¹tyni Wê¿y lub G³êbi Pó³nocnego Wiatru, otrzymasz dodatkow¹ skrzynkê skarbu.	SNA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_B	Po pokonaniu Jotun Thrym lub po pomyœlnym ukoñczeniu Œwi¹tynia Zodiaku, otrzymasz dodatkow¹ skrzynkê skarbu.	SNA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_C	Po pokonaniu Azraela lub Beran-Setaou, otrzymasz dodatkow¹ skrzynkê skarbu.	SNA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_POINT_A	Postêp Œwi¹tyni Enigma Bonus A: %d	SA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_POINT_B	Postêp Œwi¹tyni Enigma Bonus B: %d	SA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_POINT_C	Postêp Œwi¹tyni Enigma Bonus C: %d	SA
TOOLTIP_AFFECT_SET_ITEM_1	Œwiêty Bonus Zestawu	SNA
TOOLTIP_AFFECT_SET_ITEM_2	Okaza³y Bonus Zestawu	SNA
TOOLTIP_AFFECT_SET_ITEM_3	Rycerski Bonus Zestawu	SNA
TOOLTIP_AFFECT_SET_ITEM_4	Ksi¹¿êcy Bonus Zestawu	SNA
TOOLTIP_AFFECT_SET_ITEM_5	Majestatyczny Bonus Zestawu	SNA
TOOLTIP_AFFECT_SHACKLE	Kajdany
TOOLTIP_AFFECT_SKILL_ATTACK_DAMAGE_BUFF	%0.1f x obra¿enia od umiejêtnoœci
TOOLTIP_AFFECT_SKILL_ATTACK_FORCE_TYPE	Echo Umiejêtnoœci
TOOLTIP_AFFECT_SNOWFLAKE_STICK_EVENT_RANK_BUFF	Zimowe Czary	SNA
TOOLTIP_AFFECT_SNOWFLAKE_STICK_EVENT_RANK_BUFF_ACQUIRED	: Otrzymano\n
TOOLTIP_AFFECT_SNOWFLAKE_STICK_EVENT_RANK_BUFF_NOT_ACQUIRED	: Nie otrzymano\n
TOOLTIP_AFFECT_SNOWFLAKE_STICK_EVENT_SNOWFLAKE_BUFF_1	Czar P³atków Œniegu	SNA
TOOLTIP_AFFECT_SNOWFLAKE_STICK_EVENT_SNOWFLAKE_BUFF_2	Od pokonanych potworów mo¿na zdobyæ œnie¿ki i ga³¹zki ba³wana.
TOOLTIP_AFFECT_SUNGMAHEE_TOWER_CURSE	Kl¹twa Sunga Mahi (na³o¿ona %d razy). Twoje P¯ zmniejszaj¹ siê co na³o¿enie i co 10 sekund o 10 %%. Mo¿na nak³adaæ do 10 razy.	SA
TOOLTIP_AFFECT_SUNGMA_ALL	Zwiêksza wszystkie parametry SungMa o 10%	SNA
TOOLTIP_AFFECT_SUNGMA_DESC	Wola Sunga Mahi nape³nia to miejsce.
TOOLTIP_AFFECT_SUNGMA_HP	Wola SungMa (WIT): %d
