ACCE_ABSORB_COST	Costo combinazione: %d
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_EFFECT_UP	Potenzia l'effetto cavalcata	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_EXP	EXP	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_GYEONGGONG	Passo piumato	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_HIT_PCT	Precisione	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_INVINCIBILITY	Invincibilità	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_JOB_ASSASIN	Forte VS ninja
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_JOB_SHAMAN	Forte VS shamani
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_JOB_SURA	Forte VS sura
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_JOB_WARRIOR	Forte VS guerrieri
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_JOB_WOLF	Forte VS lican
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_KNOCKBACK	No contraccolpo	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_NIMBLE	Zoccoli lesti	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_ANIMAL	Forte VS animali
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_CZ	Forte VS mostri Zodiaco
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_DESSERT	Forte VS mostri del deserto
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_DEVIL	Forte VS diavoli
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_HUMAN	Forte vs Mezziuomini
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_INSECT	Forte VS insetti
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_MILGYO	Forte contro gli esoterici
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_MONSTER	Forte VS tutti i mostri
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_UNDEAD	Forte VS zombie
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_WONGGUI	Forte VS orchi
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_SUNGMA_HP	Volontà SungMa (VIT)	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_SUNGMA_IMMUNE	Volontà SungMa (INT)	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_SUNGMA_MOVE	Volontà SungMa (RES)	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_SUNGMA_STR	Volontà SungMa (STR)	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_TO_STRONG	Cavalcare	SNA
TOOLTIP_AFFECT_NORMAL_ATTACK_DAMAGE_BUFF	%0.1f x danno da attacco normale
TOOLTIP_AFFECT_NORMAL_ATTACK_FORCE_TYPE	Eco della forza
TOOLTIP_AFFECT_NO_FALLEN	Resistenza alla caduta	SNA
TOOLTIP_AFFECT_OTHER_WORLD_DEAD_SOUL	Gli HP max. di Asmodeus sono stati ridotti della seguente percentuale: %d%%.	SA
TOOLTIP_AFFECT_OTHER_WORLD_GOBLIN_PROTECTION	La Maledizione Asmodeus non ti può colpire in Damnatio.	SNA
TOOLTIP_AFFECT_OTHER_WORLD_YEOMWANG_CURSE	Il danno inflitto ai mostri è ridotto del 30%.	SNA
TOOLTIP_AFFECT_PASWAE	Riduce la difesa e la velocità di movimento per 5 secondi.
TOOLTIP_AFFECT_POLYMORPH	Trasformazione	SNA
TOOLTIP_AFFECT_POLYMORPH_DEBUFF	Trasformazione (debuff)	SNA
TOOLTIP_AFFECT_PREMIUM_MEMBERSHIP_BUFF	Abbonamento Metin+\n\nTutti i dettagli e le impostazioni per l'abbonamento a Metin+ si trovano nella pagina corrispondente, cliccando su "Ci sono novità?".	SNA
TOOLTIP_AFFECT_PREMIUM_PRIVATE_SHOP	Negozio Premium Privato	SNA
TOOLTIP_AFFECT_RAMADNA_CANDY	Dolci\nVelocità di movimento +10\ndanno da attacco +5%\nEXP +10%	SNA
TOOLTIP_AFFECT_RANJU	Vin Brulé\nVelocità di movimento +10\ndanno da attacco +5%\nEXP +10%	SNA
TOOLTIP_AFFECT_RCAST_SPEED	Incrementa tempo di ricarica	SNA
TOOLTIP_AFFECT_RED_DRAGONLAIR_BUFF	Resistenza contro i danni abilità +15% | Resistenza contro danni da attacco normali +15%	SNA
TOOLTIP_AFFECT_REFINE_FREE_MATERIAL	Una volta attivata questa benedizione permette di non usare materiali per il raffinamento successivo.	SNA
TOOLTIP_AFFECT_RESEARCHER_ELIXIR	Elisir del ricercatore	SNA
TOOLTIP_AFFECT_RHP_REGEN	Non è possibile riposarsi	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_01	Bonus Magazzino\n +3% EXP	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_02	Bonus Magazzino\n +20 difesa	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_03	Bonus Magazzino\n +1% punti vita	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_04	Bonus Magazzino\n +3% Forza vs mostri	SNA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_A	Completando con successo il Templum Serpens o gli Abissi Boreali, riceverai uno scrigno del tesoro extra.	SNA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_B	Sconfiggendo Jotun Thrym o completando con successo il Tempio dello Zodiaco riceverai uno scrigno del tesoro extra.	SNA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_C	Sconfiggendo Azrael o Beran-Setaou riceverai un baule del tesoro extra.	SNA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_POINT_A	Progressi Tempio Enigma (bonus A): %d	SA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_POINT_B	Progressi Tempio Enigma (bonus B): %d	SA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_POINT_C	Progressi Tempio Enigma (bonus C): %d	SA
TOOLTIP_AFFECT_SET_ITEM_1	Bonus del set Sacro	SNA
TOOLTIP_AFFECT_SET_ITEM_2	Bonus del set Sontuoso	SNA
TOOLTIP_AFFECT_SET_ITEM_3	Bonus del set Cortese	SNA
TOOLTIP_AFFECT_SET_ITEM_4	Bonus del set Reale	SNA
TOOLTIP_AFFECT_SET_ITEM_5	Bonus del set Maestoso	SNA
TOOLTIP_AFFECT_SHACKLE	Catene
TOOLTIP_AFFECT_SKILL_ATTACK_DAMAGE_BUFF	%0.1f x danni abilità
TOOLTIP_AFFECT_SKILL_ATTACK_FORCE_TYPE	Eco della capacità
TOOLTIP_AFFECT_SNOWFLAKE_STICK_EVENT_RANK_BUFF	Incantesimo invernale	SNA
TOOLTIP_AFFECT_SNOWFLAKE_STICK_EVENT_RANK_BUFF_ACQUIRED	: ottenuto\n
TOOLTIP_AFFECT_SNOWFLAKE_STICK_EVENT_RANK_BUFF_NOT_ACQUIRED	: non ottenuto\n
TOOLTIP_AFFECT_SNOWFLAKE_STICK_EVENT_SNOWFLAKE_BUFF_1	Incantesimo Fiocco di neve	SNA
TOOLTIP_AFFECT_SNOWFLAKE_STICK_EVENT_SNOWFLAKE_BUFF_2	Si possono ottenere Palle di neve e Rami Pupazzo di neve quando si sconfiggono i mostri.
TOOLTIP_AFFECT_SUNGMAHEE_TOWER_CURSE	Maledizione di Sung Mahi (accumulata %d volta/e). Per ciascun cumulo, gli HP diminuiscono del 10%% ogni 10 secondi. Si può accumulare fino a 10 volte.	SA
TOOLTIP_AFFECT_SUNGMA_ALL	Aumenta tutti i valori SungMa del 10%.	SNA
TOOLTIP_AFFECT_SUNGMA_DESC	Questo luogo è pervaso dalla volontà di Sung Mahi.
TOOLTIP_AFFECT_SUNGMA_HP	Volontà SungMa (VIT): %d
TOOLTIP_AFFECT_SUNGMA_HP_BUFF	Aumenta la tua Volontà SungMa (VIT) del seguente valore: +%d.	SA
TOOLTIP_AFFECT_SUNGMA_IMMUNE	Volontà SungMa (INT): %d
TOOLTIP_AFFECT_SUNGMA_IMMUNE_BUFF	Aumenta la tua Volontà SungMa (INT) del seguente valore: +%d.	SA
TOOLTIP_AFFECT_SUNGMA_MOVE	Volontà SungMa (RES): %d
TOOLTIP_AFFECT_SUNGMA_MOVE_BUFF	Aumenta la tua Volontà SungMa (RES) del seguente valore: +%d.	SA
TOOLTIP_AFFECT_SUNGMA_MOVE_DEBUFF	-20 Volontà SungMa (RES)	SNA
TOOLTIP_AFFECT_SUNGMA_STR	Volontà SungMa (STR): %d
TOOLTIP_AFFECT_SUNGMA_STR_BUFF	Aumenta la tua Volontà SungMa (STR) del seguente valore: +%d.	SA
TOOLTIP_AFFECT_SUNGMA_STR_DEBUFF	-20 Volontà SungMa (STR)	SNA
TOOLTIP_AFFECT_WHITE_DRAGON_BLESS	Cariche rimaste (bonus danno del 10%%): %d
TOOLTIP_AFFECT_WORLD_BOSS_DAILY_REWARD	Bonus giornaliero per la quest dell'evento Ultraboss\n Valore d'attacco + %d%%	SA
TOOLTIP_AFFECT_WORLD_BOSS_REWARD	Bonus rango dell'evento Ultraboss\n Drop di item +%d	SA
TOOLTIP_ALIGNMENT_DAMAGE_BONUS	In caso di punti karma bassi, il danno provocato aumenta.	SNA
TOOLTIP_ANTI_CRITICAL_PCT	Resistenza contro il colpo critico +%d%%	SA
TOOLTIP_ANTI_PENETRATE_PCT	Resistenza contro i colpi trafiggenti +%d%%	SA
TOOLTIP_ANTI_SELL	Non può essere venduto nel negozio.
TOOLTIP_APPLY_ACCEDRAIN_RATE	Tasso di assorbimento: %d%%	SA
TOOLTIP_APPLY_ATTBONUS_ANIMAL	Forte contro Animali +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ASSASSIN	Forte contro Ninja +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_BELL	Interruzione della difesa campana +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_BOW	Interruzione della difesa frecce +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_CLAW	Interruzione della difesa artigli +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_CZ	Forte contro i mostri Zodiaco +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DAGGER	Interruzione della difesa pugnale +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DESERT	Forte contro mostri del deserto +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DEVIL	Forte contro Diavolo +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DRAGON	Forte contro draghi +%d %%	SA
TOOLTIP_APPLY_ATTBONUS_FAN	Interruzione della difesa ventaglio +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_HUMAN	Forte vs Mezziuomini +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_INSECT	Forte contro gli insetti +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MILGYO	Forte contro Esoterici +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MONSTER	Forza vs mostri +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MOON	Forte vs Mostri Ombra di Luna +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MYSTERY_DUNGEON	Forte vs Misteri +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ORC	Forte contro Orchi +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SHAMAN	Forte contro Shamane +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SURA	Forte contro Sura +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SWORD	Interruzione della difesa spada +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_TWOHAND	Interruzione della difesa spadone +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_UNDEAD	Forte contro Zombie +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WARRIOR	Forte contro Guerrieri +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WOLFMAN	Forte contro lican + %d%%	SA
TOOLTIP_APPLY_BLEEDING_PCT	Attacco sanguinante + %d%%	SA
TOOLTIP_APPLY_BLEEDING_REDUCE	Resistenza contro l'attacco sanguinante + %d%%	SA
TOOLTIP_APPLY_BLOCK	Possibilità blocco attacco corporale %d%%	SA
TOOLTIP_APPLY_BLOCK_PENETRATE_PCT	+%d %% penetrazione del blocco	SA
TOOLTIP_APPLY_BONUS_BLOCK_PENETRATE_PCT	Penetrazione del blocco +%d%% del valore totale	SA
TOOLTIP_APPLY_BONUS_HIT_PCT	+ %d%% precisione	SA
TOOLTIP_APPLY_COMBAT_SP_RECOVER	Rigenerare in battaglia %d MP ogni 5 Sec.	SA
TOOLTIP_APPLY_CONFUSION_TO_MOB	Possibilità di Confusione: %0.1f%%	SA
TOOLTIP_APPLY_CRITICAL_PCT	+ %d%% di possibilità nei colpi critici	SA
TOOLTIP_APPLY_DAMAGE_SP_RECOVER	%d%% di possibilità di mantenere MP nei colpi	SA
TOOLTIP_APPLY_DODGE	%d%% di possibilità di schivare frecce	SA
TOOLTIP_APPLY_ENCHANT_DARK	Forza dell'oscurità +%d%%	SA
TOOLTIP_APPLY_ENCHANT_DARK2	Forza dell'oscurità +%d%% ~ +%d%%
TOOLTIP_APPLY_ENCHANT_EARTH	Forza della terra +%d%%	SA
TOOLTIP_APPLY_ENCHANT_EARTH2	Forza della terra +%d%% ~ +%d%%
TOOLTIP_APPLY_ENCHANT_ELECT	Forza del fulmine +%d%%	SA
TOOLTIP_APPLY_ENCHANT_ELECT2	Forza del fulmine +%d%% ~ +%d%%
TOOLTIP_APPLY_ENCHANT_FIRE	Forza del fuoco +%d%%	SA
TOOLTIP_APPLY_ENCHANT_FIRE2	Forza del fuoco +%d%% ~ +%d%%
TOOLTIP_APPLY_ENCHANT_ICE	Forza del ghiaccio +%d%%	SA
TOOLTIP_APPLY_ENCHANT_ICE2	Forza del ghiaccio +%d%% ~ +%d%%
TOOLTIP_APPLY_ENCHANT_WIND	Forza del vento +%d%%	SA
TOOLTIP_APPLY_ENCHANT_WIND2	Forza del vento +%d%% ~ +%d%%
TOOLTIP_APPLY_EXP_DOUBLE_BONUS	%d%% di possibilità sul EXP Bonus	SA
TOOLTIP_APPLY_GOLD_DOUBLE_BONUS	%d%% di possibilità di lasciar cadere Yang	SA
TOOLTIP_APPLY_IMMUNE_BLEEDING100	Immune contro il sanguinamento	SNA
TOOLTIP_APPLY_IMMUNE_FALL	Immune contro caduta	SNA
TOOLTIP_APPLY_IMMUNE_POISON100	Immune contro il veleno	SNA
TOOLTIP_APPLY_IMMUNE_SLOW	Difesa contro rallentamento	SNA
TOOLTIP_APPLY_IMMUNE_STUN	Difesa contro svenimento	SNA
TOOLTIP_APPLY_ITEM_DROP_BONUS	%d%% di possibilità di far cadere il doppio degli oggetti	SA
TOOLTIP_APPLY_KILL_HP_RECOVER	%d%% di possibilità di rigenerare HP	SA
TOOLTIP_APPLY_KILL_SP_RECOVER	%d%% di possibilità di rigenerare MP	SA
TOOLTIP_APPLY_MANA_BURN_PCT	%d%% di possibilità prendere MP dell'avversario	SA
TOOLTIP_APPLY_MAX_HP_PCT	HP max. +%d%%	SA
TOOLTIP_APPLY_MAX_SP_PCT	MP max. +%d%%	SA
TOOLTIP_APPLY_MONSTER_DEFEND_BONUS	Resistenza contro gli attacchi dei mostri %d	SA
TOOLTIP_APPLY_NOAFFECT	Nessun effetto
TOOLTIP_APPLY_NO_DEATH_PENALTY	Facendo rinascere il personaggio sul luogo della sua morte non perderà punti esperienza.	SNA
TOOLTIP_APPLY_NO_DEATH_PENALTY_PLUS	Il Dio Drago spalanca su di te le sue ali protettive. Se vieni rianimato nel luogo della tua morte, non perdi punti esperienza.	SNA
TOOLTIP_APPLY_PENETRATE_PCT	%d%% di possibilità su colpi che trafiggono	SA
TOOLTIP_APPLY_POISON_PCT	Probabilità di avvelenamento: %d%%	SA
TOOLTIP_APPLY_POISON_REDUCE	Resistenza avvelenamento %d%%	SA
TOOLTIP_APPLY_POTION_BONUS	Pozione %d%% aumento dell'effetto	SA
TOOLTIP_APPLY_REFLECT_CURSE	Possibilità di riflettere maledizione: %d%%	SA
TOOLTIP_APPLY_REFLECT_MELEE	Possibilità di riflettere un attacco corporale: %d%%	SA
TOOLTIP_APPLY_REFUSE_EXP	Non acquisire esperienza	SNA
TOOLTIP_APPLY_RESIST_ASSASSIN	Possibilità di difesa dai ninja %d%%	SA
TOOLTIP_APPLY_RESIST_BELL	Difesa campana %d%%	SA
TOOLTIP_APPLY_RESIST_CLAW	Difesa artigli +%d%%	SA
TOOLTIP_APPLY_RESIST_DAGGER	Difesa pugnale %d%%	SA
TOOLTIP_APPLY_RESIST_FAN	Difesa ventaglio %d%%	SA
TOOLTIP_APPLY_RESIST_HUMAN	Resistenza ai Mezziuomini %d%%	SA
TOOLTIP_APPLY_RESIST_MOUNT_FALL	Resistenza alla caduta +%d%%	SA
TOOLTIP_APPLY_RESIST_SHAMAN	Possibilità di difesa dagli shamani %d%%	SA
TOOLTIP_APPLY_RESIST_SURA	Possibilità di difesa dai sura %d%%	SA
TOOLTIP_APPLY_RESIST_SWORD	Difesa spada %d%%	SA
TOOLTIP_APPLY_RESIST_TWOHAND	Difesa spadone %d%%	SA
TOOLTIP_APPLY_RESIST_WARRIOR	Possibilità di difesa dai guerrieri %d%%	SA
TOOLTIP_APPLY_RESIST_WIND	Resistenza vento %d%%	SA
TOOLTIP_APPLY_RESIST_WOLFMAN	Possibilità di difesa dai lican %d%%	SA
TOOLTIP_APPLY_SKILL_BOOK_BONUS	Possibilità di imparare dai libri migliorata di fattore 2,5	SNA
TOOLTIP_APPLY_SKILL_BOOK_NO_DELAY	Se l'apprendimento fallisce, hai a disposizione subito un altro tentativo.	SNA
TOOLTIP_APPLY_SLOW_PCT	Probabilità di rallentamento: %d%%	SA
TOOLTIP_APPLY_STEAL_HP	%d%% di danni assorbiti da HP.	SA
TOOLTIP_APPLY_STEAL_SP	%d%% di danni assorbiti da MP.	SA
TOOLTIP_APPLY_STUN_PCT	Probabilità di svenimento: %d%%	SA
TOOLTIP_ARMOR	Armatura
TOOLTIP_ARROW	Freccia
TOOLTIP_ASSASSIN	Ninja
TOOLTIP_ATTBONUS_PER_ANIMAL	Forte contro animali (+%d%% del valore totale)	SA
TOOLTIP_ATTBONUS_PER_CZ	Forte contro mostri Zodiaco (+%d%% del valore totale)	SA
TOOLTIP_ATTBONUS_PER_DESERT	Forte contro mostri del deserto (+%d%% del valore totale)	SA
TOOLTIP_ATTBONUS_PER_DEVIL	Forte contro Diavolo (+%d%% del valore totale)	SA
TOOLTIP_ATTBONUS_PER_HUMAN	Forte vs Mezziuomini (+%d%% del valore totale)	SA
TOOLTIP_ATTBONUS_PER_INSECT	Forte contro insetti (+%d%% del valore totale)	SA
TOOLTIP_ATTBONUS_PER_MILGYO	Forte contro Esoterici (+%d%% del valore totale)	SA
TOOLTIP_ATTBONUS_PER_MONSTER	Forza vs mostri (+%d%% del valore totale)	SA
TOOLTIP_ATTBONUS_PER_ORC	Forte contro orchi (+%d%% del valore totale)	SA
TOOLTIP_ATTBONUS_PER_STONE	Forte contro Rocce Metin (+%d%% del valore totale)	SA
TOOLTIP_ATTBONUS_PER_UNDEAD	Forte contro zombie (+%d%% del valore totale)	SA
TOOLTIP_ATTBONUS_STONE	+%d%% forte contro Rocce Metin	SA
TOOLTIP_ATT_GRADE	Valore d'attacco +%d	SA
TOOLTIP_ATT_SPEED	Velocità d'attacco +%d%%	SA
TOOLTIP_ATT_SPEED_SLOW	Velocità di attacco ridotta	SNA
TOOLTIP_AUTO_DAMAGE_POTION_REST	Tempo rimanente: %d
TOOLTIP_AUTO_PICKUP	Vi è una certa probabilità (%d%%) che gli item nelle vicinanze vengano raccolti automaticamente per 30 secondi	SA
TOOLTIP_AUTO_POTION_HP	Elisir del Sole
TOOLTIP_AUTO_POTION_REST	Quantità rimasta: %.2f%%
TOOLTIP_AUTO_POTION_SP	Elisir della Luna
TOOLTIP_AUTO_POTION_USING	Attivo
TOOLTIP_AUTO_SYSTEM_PRIMIUM	Autocaccia	SNA
TOOLTIP_BATTLE_POTION	Pozione da battaglia per la zona di combattimento	SNA
TOOLTIP_BATTLE_ROYALE_AFFECT_INFINITE_STAMINA	Resistenza infinita	SNA
TOOLTIP_BATTLE_ROYALE_AFFECT_MOVE_SPEED	Velocità di movimento aumentata	SNA
TOOLTIP_BATTLE_ROYALE_AFFECT_SLOW	Velocità di movimento diminuita	SNA
TOOLTIP_BOW_DISTANCE	Portata +%dm	SA
TOOLTIP_BUYPRICE	Prezzo: %s
TOOLTIP_CAST_SPEED	Velocità della magia +%d%%	SA
TOOLTIP_CON	Vitalità  +%d	SA
TOOLTIP_CONFUSION_IMMUNE	Immune alla Confusione
TOOLTIP_COSTUME_ATTR_BONUS	Bonus costume %d%%	SA
TOOLTIP_CURSE_OF_DARKNESS_UI_CONTENT	Aumenta l'attacco e la difesa\ndi Aamon a ogni utilizzo e gli permette di usare le abilità più spesso.\nDopo 5 utilizzi, puoi usare il potere dei Frammenti di sole\ncon l'aiuto di Albira per eliminare la Maledizione Ombra di Luna.
TOOLTIP_CURSE_OF_DARKNESS_UI_TITLE	Maledizione Ombra di Luna (%d volta)
TOOLTIP_CURSE_OF_ELEMENTAL	Maledizione elementale (accumulata %d volta/e). I tuoi HP diminuiscono costantemente. Si può accumulare fino a 10 volte.	SA
TOOLTIP_DAMAGE_HP_RECOVERY	Assorbe %d%% di danno come HP	SA
TOOLTIP_DAMAGE_SP_RECOVERY	Assorbe %d%% di danno come MP	SA
TOOLTIP_DEF_GRADE	Difesa +%d	SA
TOOLTIP_DEX	Destrezza +%d	SA
TOOLTIP_DISMOUNT_MOVE_SPEED_BONUS_PER	Quando scendi dalla cavalcatura, la Velocità di movimento aumenta del %d%% per 10 secondi	SA
TOOLTIP_DRAGON_SOUL_DECK1	Cielo	SNA
TOOLTIP_DRAGON_SOUL_DECK2	Terra	SNA
TOOLTIP_DS_SET	Effetto set DSS	SNA
TOOLTIP_DURATION	Durata
TOOLTIP_EAR	Orecchino
TOOLTIP_ENCHANT_PER_DARK	Forza dell'oscurità (+%d%% del valore totale)	SA
TOOLTIP_ENCHANT_PER_EARTH	Forza della terra (+%d%% del valore totale)	SA
TOOLTIP_ENCHANT_PER_ELECT	Forza del fulmine (+%d%% del valore totale)	SA
TOOLTIP_ENCHANT_PER_FIRE	Forza del fuoco (+%d%% del valore totale)	SA
TOOLTIP_ENCHANT_PER_ICE	Forza del ghiaccio (+%d%% del valore totale)	SA
TOOLTIP_ENCHANT_PER_WIND	Forza del vento (+%d%% del valore totale)	SA
TOOLTIP_ENERGY	Energia %d	SA
TOOLTIP_ETC	Ecc.
TOOLTIP_EXP_BONUS_EVENT	EXP +%d%%	SA
TOOLTIP_FIFTH_ATTRIBUTE_BONUS	5° bonus aggiunto +%d%%	SA
TOOLTIP_FIRST_ATTRIBUTE_BONUS	1° bonus aggiunto +%d%%	SA
TOOLTIP_FISHINGROD_EXP	Punti: %d / %d
TOOLTIP_FISHINGROD_LEVEL	Forza: %d
TOOLTIP_FISHINGROD_UPGRADE1	Consegnare al pescatore
TOOLTIP_FISHINGROD_UPGRADE2	per ottenere una migliore
TOOLTIP_FISHINGROD_UPGRADE3	canna da pesca
TOOLTIP_FISH_LEN	Lunghezza: %.2fcm
TOOLTIP_FLOWER_EVENT_SHOOT_ENVELOPE	Semi di fiori
TOOLTIP_FOURTH_ATTRIBUTE_BONUS	4° bonus aggiunto +%d%%	SA
TOOLTIP_GLOVE	Guanti
TOOLTIP_GLOVE_BASE_EFFECT_INCREASE	Gli attributi base dei tuoi guanti aumentano: +%d%%.	SA
TOOLTIP_GOLDEN_LAND_OASIS_SHOP_MERCH_REMAIN_COUNT	Acquisti rimanenti: %d
TOOLTIP_GUILD_BUILDING_BUILD_ACCE_1	Gioielliere
TOOLTIP_GUILD_BUILDING_BUILD_ACCE_2	(Scarpe, orecchini, braccialetti, collane e talismani)
TOOLTIP_GUILD_BUILDING_BUILD_ARMOR_1_1	Negozio di Armature
TOOLTIP_GUILD_BUILDING_BUILD_ARMOR_1_2	(Armature, scudi ed elmi)
TOOLTIP_GUILD_BUILDING_BUILD_ARMOR_2_1	Negozio di Armature Speciale
TOOLTIP_GUILD_BUILDING_BUILD_ARMOR_2_2	(Guanti e cinture)
TOOLTIP_GUILD_BUILDING_BUILD_WEAPON_1	Negozio di Armi
TOOLTIP_GUILD_BUILDING_BUILD_WEAPON_2	(Armi)
TOOLTIP_GUILD_BUILDING_GLOVE_1	Pellettiere
TOOLTIP_GUILD_BUILDING_GLOVE_2	(Guanti)
TOOLTIP_GUILD_BUILDING_GLOVE_SHOP_1	Laboratorio pelli
TOOLTIP_GUILD_BUILDING_GLOVE_SHOP_2	(Accesso all'Intagliatrice)
TOOLTIP_GUILD_SKILL_ACCEL	Accelerazione +%d	SA
TOOLTIP_GUILD_SKILL_BLESS	Benedizione del Dio Drago +%d	SA
TOOLTIP_GUILD_SKILL_BLOOD	Sangue del Dio Drago +%d	SA
TOOLTIP_GUILD_SKILL_BUNNO	Rabbia del Dio Drago +%d%%	SA
TOOLTIP_GUILD_SKILL_JUMUN	Aiuto della magia +%d%%	SA
TOOLTIP_GUILD_SKILL_SEONGHWI	Armatura benedetta +%d	SA
TOOLTIP_GUILD_SKILL_WHITE_DRAGON_BLESS	Tempesta di Balathor \nNessuno svenimento e rallentamento\n	SNA
TOOLTIP_GUILD_SKILL_WHITE_DRAGON_FIRMNESS	Indomabilità di Balathor \nNo contraccolpo\n	SNA
TOOLTIP_GUILD_SKILL_WHITE_DRAGON_RESOLUTION	Volontà di Balathor \nNessuno stordimento, catene e congelamento\n	SNA
TOOLTIP_HALLOWEEN_EVENT_BUFF	+20% di EXP | +5% di drop di item | +10% di Forza vs mostri	SNA
TOOLTIP_HELMET	Elmo
TOOLTIP_HIT_AREA_ELEC_ATTACK	Attacca i mostri vicini con fulmini che infliggono danni pari all'attacco normale.	SNA
TOOLTIP_HIT_AUTO_HP_RECOVERY	Durante il combattimento ottieni l'effetto dell'Elisir del Sole	SNA
TOOLTIP_HIT_AUTO_SP_RECOVERY	Durante il combattimento ottieni l'effetto dell'Elisir della Luna	SNA
TOOLTIP_HIT_BUFF_ENCHANT_DARK	Forza dell'oscurità per %d sec. in battaglia	SA
TOOLTIP_HIT_BUFF_ENCHANT_EARTH	Forza della terra per %d sec. in battaglia	SA
TOOLTIP_HIT_BUFF_ENCHANT_ELEC	Forza del fulmine per %d sec. in battaglia	SA
TOOLTIP_HIT_BUFF_ENCHANT_FIRE	Forza del fuoco per %d sec. in battaglia	SA
TOOLTIP_HIT_BUFF_ENCHANT_ICE	Forza del ghiaccio per %d sec. in battaglia	SA
TOOLTIP_HIT_BUFF_ENCHANT_WIND	Forza del vento per %d sec. in battaglia	SA
TOOLTIP_HIT_BUFF_RESIST_DARK	Resistenza vs. Oscurità per %d sec. in battaglia	SA
TOOLTIP_HIT_BUFF_RESIST_EARTH	Resistenza terra per %d sec. in battaglia	SA
TOOLTIP_HIT_BUFF_RESIST_ELEC	Resistenza lampo per %d sec. in battaglia	SA
TOOLTIP_HIT_BUFF_RESIST_FIRE	Resistenza fuoco per %d sec. in battaglia	SA
TOOLTIP_HIT_BUFF_RESIST_ICE	Resistenza ghiaccio per %d sec. in battaglia	SA
TOOLTIP_HIT_BUFF_RESIST_WIND	Resistenza vento per %d sec. in battaglia	SA
