ACCE_ABSORB_COST	Ñòîèìîñòü ñî÷åòàíèÿ: %d
TOOLTIP_AFFECT_LUCKY_EVENT	Óñèëåíèå ê «Òğàâëå ìîíñòğîâ»	SNA
TOOLTIP_AFFECT_MERCENARY_MAX_ACTIVE_INCREASE	Ïîâûøàåò ìàêñ. çàïàñ ñèë íà +%d	SA
TOOLTIP_AFFECT_MIND_CONTROL	Òåìíîå âëèÿíèå	SNA
TOOLTIP_AFFECT_MI_BUFF	Óñèëåíèå çà çàõâàò \n%s
TOOLTIP_AFFECT_MOUNT_FALL	Ïàäåíèå ñ åçäîâîãî æèâîòíîãî	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_ATTACK_SPEED	Áóğíûé íàòèñê	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_EFFECT_UP	Óñèëèâàåò ıôôåêò ñêà÷êè	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_EXP	Îïûò	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_GYEONGGONG	Ëåãêàÿ ïîõîäêà	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_HIT_PCT	Ìåòêîñòü	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_INVINCIBILITY	Íåïîáåäèìîñòü	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_JOB_ASSASIN	Ñèëà ïğîòèâ Íèíäçÿ
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_JOB_SHAMAN	Ñèëà ïğîòèâ Øàìàíîâ
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_JOB_SURA	Ñèëà ïğîòèâ ñóğ
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_JOB_WARRIOR	Ñèëà ïğîòèâ Âîèíîâ
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_JOB_WOLF	Ñèëà ïğîòèâ Ëèêàíîâ
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_KNOCKBACK	Áåç îòäà÷è	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_NIMBLE	Ëîâêèå êîïûòà	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_ANIMAL	Ñèëà ïğîòèâ çâåğåé
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_CZ	Ñèëà ïğîòèâ çîäèàê-ìîíñòğîâ
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_DESSERT	Ñèëà ïğîòèâ ìîíñòğîâ ïóñòûíè
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_DEVIL	Ñèëà ïğîòèâ äüÿâîëîâ
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_HUMAN	Ñèëà ïğîòèâ ïîëóëşäåé
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_INSECT	Ñèëà ïğîòèâ íàñåêîìûõ
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_MILGYO	Ñèëà ïğîòèâ ìèñòèêîâ
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_MONSTER	Ñèëà ïğîòèâ âñåõ ìîíñòğîâ
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_UNDEAD	Ñèëà ïğîòèâ íåæèòè
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_WONGGUI	Ñèëà ïğîòèâ îğêîâ
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_SUNGMA_HP	Âîëÿ Ñóíã Ìà (ÇÄÎĞ)	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_SUNGMA_IMMUNE	Âîëÿ Ñóíã Ìà (ÈÍÒ)	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_SUNGMA_MOVE	Âîëÿ Ñóíã Ìà (ÑÎÏĞ)	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_SUNGMA_STR	Âîëÿ Ñóíã Ìà (ÑÈË)	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_TO_STRONG	Ñêà÷êà	SNA
TOOLTIP_AFFECT_NORMAL_ATTACK_DAMAGE_BUFF	%0.1f x Óğîí îò îáû÷íûõ àòàê
TOOLTIP_AFFECT_NORMAL_ATTACK_FORCE_TYPE	Îòçâóê ñèëû
TOOLTIP_AFFECT_NO_FALLEN	Ñîïğîòèâëÿåìîñòü ê ïàäåíèş	SNA
TOOLTIP_AFFECT_OTHER_WORLD_DEAD_SOUL	Ìàêñ. çàïàñ ÕÏ Àñìîäåÿ ñíèæåí íà %d%%.	SA
TOOLTIP_AFFECT_OTHER_WORLD_GOBLIN_PROTECTION	Íà êàğòå «Ïîãèáåëü» íà âàñ íå äåéñòâóåò çàêëÿòèå Àñìîäåÿ.	SNA
TOOLTIP_AFFECT_OTHER_WORLD_YEOMWANG_CURSE	Óğîí ìîíñòğàì ñíèæåí íà 30%.	SNA
TOOLTIP_AFFECT_PASWAE	Íà 5 ñåêóíä ñíèæàåò çàùèòó è ñêîğîñòü ïåğåäâèæåíèÿ.
TOOLTIP_AFFECT_POLYMORPH	Ïğåâğàùåíèå	SNA
TOOLTIP_AFFECT_POLYMORPH_DEBUFF	Ïğåâğàùåíèå (îñëàáëåíèå)	SNA
TOOLTIP_AFFECT_PREMIUM_MEMBERSHIP_BUFF	Ïîäïèñêà Metin+\n\nÂñå ïîäğîáíîñòè è íàñòğîéêè ïî ïîäïèñêå Metin+ âû íàéäåòå íà åå âåá-ñàéòå, íàæàâ íà «×òî íîâîãî?».	SNA
TOOLTIP_AFFECT_PREMIUM_PRIVATE_SHOP	Ëè÷íàÿ ïğåìèóì-ëàâêà	SNA
TOOLTIP_AFFECT_RAMADNA_CANDY	Ñëàäîñòè\nÑêîğîñòü ïåğåäâèæåíèÿ +10\nÓğîí îò àòàê +5 %\nÎïûò +10 %	SNA
TOOLTIP_AFFECT_RANJU	Ãëèíòâåéí\nÑêîğîñòü ïåğåäâèæåíèÿ +10\nÓğîí îò àòàê +5 %\nÎïûò +10 %	SNA
TOOLTIP_AFFECT_RCAST_SPEED	Óâåëè÷èòü âğåìÿ ïåğåçàğÿäêè	SNA
TOOLTIP_AFFECT_RED_DRAGONLAIR_BUFF	Ñîïğîòèâëåíèå óğîíó îò íàâûêîâ +15% | Ñîïğîòèâëåíèå óğîíó îò îáû÷íûõ àòàê +15%	SNA
TOOLTIP_AFFECT_REFINE_FREE_MATERIAL	Áëàãîñëîâëåíèå ïğè àêòèâàöèè ãàğàíòèğóåò, ÷òî ïğè ñëåäóşùåì óëó÷øåíèè íå ïîòğàòÿòñÿ ìàòåğèàëû.	SNA
TOOLTIP_AFFECT_RESEARCHER_ELIXIR	İëèêñèğ Èññëåäîâàòåëÿ	SNA
TOOLTIP_AFFECT_RHP_REGEN	Îòäûõàòü íåëüçÿ	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_01	Áîíóñ ñêëàäà\n +3% ê îïûòó	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_02	Áîíóñ ñêëàäà\n+20 ê çàùèòå	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_03	Áîíóñ ñêëàäà\n+1% ê î÷êàì æèçí. ıíåğãèè	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_04	Áîíóñ ñêëàäà\n+3% ê ñèëå ïğîòèâ ìîíñòğîâ	SNA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_A	Óñïåøíî ïğîéäÿ Õğàì çìåè èëè Áåçäíó ñåâåğíîãî âåòğà, âû ïîëó÷èòå áîíóñíûé ÿùèê ñ ñîêğîâèùàìè.	SNA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_B	Óñïåøíî ïğîéäÿ Õğàì Çîäèàêà èëè ïîáåäèâ Éîòóí Òğèìà, âû ïîëó÷èòå áîíóñíûé ÿùèê ñ ñîêğîâèùàìè.	SNA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_C	Ïîáåäèâ Àçğàıëÿ èëè Áåğàí-Ñåòó, âû ïîëó÷èòå áîíóñíûé ëàğåö ñ ñîêğîâèùàìè.	SNA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_POINT_A	Ïğîãğåññ ïî Õğàìó çàãàäêè (áîíóñ A): %d	SA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_POINT_B	Ïğîãğåññ ïî Õğàìó çàãàäêè (áîíóñ B): %d	SA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_POINT_C	Ïğîãğåññ ïî Õğàìó çàãàäêè (áîíóñ C): %d	SA
TOOLTIP_AFFECT_SET_ITEM_1	Ñâÿùåííûé áîíóñ çà íàáîğ	SNA
TOOLTIP_AFFECT_SET_ITEM_2	Ğîñêîøíûé áîíóñ çà íàáîğ	SNA
TOOLTIP_AFFECT_SET_ITEM_3	Ğûöàğñêèé áîíóñ çà íàáîğ	SNA
TOOLTIP_AFFECT_SET_ITEM_4	Öàğñêèé áîíóñ çà íàáîğ	SNA
TOOLTIP_AFFECT_SET_ITEM_5	Âûäàşùèéñÿ áîíóñ çà íàáîğ	SNA
TOOLTIP_AFFECT_SHACKLE	Êàíäàëû
TOOLTIP_AFFECT_SKILL_ATTACK_DAMAGE_BUFF	%0.1f x Óğîí îò íàâûêîâ
TOOLTIP_AFFECT_SKILL_ATTACK_FORCE_TYPE	Îòçâóê óìåíèÿ
TOOLTIP_AFFECT_SNOWFLAKE_STICK_EVENT_RANK_BUFF	Çèìíèå ÷àğû	SNA
TOOLTIP_AFFECT_SNOWFLAKE_STICK_EVENT_RANK_BUFF_ACQUIRED	: ïîëó÷åí\n
TOOLTIP_AFFECT_SNOWFLAKE_STICK_EVENT_RANK_BUFF_NOT_ACQUIRED	: íå ïîëó÷åí\n
TOOLTIP_AFFECT_SNOWFLAKE_STICK_EVENT_SNOWFLAKE_BUFF_1	Ñíåæíûå ÷àğû	SNA
TOOLTIP_AFFECT_SNOWFLAKE_STICK_EVENT_SNOWFLAKE_BUFF_2	Âû ìîæåòå ïîëó÷àòü ñíåæêè è âåòêè ñíåãîâèêà èç ïîáåæäåííûõ ìîíñòğîâ.
TOOLTIP_AFFECT_SUNGMAHEE_TOWER_CURSE	Çàêëÿòèå Ñóíã Ìàõè (íàêîïëåíî: %d). Âàøå ÷èñëî ÎÇ ñ êàæäûì çàğÿäîì óìåíüøàåòñÿ íà 10%% êàæäûå 10 ñåê. Ìîæåò íàêàïëèâàòüñÿ äî 10 ğàç.	SA
TOOLTIP_AFFECT_SUNGMA_ALL	Ïîâûøàåò âñå ïîêàçàòåëè Ñóíã Ìà íà 10%.	SNA
TOOLTIP_AFFECT_SUNGMA_DESC	İòî ìåñòî íàïîëíåíî âîëåé Ñóíã Ìàõè.
TOOLTIP_AFFECT_SUNGMA_HP	Âîëÿ Ñóíã Ìà (ÇÄÎĞ): %d
TOOLTIP_AFFECT_SUNGMA_HP_BUFF	Ïîâûøàåò âàøó âîëş Ñóíã Ìà (ÇÄÎĞ) íà +%d.	SA
TOOLTIP_AFFECT_SUNGMA_IMMUNE	Âîëÿ Ñóíã Ìà (ÈÍÒ): %d
TOOLTIP_AFFECT_SUNGMA_IMMUNE_BUFF	Ïîâûøàåò âàøó âîëş Ñóíã Ìà (ÈÍÒ) íà +%d.	SA
TOOLTIP_AFFECT_SUNGMA_MOVE	Âîëÿ Ñóíã Ìà (ÑÎÏĞ): %d
TOOLTIP_AFFECT_SUNGMA_MOVE_BUFF	Ïîâûøàåò âàøó âîëş Ñóíã Ìà (ÑÎÏĞ) íà +%d.	SA
TOOLTIP_AFFECT_SUNGMA_MOVE_DEBUFF	-20 ê âîëå Ñóíã Ìà (ÑÎÏĞ)	SNA
TOOLTIP_AFFECT_SUNGMA_STR	Âîëÿ Ñóíã Ìà (ÑÈË): %d
TOOLTIP_AFFECT_SUNGMA_STR_BUFF	Ïîâûøàåò âàøó âîëş Ñóíã Ìà (ÑÈË) íà +%d.	SA
TOOLTIP_AFFECT_SUNGMA_STR_DEBUFF	-20 ê âîëå Ñóíã Ìà (ÑÈË)	SNA
TOOLTIP_AFFECT_WHITE_DRAGON_BLESS	Îñòàëîñü çàğÿäîâ 10%%-ãî áîíóñà ê óğîíó: %d
TOOLTIP_AFFECT_WORLD_BOSS_DAILY_REWARD	Åæåäíåâíûé áîíóñ çà ìèğîâîãî áîññà\n Ïîêàçàòåëü àòàêè +%d%%	SA
TOOLTIP_AFFECT_WORLD_BOSS_REWARD	Ğàíãîâûé áîíóñ çà ìèğîâîãî áîññà\n Âûïàäåíèå ïğåäìåòîâ +%d	SA
TOOLTIP_ALIGNMENT_DAMAGE_BONUS	Ïğè ìàëîì ÷èñëå î÷êîâ ğåéòèíãà ïîâûøàåòñÿ íàíîñèìûé óğîí.	SNA
TOOLTIP_ANTI_CRITICAL_PCT	Ñîïğîòèâëåíèå êğèòè÷åñêèì óäàğàì +%d%%	SA
TOOLTIP_ANTI_PENETRATE_PCT	Ñîïğîòèâëåíèå ïğîíçàşùèì óäàğàì +%d%%	SA
TOOLTIP_ANTI_SELL	Â ìàãàçèíå íå ïğîäà¸òñÿ.
TOOLTIP_APPLY_ACCEDRAIN_RATE	Äîëÿ ïîãëîùåíèÿ: %d%%	SA
TOOLTIP_APPLY_ATTBONUS_ANIMAL	Ñèëà ïğîòèâ çâåğåé +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ASSASSIN	Ñèëà ïğîòèâ Íèíäçÿ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_BELL	Íàäëîì çàùèòû îò êîëîêîëü÷èêîâ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_BOW	Íàäëîì çàùèòû îò ñòğåë +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_CLAW	Íàäëîì çàùèòû îò êîãòåé +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_CZ	Ñèëà ïğîòèâ çîäèàê-ìîíñòğîâ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DAGGER	Íàäëîì çàùèòû îò êèíæàëîâ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DESERT	Ñèëà ïğîòèâ ìîíñòğîâ ïóñòûíè +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DEVIL	Ñèëà ïğîòèâ Äüÿâîëà +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DRAGON	Ñèëà ïğîòèâ äğàêîíîâ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_FAN	Íàäëîì çàùèòû îò âååğîâ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_HUMAN	Ñèëà ïğîòèâ  Ïîëóëşäåé +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_INSECT	Ñèëà ïğîòèâ íàñåêîìûõ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MILGYO	Ñèëà ïğîòèâ Ìèñòèêîâ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MONSTER	Ñèëà ïğîòèâ Ìîíñòğîâ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MOON	Ñèëà ïğîòèâ ìîíñòğîâ Ëóííîé òåíè +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MYSTERY_DUNGEON	Ñèëà ïğîòèâ çàãàäîê +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ORC	Ñèëà ïğîòèâ Îğêîâ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SHAMAN	Ñèëà ïğîòèâ Øàìàíîâ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SURA	Ñèëà ïğîòèâ Ñóğà +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SWORD	Íàäëîì çàùèòû îò ìå÷åé +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_TWOHAND	Íàäëîì çàùèòû îò äâóğó÷íîãî îğóæèÿ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_UNDEAD	Ñèëà ïğîòèâ Íåæèòè +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WARRIOR	Ñèëà ïğîòèâ Âîèíîâ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WOLFMAN	Ñèëà ïğîòèâ ëèêàíà + %d%%	SA
TOOLTIP_APPLY_BLEEDING_PCT	Âûçâàòü êğîâîòå÷åíèå + %d%%	SA
TOOLTIP_APPLY_BLEEDING_REDUCE	Ñîïğîòèâëåíèå êğîâîòå÷åíèş + %d%%	SA
TOOLTIP_APPLY_BLOCK	Øàíñ íà áëîêàöèş ôèçè÷åñêîé àòàêè %d%%	SA
TOOLTIP_APPLY_BLOCK_PENETRATE_PCT	+%d%% ê ïğîáèòèş áëîêà	SA
TOOLTIP_APPLY_BONUS_BLOCK_PENETRATE_PCT	+%d%% îò îáùåãî çíà÷åíèÿ ïğîáèòèÿ áëîêà	SA
TOOLTIP_APPLY_BONUS_HIT_PCT	+%d%% ê ìåòêîñòè	SA
TOOLTIP_APPLY_COMBAT_SP_RECOVER	Âîññòàíîâëåíèå ÌÏ â áîş êàæäûå 5 Ñåê. %d	SA
TOOLTIP_APPLY_CONFUSION_TO_MOB	Øàíñ íà ñìÿòåíèå: %0.1f%%	SA
TOOLTIP_APPLY_CRITICAL_PCT	%d%% øàíñîâ íà Êğèòè÷åñêèé óäàğ	SA
TOOLTIP_APPLY_DAMAGE_SP_RECOVER	%d%% øàíñîâ âîññòàíîâèòü ÌÏ ïğè ïîïàäàíèè	SA
TOOLTIP_APPLY_DODGE	Øàíñ íà óâåğíóòüñÿ îò ñòğåëû %d%%	SA
TOOLTIP_APPLY_ENCHANT_DARK	Ñèëà òüìû +%d%%	SA
TOOLTIP_APPLY_ENCHANT_DARK2	Ñèëà òüìû +%d%% ~ +%d%%
TOOLTIP_APPLY_ENCHANT_EARTH	Ñèëà çåìëè +%d%%	SA
TOOLTIP_APPLY_ENCHANT_EARTH2	Ñèëà çåìëè +%d%% ~ +%d%%
TOOLTIP_APPLY_ENCHANT_ELECT	Ñèëà ìîëíèé +%d%%	SA
TOOLTIP_APPLY_ENCHANT_ELECT2	Ñèëà ìîëíèé +%d%% ~ +%d%%
TOOLTIP_APPLY_ENCHANT_FIRE	Ñèëà îãíÿ +%d%%	SA
TOOLTIP_APPLY_ENCHANT_FIRE2	Ñèëà îãíÿ +%d%% ~ +%d%%
TOOLTIP_APPLY_ENCHANT_ICE	Ñèëà ëüäà +%d%%	SA
TOOLTIP_APPLY_ENCHANT_ICE2	Ñèëà ëüäà +%d%% ~ +%d%%
TOOLTIP_APPLY_ENCHANT_WIND	Ñèëà âåòğà +%d%%	SA
TOOLTIP_APPLY_ENCHANT_WIND2	Ñèëà âåòğà +%d%% ~ +%d%%
TOOLTIP_APPLY_EXP_DOUBLE_BONUS	%d%% øàíñîâ íà áîíóñ ê îïûòó	SA
TOOLTIP_APPLY_GOLD_DOUBLE_BONUS	%d%% øàíñîâ âûáğîñèòü âäâîå áîëüøå ÿíã	SA
TOOLTIP_APPLY_IMMUNE_BLEEDING100	Èììóíèòåò ïğîòèâ êğîâîòå÷åíèÿ	SNA
TOOLTIP_APPLY_IMMUNE_FALL	Èììóííûé ïğîòèâ ïàäåíèÿ	SNA
TOOLTIP_APPLY_IMMUNE_POISON100	Èììóíèòåò ïğîòèâ ÿäà	SNA
TOOLTIP_APPLY_IMMUNE_SLOW	Çàùèòà îò çàìåäëåíèÿ	SNA
TOOLTIP_APPLY_IMMUNE_STUN	Çàùèòà îò ãîëîâîêğóæåíèÿ	SNA
TOOLTIP_APPLY_ITEM_DROP_BONUS	%d%% øàíñîâ âûáğîñèòü âäâîå áîëüøå ïğåäìåòîâ	SA
TOOLTIP_APPLY_KILL_HP_RECOVER	%d%% øàíñîâ âîññòàíîâèòü ÕÏ	SA
TOOLTIP_APPLY_KILL_SP_RECOVER	%d%% øàíñîâ âîññòàíîâèòü ÌÏ	SA
TOOLTIP_APPLY_MANA_BURN_PCT	%d%% øàíñîâ çàáğàòü MP ïğîòèâíèêà	SA
TOOLTIP_APPLY_MAX_HP_PCT	Ìàêñ. ÕÏ +%d%%	SA
TOOLTIP_APPLY_MAX_SP_PCT	Ìàêñ. ÌÏ +%d%%	SA
TOOLTIP_APPLY_MONSTER_DEFEND_BONUS	Ñîïğîòèâëåíèå àòàêàì ìîíñòğîâ %d	SA
TOOLTIP_APPLY_NOAFFECT	Áåç ğåçóëüòàòà
TOOLTIP_APPLY_NO_DEATH_PENALTY	Îòñóòñòâèå ïîòåğè îïûòà â ñëó÷àå ñìåğòè.	SNA
TOOLTIP_APPLY_NO_DEATH_PENALTY_PLUS	Áîã-Äğàêîí ğàñïğîñòåğ íàä âàìè ñâîè êğûëüÿ. Êîãäà âàñ îæèâëÿşò íà ìåñòå ãèáåëè, âû íå òåğÿåòå î÷êè îïûòà.	SNA
TOOLTIP_APPLY_PENETRATE_PCT	%d%% øàíñîâ íà íàíåñåíèå ïğîíçàşùåãî óäàğà	SA
TOOLTIP_APPLY_POISON_PCT	Øàíñû íà îòğàâëåíèå :%d%%	SA
TOOLTIP_APPLY_POISON_REDUCE	Ñîïğîòèâëåíèå ÿäó %d%%	SA
TOOLTIP_APPLY_POTION_BONUS	Çåëüå %d%% ğîñò ıôôåêòà	SA
TOOLTIP_APPLY_REFLECT_CURSE	%d%% øàíñîâ îòğàçèòü çàêëèíàíèå	SA
TOOLTIP_APPLY_REFLECT_MELEE	%d%%  øàíñîâ îòğàçèòü ôèçè÷åñêóş àòàêó	SA
TOOLTIP_APPLY_REFUSE_EXP	Íå ñîáèğàòü îïûò	SNA
TOOLTIP_APPLY_RESIST_ASSASSIN	Øàíñû íà îòğàæåíèå Íèíäçÿ %d%%	SA
TOOLTIP_APPLY_RESIST_BELL	Çàùèòà îò óäàğà êîëîêîëü÷èêîì  %d%%	SA
TOOLTIP_APPLY_RESIST_CLAW	Çàùèòà îò êîãòåé + %d%%	SA
TOOLTIP_APPLY_RESIST_DAGGER	Çàùèòà îò óäàğà êèíæàëîì %d%%	SA
TOOLTIP_APPLY_RESIST_FAN	Çàùèòà îò óäàğà âååğîì %d%%	SA
TOOLTIP_APPLY_RESIST_HUMAN	Ñîïğîòèâëÿåìîñòü ïîëóëşäÿì%d%%	SA
TOOLTIP_APPLY_RESIST_MOUNT_FALL	Ñîïğîòèâëÿåìîñòü ê ïàäåíèş +%d%%	SA
TOOLTIP_APPLY_RESIST_SHAMAN	Øàíñû íà îòğàæåíèå àòàêè Øàìàíîâ  %d%%	SA
TOOLTIP_APPLY_RESIST_SURA	Øàíñû íà îòğàæåíèå àòàêè Ñóğà %d%%	SA
TOOLTIP_APPLY_RESIST_SWORD	Çàùèòà îò óäàğà ìå÷îì %d%%	SA
TOOLTIP_APPLY_RESIST_TWOHAND	Çàùèòà îò äâóğó÷íîãî îğóæèÿ %d%%	SA
TOOLTIP_APPLY_RESIST_WARRIOR	Øàíñû íà îòğàæåíèå àòàê Âîèíîâ %d%%	SA
TOOLTIP_APPLY_RESIST_WIND	Ñîïğîòèâëÿåìîñòü âåòğó %d%%	SA
TOOLTIP_APPLY_RESIST_WOLFMAN	Øàíñ îòğàçèòü àòàêó ëèêàíà %d%%	SA
TOOLTIP_APPLY_SKILL_BOOK_BONUS	Øàíñû ïğè îáó÷åíèè ïî êíèãàì óâåëè÷åíû â 2,5 ğàçà	SNA
TOOLTIP_APPLY_SKILL_BOOK_NO_DELAY	Åñëè îáó÷åíèå íå óäàëîñü, Âû ìîæåòå òóò æå ïîïğîáîâàòü åùå ğàç.	SNA
TOOLTIP_APPLY_SLOW_PCT	Øàíñû íà çàìåäëåíèå: %d%%	SA
TOOLTIP_APPLY_STEAL_HP	Óğîí %d%% äîáàâëÿåòñÿ ê ÕÏ.	SA
TOOLTIP_APPLY_STEAL_SP	Óğîí %d%% äîáàâëÿåòñÿ ê ÌÏ.	SA
TOOLTIP_APPLY_STUN_PCT	Øàíñû íà ãîëîâîêğóæåíèå:  %d%%	SA
TOOLTIP_ARMOR	Áğîíÿ
TOOLTIP_ARROW	Ñòğåëà
TOOLTIP_ASSASSIN	Íèíäçÿ
TOOLTIP_ATTBONUS_PER_ANIMAL	Ñèëà ïğîòèâ çâåğåé (+%d%% îò îáùåãî çíà÷åíèÿ)	SA
TOOLTIP_ATTBONUS_PER_CZ	Ñèëà ïğîòèâ çîäèàê-ìîíñòğîâ (+%d%% îò îáùåãî çíà÷åíèÿ)	SA
TOOLTIP_ATTBONUS_PER_DESERT	Ñèëà ïğîòèâ ìîíñòğîâ ïóñòûíè (+%d%% îò îáùåãî çíà÷åíèÿ)	SA
TOOLTIP_ATTBONUS_PER_DEVIL	Ñèëà ïğîòèâ äüÿâîëîâ (+%d%% îò îáùåãî çíà÷åíèÿ)	SA
TOOLTIP_ATTBONUS_PER_HUMAN	Ñèëà ïğîòèâ ïîëóëşäåé (+%d%% îò îáùåãî çíà÷åíèÿ)	SA
TOOLTIP_ATTBONUS_PER_INSECT	Ñèëà ïğîòèâ íàñåêîìûõ (+%d%% îò îáùåãî çíà÷åíèÿ)	SA
TOOLTIP_ATTBONUS_PER_MILGYO	Ñèëà ïğîòèâ ìèñòèêîâ (+%d%% îò îáùåãî çíà÷åíèÿ)	SA
TOOLTIP_ATTBONUS_PER_MONSTER	Ñèëà ïğîòèâ ìîíñòğîâ (+%d%% îò îáùåãî çíà÷åíèÿ)	SA
TOOLTIP_ATTBONUS_PER_ORC	Ñèëà ïğîòèâ îğêîâ (+%d%% îò îáùåãî çíà÷åíèÿ)	SA
TOOLTIP_ATTBONUS_PER_STONE	Ñèëà ïğîòèâ êàìíåé ìåòèíà (+%d%% îò îáùåãî çíà÷åíèÿ)	SA
TOOLTIP_ATTBONUS_PER_UNDEAD	Ñèëà ïğîòèâ íåæèòè (+%d%% îò îáùåãî çíà÷åíèÿ)	SA
TOOLTIP_ATTBONUS_STONE	+%d%% ñèëû ïğîòèâ êàìíåé ìåòèíà	SA
TOOLTIP_ATT_GRADE	Ïîêàçàòåëü àòàêè +%d	SA
TOOLTIP_ATT_SPEED	Ñêîğîñòü àòàêè +%d%%	SA
TOOLTIP_ATT_SPEED_SLOW	Ñêîğîñòü àòàêè ñíèæåíà	SNA
TOOLTIP_AUTO_DAMAGE_POTION_REST	Îñòàëîñü: %d
TOOLTIP_AUTO_PICKUP	Ó âàñ åñòü øàíñ â %d%% àâòîìàòè÷åñêè ïîäáèğàòü ïğåäìåòû ïîáëèçîñòè â òå÷åíèå 30 ñåêóíä	SA
TOOLTIP_AUTO_POTION_HP	İëèêñèğ ñîëíöà
TOOLTIP_AUTO_POTION_REST	Îñòàòîê: %.2f%%
TOOLTIP_AUTO_POTION_SP	İëèêñèğ ëóíû
TOOLTIP_AUTO_POTION_USING	Àêòèâåí
TOOLTIP_AUTO_SYSTEM_PRIMIUM	Àâòîîõîòà	SNA
TOOLTIP_BATTLE_POTION	Áîåâîå çåëüå äëÿ ïîëÿ áîÿ	SNA
TOOLTIP_BATTLE_ROYALE_AFFECT_INFINITE_STAMINA	Áåñêîíå÷íàÿ âûíîñëèâîñòü	SNA
TOOLTIP_BATTLE_ROYALE_AFFECT_MOVE_SPEED	Ñêîğîñòü ïåğåäâèæåíèÿ ïîâûøåíà	SNA
TOOLTIP_BATTLE_ROYALE_AFFECT_SLOW	Ñêîğîñòü ïåğåäâèæåíèÿ ïîíèæåíà	SNA
TOOLTIP_BOW_DISTANCE	Ğàäèóñ äåéñòâèÿ +%dm	SA
