ACCE_ABSORB_COST	Costuri combinaşie: %d
TOOLTIP_APPLY_ENCHANT_EARTH	Puterea Pãmântului +%d%%	SA
TOOLTIP_APPLY_ENCHANT_EARTH2	Puterea Pãmântului +%d%% - +%d%%
TOOLTIP_APPLY_ENCHANT_ELECT	Puterea Fulgerului +%d%%	SA
TOOLTIP_APPLY_ENCHANT_ELECT2	Puterea Fulgerului +%d%% - +%d%%
TOOLTIP_APPLY_ENCHANT_FIRE	Puterea Focului +%d%%	SA
TOOLTIP_APPLY_ENCHANT_FIRE2	Puterea Focului +%d%% - +%d%%
TOOLTIP_APPLY_ENCHANT_ICE	Puterea Gheşii +%d%%	SA
TOOLTIP_APPLY_ENCHANT_ICE2	Puterea Gheşii +%d%% - +%d%%
TOOLTIP_APPLY_ENCHANT_WIND	Puterea Vântului +%d%%	SA
TOOLTIP_APPLY_ENCHANT_WIND2	Puterea Vântului +%d%% - +%d%%
TOOLTIP_APPLY_EXP_DOUBLE_BONUS	ªansã %d%% la bonus-EXP	SA
TOOLTIP_APPLY_GOLD_DOUBLE_BONUS	ªansã %d%% de a arunca de douã ori mai mult Yang	SA
TOOLTIP_APPLY_IMMUNE_BLEEDING100	Imun la sângerare	SNA
TOOLTIP_APPLY_IMMUNE_FALL	Imun la cãzãturã	SNA
TOOLTIP_APPLY_IMMUNE_POISON100	Imun la otravã	SNA
TOOLTIP_APPLY_IMMUNE_SLOW	Apãrare împotriva încetinirii	SNA
TOOLTIP_APPLY_IMMUNE_STUN	Apãrare împotriva necunoºtinşei	SNA
TOOLTIP_APPLY_ITEM_DROP_BONUS	ªansã %d%% de a arunca de 2 ori mai multe obiecte	SA
TOOLTIP_APPLY_KILL_HP_RECOVER	ªansã %d%% de a reface PV	SA
TOOLTIP_APPLY_KILL_SP_RECOVER	ªansã %d%% de a reface PM	SA
TOOLTIP_APPLY_MANA_BURN_PCT	%d%% ºansã de a jefui SP	SA
TOOLTIP_APPLY_MAX_HP_PCT	Max. PV +%d%%	SA
TOOLTIP_APPLY_MAX_SP_PCT	Max. PM +%d%%	SA
TOOLTIP_APPLY_MONSTER_DEFEND_BONUS	Rezistenşã la atacurile monºtrilor %d	SA
TOOLTIP_APPLY_NOAFFECT	Fãrã efect
TOOLTIP_APPLY_NO_DEATH_PENALTY	Nu vei pierde puncte de experienşã dacã iti vei invia caracterul in locul in care a murit.	SNA
TOOLTIP_APPLY_NO_DEATH_PENALTY_PLUS	Zeul Dragon te ia sub aripile sale protectoare. Dacã vei reînvia acolo unde ai murit, nu vei pierde niciun punct de experienşã.	SNA
TOOLTIP_APPLY_PENETRATE_PCT	ªansã %d%% la lovituri pãtrunzãtoare	SA
TOOLTIP_APPLY_POISON_PCT	ªansã de otrãvire %d%%	SA
TOOLTIP_APPLY_POISON_REDUCE	Rezistenşa la otravã %d%%	SA
TOOLTIP_APPLY_POTION_BONUS	%d%% creºtere efect al licorii	SA
TOOLTIP_APPLY_REFLECT_CURSE	ªansa %d%% de a reflecta un blestem	SA
TOOLTIP_APPLY_REFLECT_MELEE	%d%% ºansã de a reflecta loviturile atacului corporal	SA
TOOLTIP_APPLY_REFUSE_EXP	Fãrã Experienşã Câºtigatã	SNA
TOOLTIP_APPLY_RESIST_ASSASSIN	ªansa de apãrare împotriva atacului ninja %d%%	SA
TOOLTIP_APPLY_RESIST_BELL	Apãrare clopot %d%%	SA
TOOLTIP_APPLY_RESIST_CLAW	Apãrare Ghearã +%d%%	SA
TOOLTIP_APPLY_RESIST_DAGGER	Apãrare pumnal %d%%	SA
TOOLTIP_APPLY_RESIST_FAN	Apãrare evantai %d%%	SA
TOOLTIP_APPLY_RESIST_HUMAN	Rezistenşã vs Semi-Oameni %d%%	SA
TOOLTIP_APPLY_RESIST_MOUNT_FALL	Rezistenşã la alunecare +%d%%	SA
TOOLTIP_APPLY_RESIST_SHAMAN	ªansa de apãrare împotriva atacului ºamanilor %d%%	SA
TOOLTIP_APPLY_RESIST_SURA	ªansa de apãrare împotriva atacului sura %d%%	SA
TOOLTIP_APPLY_RESIST_SWORD	Apãrare cu sabia %d%%	SA
TOOLTIP_APPLY_RESIST_TWOHAND	Apãrare cu douã mâini %d%%	SA
TOOLTIP_APPLY_RESIST_WARRIOR	ªansã de apãrare împotriva atacului rãzboinicilor: %d%%	SA
TOOLTIP_APPLY_RESIST_WIND	Rezistenşa vântului %d%%	SA
TOOLTIP_APPLY_RESIST_WOLFMAN	ªansa de apãrare împotriva atacului Lycan %d%%	SA
TOOLTIP_APPLY_SKILL_BOOK_BONUS	ªansa de a învãşa din cãrşi de 2,5 ori mai bunã	SNA
TOOLTIP_APPLY_SKILL_BOOK_NO_DELAY	Dacã învãşatul nu reuºeºte, ai încã o încercare gratuitã.	SNA
TOOLTIP_APPLY_SLOW_PCT	ªansã de încetinire %d%%	SA
TOOLTIP_APPLY_STEAL_HP	%d%% daune vor fi absorbite de PV.	SA
TOOLTIP_APPLY_STEAL_SP	%d%% daune vor fi absorbite de PM.	SA
TOOLTIP_APPLY_STUN_PCT	ªansã de necunoºtinşã %d%%	SA
TOOLTIP_ARMOR	Armurã
TOOLTIP_ARROW	Sãgeatã
TOOLTIP_ASSASSIN	Ninja
TOOLTIP_ATTBONUS_PER_ANIMAL	Tare împotriva Animale (+%d%% din valoarea totalã)	SA
TOOLTIP_ATTBONUS_PER_CZ	Tare împotriva Monºtri Zodiac (+%d%% din valoarea totalã)	SA
TOOLTIP_ATTBONUS_PER_DESERT	Tare împotriva Monºtri Deºert (+%d%% din valoarea totalã)	SA
TOOLTIP_ATTBONUS_PER_DEVIL	Tare împotriva Diavoli (+%d%% din valoarea totalã)	SA
TOOLTIP_ATTBONUS_PER_HUMAN	Tare împotriva Semi-Oameni (+%d%% din valoarea totalã)	SA
TOOLTIP_ATTBONUS_PER_INSECT	Tare împotriva Insecte (+%d%% din valoarea totalã)	SA
TOOLTIP_ATTBONUS_PER_MILGYO	Tare împotriva Mistici (+%d%% din valoarea totalã)	SA
TOOLTIP_ATTBONUS_PER_MONSTER	Putere împotriva Monºtri (+%d%% din valoarea totalã)	SA
TOOLTIP_ATTBONUS_PER_ORC	Tare împotriva Orci (+%d%% din valoarea totalã)	SA
TOOLTIP_ATTBONUS_PER_STONE	Tare împotriva Pietre Metin (+%d%% din valoarea totalã)	SA
TOOLTIP_ATTBONUS_PER_UNDEAD	Tare împotriva Vampiri (+%d%% din valoarea totalã)	SA
TOOLTIP_ATTBONUS_STONE	+%d%% putere împotriva pietrelor Metin	SA
TOOLTIP_ATT_GRADE	Valoarea atacului +%d	SA
TOOLTIP_ATT_SPEED	Viteza de atac +%d%%	SA
TOOLTIP_ATT_SPEED_SLOW	Viteza atacului redusã	SNA
TOOLTIP_AUTO_DAMAGE_POTION_REST	Timp rãmas: %d
TOOLTIP_AUTO_PICKUP	Ai ºansa de %d%% de a aduna automat obiecte din apropiere timp de 30 de secunde	SA
TOOLTIP_AUTO_POTION_HP	Elixirul Soarelui
TOOLTIP_AUTO_POTION_REST	A mai ramas: %.2f%%
TOOLTIP_AUTO_POTION_SP	Elixirul Lunii
TOOLTIP_AUTO_POTION_USING	Activ
TOOLTIP_AUTO_SYSTEM_PRIMIUM	Atac-Automat	SNA
TOOLTIP_BATTLE_POTION	Zonã de Rãzboi Licoare de Luptã	SNA
TOOLTIP_BATTLE_ROYALE_AFFECT_INFINITE_STAMINA	Rezistenşã Infinitã	SNA
TOOLTIP_BATTLE_ROYALE_AFFECT_MOVE_SPEED	Vitezã de miºcare crescutã	SNA
TOOLTIP_BATTLE_ROYALE_AFFECT_SLOW	Vitezã de miºcare scãzutã	SNA
TOOLTIP_BOW_DISTANCE	Perimetru +%dm	SA
TOOLTIP_BUYPRICE	Preş: %s
TOOLTIP_CAST_SPEED	Viteza farmecului +%d%%	SA
TOOLTIP_CON	Vitalitate +%d	SA
TOOLTIP_CONFUSION_IMMUNE	Imun la Confuzie
TOOLTIP_COSTUME_ATTR_BONUS	Bonus costum %d%%	SA
TOOLTIP_CURSE_OF_DARKNESS_UI_CONTENT	Fiecare utilizare creºte atacul ºi apãrarea lui Aamon\nºi îi permite sã foloseascã abilitãşi mai frecvent.\nDupã 5 utilizãri, poşi folosi puterea Fragmentelor de Soare\ncu ajutorul Albirei pentru a ridica Blestemul Umbra Lunii.
TOOLTIP_CURSE_OF_DARKNESS_UI_TITLE	Blestem Umbra Lunii (%dx)
TOOLTIP_CURSE_OF_ELEMENTAL	Blestem Elemente (%d suprapus) PV-ul tãu se epuizeazã. Se poate suprapune de pânã la 10 ori.	SA
TOOLTIP_DAMAGE_HP_RECOVERY	Absorbşie %d%% daune în PV	SA
TOOLTIP_DAMAGE_SP_RECOVERY	Absorbşie %d%% daune în PM	SA
TOOLTIP_DEF_GRADE	Apãrare +%d	SA
TOOLTIP_DEX	Dexteritate +%d	SA
TOOLTIP_DISMOUNT_MOVE_SPEED_BONUS_PER	La coborârea de pe mount, viteza de miºcare este crescutã cu %d%% timp de 10 secunde	SA
TOOLTIP_DRAGON_SOUL_DECK1	Cer	SNA
TOOLTIP_DRAGON_SOUL_DECK2	Pãmânt	SNA
TOOLTIP_DS_SET	Efect Set SPD	SNA
TOOLTIP_DURATION	Duratã
TOOLTIP_EAR	Cercel
TOOLTIP_ENCHANT_PER_DARK	Puterea Întunecatã (+%d%% din valoarea totalã)	SA
TOOLTIP_ENCHANT_PER_EARTH	Puterea Pãmântului (+%d%% din valoarea totalã)	SA
TOOLTIP_ENCHANT_PER_ELECT	Puterea Fulgerului (+%d%% din valoarea totalã)	SA
TOOLTIP_ENCHANT_PER_FIRE	Puterea Focului (+%d%% din valoarea totalã)	SA
TOOLTIP_ENCHANT_PER_ICE	Puterea Gheşii (+%d%% din valoarea totalã)	SA
TOOLTIP_ENCHANT_PER_WIND	Puterea Vântului (+%d%% din valoarea totalã)	SA
TOOLTIP_ENERGY	Energie %d	SA
TOOLTIP_ETC	etc.
TOOLTIP_EXP_BONUS_EVENT	EXP +%d%%	SA
TOOLTIP_FIFTH_ATTRIBUTE_BONUS	al 5lea bonus +%d%%	SA
TOOLTIP_FIRST_ATTRIBUTE_BONUS	1 bonus +%d%%	SA
TOOLTIP_FISHINGROD_EXP	Puncte: %d / %d
TOOLTIP_FISHINGROD_LEVEL	Putere: %d
TOOLTIP_FISHINGROD_UPGRADE1	Dã-o pescarului
TOOLTIP_FISHINGROD_UPGRADE2	pentru a realiza din ea
TOOLTIP_FISHINGROD_UPGRADE3	undişã
TOOLTIP_FISH_LEN	Lungime: %.2fcm
TOOLTIP_FLOWER_EVENT_SHOOT_ENVELOPE	Seminşe de Flori
TOOLTIP_FOURTH_ATTRIBUTE_BONUS	al 4lea bonus +%d%%	SA
TOOLTIP_GLOVE	Mãnuºi
TOOLTIP_GLOVE_BASE_EFFECT_INCREASE	Atributele de bazã ale mãnuºilor tale sunt mãrite cu +%d%%.	SA
TOOLTIP_GOLDEN_LAND_OASIS_SHOP_MERCH_REMAIN_COUNT	Achizişii rãmase: %d
TOOLTIP_GUILD_BUILDING_BUILD_ACCE_1	Bijutier
TOOLTIP_GUILD_BUILDING_BUILD_ACCE_2	(Pantofi, cercei, brãşãri, coliere ºi talismane)
TOOLTIP_GUILD_BUILDING_BUILD_ARMOR_1_1	Fierar Armuri
TOOLTIP_GUILD_BUILDING_BUILD_ARMOR_1_2	(Armuri, scuturi ºi coifuri)
TOOLTIP_GUILD_BUILDING_BUILD_ARMOR_2_1	Fierar Armuri Speciale
TOOLTIP_GUILD_BUILDING_BUILD_ARMOR_2_2	(Mãnuºi ºi curele)
TOOLTIP_GUILD_BUILDING_BUILD_WEAPON_1	Fierar Arme
TOOLTIP_GUILD_BUILDING_BUILD_WEAPON_2	(Arme)
TOOLTIP_GUILD_BUILDING_GLOVE_1	Tãbãcar
TOOLTIP_GUILD_BUILDING_GLOVE_2	(Mãnuºi)
TOOLTIP_GUILD_BUILDING_GLOVE_SHOP_1	Atelier de Piele
TOOLTIP_GUILD_BUILDING_GLOVE_SHOP_2	(Acces la Gravor)
TOOLTIP_GUILD_SKILL_ACCEL	Accelerare +%d	SA
TOOLTIP_GUILD_SKILL_BLESS	Binecuvântarea Zeului Dragon +%d	SA
TOOLTIP_GUILD_SKILL_BLOOD	Sângele Zeului Dragon +%d	SA
TOOLTIP_GUILD_SKILL_BUNNO	Mânia Zeului Dragon +%d%%	SA
TOOLTIP_GUILD_SKILL_JUMUN	Ajutor Fermecat +%d%%	SA
TOOLTIP_GUILD_SKILL_SEONGHWI	Armurã Sfântã +%d	SA
TOOLTIP_GUILD_SKILL_WHITE_DRAGON_BLESS	Furtuna lui Balathor\nFãrã necunoºtinşã sau încetinire\n	SNA
TOOLTIP_GUILD_SKILL_WHITE_DRAGON_FIRMNESS	Rezolvarea lui Balathor\nFãrã Aruncare în spate\n	SNA
TOOLTIP_GUILD_SKILL_WHITE_DRAGON_RESOLUTION	Voinşa lui Balathor\nFãrã dezorientare, obstacol sau îngheşare\n	SNA
TOOLTIP_HALLOWEEN_EVENT_BUFF	+20% EXP | +5% drop obiecte | +10% putere împotriva monºtrilor	SNA
TOOLTIP_HELMET	Coif
TOOLTIP_HIT_AREA_ELEC_ATTACK	Atacã monºtrii din apropiere cu fulgere care au daune egale cu atacurile tale normale.	SNA
TOOLTIP_HIT_AUTO_HP_RECOVERY	În timpul luptei primeºti efectul Elixirul Soarelui	SNA
TOOLTIP_HIT_AUTO_SP_RECOVERY	În timpul luptei primeºti efectul Elixirul Lunii	SNA
TOOLTIP_HIT_BUFF_ENCHANT_DARK	Obşine Puterea Întunecatã pentru %d sec. în luptã	SA
TOOLTIP_HIT_BUFF_ENCHANT_EARTH	Obşine Puterea Pãmânt pentru %d sec. în luptã	SA
TOOLTIP_HIT_BUFF_ENCHANT_ELEC	Obşine Puterea Fulger pentru %d sec. în luptã	SA
TOOLTIP_HIT_BUFF_ENCHANT_FIRE	Obşine Puterea Focului pentru %d sec. în luptã	SA
TOOLTIP_HIT_BUFF_ENCHANT_ICE	Obşine Puterea Gheşii pentru %d sec. în luptã	SA
TOOLTIP_HIT_BUFF_ENCHANT_WIND	Obşine Puterea Vântului pentru %d sec. în luptã	SA
TOOLTIP_HIT_BUFF_RESIST_DARK	Obşine Rezist. la Întuneric pentru %d sec. în luptã	SA
TOOLTIP_HIT_BUFF_RESIST_EARTH	Obşine Rezist. la Pãmânt pentru %d sec. în luptã	SA
TOOLTIP_HIT_BUFF_RESIST_ELEC	Obşine Rezist. la Fulger pentru %d sec. în luptã	SA
TOOLTIP_HIT_BUFF_RESIST_FIRE	Obşine Rezist. la Foc pentru %d sec. în luptã	SA
TOOLTIP_HIT_BUFF_RESIST_ICE	Obşine Rezist. la Gheaşã pentru %d sec. în luptã	SA
TOOLTIP_HIT_BUFF_RESIST_WIND	Obşine Rezist. la Vânt pentru %d sec. în luptã	SA
TOOLTIP_HIT_BUFF_SUNGMA_HP	Creºte voinşa Sung Ma (VIT) în lupta cu 15 timp de %dsecunde	SA
TOOLTIP_HIT_BUFF_SUNGMA_IMMUNE	Creºte voinşa Sung Ma (INT) în lupta cu 15 timp de %dsecunde	SA
TOOLTIP_HIT_BUFF_SUNGMA_MOVE	Creºte voinşa Sung Ma (RES) în lupta cu 15 timp de %dsecunde	SA
TOOLTIP_HIT_BUFF_SUNGMA_STR	Creºte voinşa Sung Ma (STR) în lupta cu 15 timp de %dsecunde	SA
TOOLTIP_HIT_PCT	Precizie %d	SA
TOOLTIP_HIT_STONE_ATTBONUS_STONE	Când ataci o piatrã Metin, primeºti +%d%% daune (Puternic împotriva pietrelor Metin) timp de 5 secunde	SA
TOOLTIP_HIT_STONE_DEF_GRADE_BONUS	Când ataci o piatrã Metin, primeºti +%d apãrare timp de 5 secunde	SA
TOOLTIP_HP_REGEN	Regenerarea PV +%d%%	SA
TOOLTIP_INSIGHT_SKILL_LEVEL	Nivel actual: %d
TOOLTIP_INT	Inteligenşã +%d	SA
TOOLTIP_ITEM_ATT_GRADE	Valoarea atacului %d
TOOLTIP_ITEM_ATT_POWER	Valoarea atacului %d - %d
TOOLTIP_ITEM_ATT_POWER_ONE_ARG	Valoarea atacului %d
TOOLTIP_ITEM_ATT_POWER_REFINE	Valoarea atacului %d - %d (+%d)
TOOLTIP_ITEM_ATT_SPEED	Viteza de atac %s
TOOLTIP_ITEM_DEF_GRADE	Apãrare %d
TOOLTIP_ITEM_FAST	Repede
TOOLTIP_ITEM_LIMIT_CON	Limita superioarã a vitalitãşii %d
TOOLTIP_ITEM_LIMIT_DEX	Limita Superioarã a Dexteritãşii: %d
TOOLTIP_ITEM_LIMIT_INT	Limita superioarã a inteligenşei: %d
TOOLTIP_ITEM_LIMIT_LEVEL	De la nivelul: %d
TOOLTIP_ITEM_LIMIT_NEWWORLD_LEVEL	Nivel Campion Minim: %d
TOOLTIP_ITEM_LIMIT_STR	Limita superioarã a Puterii: %d
TOOLTIP_ITEM_MAGIC_ATT_POWER	Valoarea atacului magic %d - %d
TOOLTIP_ITEM_MAGIC_ATT_POWER_ONE_ARG	Valoarea atacului magic %d
TOOLTIP_ITEM_MAGIC_DEF_POWER	Apãrare magicã %d
TOOLTIP_ITEM_NORMAL	Normal
TOOLTIP_ITEM_SLOW	Încet
TOOLTIP_ITEM_VERY_FAST	Foarte repede
TOOLTIP_ITEM_VERY_SLOW	Foarte încet
TOOLTIP_ITEM_WEARABLE_JOB	[ echipabil ]
TOOLTIP_KILL_BOSS_ITEM_BONUS	Când un ºef este învins, ºansa ta de drop creºte cu %d%%	SA
TOOLTIP_LOTTERY_STEP_NUMBER	%d
TOOLTIP_LOTTO_NUMBER	Numãr norocos: %d
TOOLTIP_MAGIC_ATTBONUS_PER	Atac magic +%d%%	SA
TOOLTIP_MAGIC_ATT_GRADE	Valoarea atacului magic +%d	SA
TOOLTIP_MAGIC_DEF_GRADE	Apãrare magicã +%d	SA
TOOLTIP_MALL_ATTBONUS	Valoarea atacului +%d%%	SA
TOOLTIP_MALL_ATTBONUS_STATIC	Valoarea Atacului	SNA
TOOLTIP_MALL_AUTOLOOT	Yang este însuºit automat.	SNA
TOOLTIP_MALL_DEFBONUS	Apãrare +%d%%	SA
TOOLTIP_MALL_DEFBONUS_STATIC	Apãrare	SNA
TOOLTIP_MALL_EXPBONUS	EXP +%d%%	SA
TOOLTIP_MALL_EXPBONUS_P_STATIC	iCafe EXP-Bonus +%d%%	SA
TOOLTIP_MALL_EXPBONUS_STATIC	50% mai mult EXP	SNA
TOOLTIP_MALL_FISH_MIND	ªansa de a prinde un peºte este mai mare.	SNA
TOOLTIP_MALL_GOLDBONUS	ªansa de drop Yang a crescut cu %d%%	SA
TOOLTIP_MALL_GOLDBONUS_STATIC	Sansa de drop Yang dublatã	SNA
TOOLTIP_MALL_ITEMBONUS	ªansa de drop obiect a crescut cu %d%%	SA
TOOLTIP_MALL_ITEMBONUS_P_STATIC	iCafe ªansa de a aduna obiecte plus %.1f%%	SA
TOOLTIP_MALL_ITEMBONUS_STATIC	ªansa de drop obiect a crescut cu 200%.	SNA
TOOLTIP_MALL_MARRIAGE_FAST	Punctele de dragoste cresc mai repede.	SNA
TOOLTIP_MALL_SAFEBOX	Mai mult spaşiu de depozitare stã la dispozişie.	SNA
TOOLTIP_MAX_HP	Max. PV +%d	SA
TOOLTIP_MAX_HP_PCT	Max. PV +%d%%	SA
TOOLTIP_MAX_SP	Max. PM +%d	SA
TOOLTIP_MAX_SP_PCT	Max. PM +%d%%	SA
TOOLTIP_MAX_STAMINA	Rezistenşã max. +%d	SA
TOOLTIP_MELEE_MAGIC_ATTBONUS_PER	Atac cu arma/magic +%d%%	SA
TOOLTIP_MEMORIZED_POSITION	%s(%d, %d)
TOOLTIP_MEMORIZED_POSITION_ERROR	EROARE-GPS(%d, %d)
TOOLTIP_MOB_HIT_MOB_AGGRESSIVE	Când ataci existã ºansa de %d%% ca toşi monºtrii care stau în jurul tãu sã te atace (Mantia Curajului)	SA
TOOLTIP_MORE_THEN_HP90_DAMAGE_REDUCE	Daunele primite sunt reduse cu %d%% dacã ai 90%% PV	SA
TOOLTIP_MOUNT_MELEE_MAGIC_ATTBONUS_PER	Când urci pe un mount, daunele sunt crescute cu +%d%% pentru 10 secunde	SA
TOOLTIP_MOUNT_NO_KNOCKBACK	%d%% ºansã de a nu arunca inamicii în spate timp de 20 de secunde. Calmare: 2 min.	SA
TOOLTIP_MOUNT_UPGRADE_SKILLBOOK_USE	Înveşi abilitatea de cal %s?
TOOLTIP_MOUNT_UPGRADE_SKILL_LEVEL_UP	Îmbunãtãşeºti abilitatea calului?\nNecesar: %d Gaya ºi %d Yang
TOOLTIP_MOV_SPEED	Viteza de miºcare %d%%	SA
TOOLTIP_NECK	Colier
TOOLTIP_NEED_ALL_SP	PM necesare: Max.
TOOLTIP_NEED_GSP	Spirit Dragon necesar: %d
TOOLTIP_NEED_HP	PV necesare: %d
TOOLTIP_NEED_HP_PER_SEC	PV/Sec.: %d
TOOLTIP_NEED_SKILL_POINT	Puncte de calificare necesare:
TOOLTIP_NEED_SP	PM necesare: %d
TOOLTIP_NEED_SP_PER_SEC	SP/Sec.: %d
TOOLTIP_NEXT_SKILL_LEVEL_1	Nivelul urmãtor: %d (Max. %d)
TOOLTIP_NEXT_SKILL_LEVEL_2	Nivelul urmãtor: %d (Max. %d-%d)
TOOLTIP_NORMAL_DAMAGE_GUARD	%d%% ºansã de a bloca un atac	SA
TOOLTIP_NORMAL_HIT_DAMAGE_BONUS	Paguba medie %d%%	SA
TOOLTIP_NORMAL_HIT_DAMAGE_BONUS_BOSS_OR_MORE	+%d%% daune de atac împotriva ºefilor	SA
TOOLTIP_NORMAL_HIT_DEFEND_BONUS	Rezistenşa medie la pagubã %d%%	SA
TOOLTIP_NORMAL_HIT_DEFEND_BONUS_BOSS_OR_MORE	-%d%% daune de atac de la ºefi	SA
TOOLTIP_NO_DEATH_AND_HP_RECOVERY30	Ai ºansa de %d%% de a te evita moartea ºi de a reface 30%% din PV-ul tãu maxim	SA
TOOLTIP_NO_FALLEN	În luptã, existã o ºansã de %d%% de a primi Rezistenşã la Alunecare timp de 15 secunde.	SA
TOOLTIP_NPC_LOCATION_HELPER_ELEMENT_ENCHANT	Bonus elemental: %s
TOOLTIP_NPC_LOCATION_HELPER_ELEMENT_ENCHANT_DARK	Întuneric
TOOLTIP_NPC_LOCATION_HELPER_ELEMENT_ENCHANT_EARTH	Pãmânt
TOOLTIP_NPC_LOCATION_HELPER_ELEMENT_ENCHANT_ELECT	Fulger
TOOLTIP_NPC_LOCATION_HELPER_ELEMENT_ENCHANT_FIRE	Foc
TOOLTIP_NPC_LOCATION_HELPER_ELEMENT_ENCHANT_ICE	Gheaşã
TOOLTIP_NPC_LOCATION_HELPER_ELEMENT_ENCHANT_NONE	Niciunul
TOOLTIP_NPC_LOCATION_HELPER_ELEMENT_ENCHANT_WIND	Vânt
TOOLTIP_NPC_LOCATION_HELPER_LEVEL	Nivel Monstru: %d
TOOLTIP_NPC_LOCATION_HELPER_MOB_GRADE	Rang Monstru: %s
TOOLTIP_PARTY_INFO_GRADE_UP1	Peste %d membri ai grupei
TOOLTIP_PARTY_INFO_GRADE_UP2	Categoria de atac +%d
TOOLTIP_PARTY_INFO_GRADE_UP3	Nivel de apãrare +%d
TOOLTIP_PARTY_INFO_HEAL_18_LEVEL	PV/PM ale tuturor membrilor grupei reînnoite odatã în 60 de minute.
TOOLTIP_PARTY_INFO_HEAL_40_LEVEL	PV/PM ale tuturor membrilor grupei reînnoite odatã în 30 de minute.
TOOLTIP_PARTY_INFO_RECALL_12_LEVEL	Trebuie sã aºtepşi 3 minute dupã moartea membrului grupei.
TOOLTIP_PARTY_INFO_RECALL_20_LEVEL	Poşi striga încoace oricând membri ai grupei de pe acelaºi server.
TOOLTIP_PARTY_INFO_SET_ATTACKER	Categoria de atac +(Membri grupei/2) %d atacatorii pot fi alesi.
TOOLTIP_PARTY_INFO_SET_TANKER	Nivelul de apãrare +(Numãr Membri Grupã) luptãtorii cu sabia 1 pot fi aleºi.
TOOLTIP_PARTY_SKILL_LEVEL	Nivel actual: %d
TOOLTIP_PARTY_TITLE_GRADE_UP	[Atac/apãrare îmbunãtãşit]
TOOLTIP_PARTY_TITLE_HEAL	[Reface]
TOOLTIP_PARTY_TITLE_INFO_BONUS_EXP	Mai mult de %d membri ai grupei oferã %d%% EXP-bonus.
TOOLTIP_PARTY_TITLE_MEMBER_BONUS_EXP	[Bonus-EXP]
TOOLTIP_PARTY_TITLE_RECALL	[Strigã încoace]
TOOLTIP_PARTY_TITLE_SET_ATTACKER	[Stabileºte atacatorul]
TOOLTIP_PARTY_TITLE_SET_TANKER	[Stabileºte luptãtor cu sabia]
TOOLTIP_PASSIVE_JOB_DECK	Bonus Relicvã	SNA
TOOLTIP_PEPSI_EVENT	5% bonus de EXP ºi 5% ºansã mãritã de colectare obiecte.	SNA
TOOLTIP_PETBAG_PET_MAX_LIFE	Duratã însoşitor: %s ore	SA
TOOLTIP_PETBAG_PET_TYPE	Tip însoşitor: %s	SA
TOOLTIP_PICK_EXP	Puncte: %d / %d
TOOLTIP_PICK_LEVEL	Nivel: %d
TOOLTIP_PICK_UPGRADE1	Dã-o tãietorului de lemne
TOOLTIP_PICK_UPGRADE2	pentru a realiza din ea
TOOLTIP_PICK_UPGRADE3	Târnãcop
TOOLTIP_POTION_CURE	Anuleazã efectele negative.
TOOLTIP_POTION_MIN	Min.
TOOLTIP_POTION_OF_ELEMENTAL	Licoare Apãrare Elemente +5% atac magic/fizic | +10% rezistenşã elemente	SNA
TOOLTIP_POTION_PLUS_ATTACK_SPEED	Viteza de atac +%d
TOOLTIP_POTION_PLUS_ATTBONUS_MONSTER	ATK BONUS MONSTRU: +%d%%
TOOLTIP_POTION_PLUS_ATT_POINT	ATK: +%d
TOOLTIP_POTION_PLUS_ATT_POINT_PER	ATK: +%d%%
TOOLTIP_POTION_PLUS_DEF_POINT	DEF: +%d
TOOLTIP_POTION_PLUS_DEX_POINT	DEX: +%d
TOOLTIP_POTION_PLUS_EXP_BONUS	EXP: +%d%%
TOOLTIP_POTION_PLUS_HIT_DEFEND_POINT	REZISTENŞÃ DAUNE: +%d%%
TOOLTIP_POTION_PLUS_HP_PERCENT	PV +%d%%
TOOLTIP_POTION_PLUS_HP_POINT	PV +%d
TOOLTIP_POTION_PLUS_MOVING_SPEED	Viteza de miºcare +%d
TOOLTIP_POTION_PLUS_RESIST_DARK	REZISTENŞÃ ÎNTUNERIC: +%d%%
TOOLTIP_POTION_PLUS_RESIST_EARTH	REZISTENŞÃ PÃMÂNT: +%d%%
TOOLTIP_POTION_PLUS_RESIST_ICE	REZISTENŞÃ GHEAŞÃ: +%d%%
TOOLTIP_POTION_PLUS_RESIST_MAGIC	REZISTENŞÃ MAGIE: +%d%%
TOOLTIP_POTION_PLUS_SP_PERCENT	SP +%d%%
TOOLTIP_POTION_PLUS_SP_POINT	SP +%d
TOOLTIP_POTION_PLUS_STR_POINT	STR: +%d
TOOLTIP_POTION_SEC	Sec.
TOOLTIP_POTION_TIME	Durata:
TOOLTIP_PROTECTION_OF_ELEMENTAL	Imun împotriva Blestem Elemente	SNA
TOOLTIP_PVP_TOURNAMENT_ENTER	Intrã la Turneul PvP	SNA
TOOLTIP_PVP_TOURNAMENT_EXPBONUS	EXP Turneu PvP +%d%%	SA
TOOLTIP_REQUIREMENT_21_LEVEL	Trebuie sã fi atins nivelul 21
TOOLTIP_REQUIREMENT_41_LEVEL	Trebuie sã fi atins nivelul 41
TOOLTIP_REQUIREMENT_LEVEL	Trebuie sã fi atins nivelul %d
TOOLTIP_REQUIREMENT_SKILL_LEVEL	%s nivelul %d necesar
